RecordNumber,quant,unit,pay_top,btm,pay,Remark
8670,260,MCFGPD,2557,2975,341OHIO ,
8671,133,MCFGPD,2400,2698,341OHIO ,
8672,158,MCFGPD,2681,3107,341OHIO ,
8674,231,MCFGPD,2758,3186,341OHIO ,
8675,18,MCFGPD,1983,1993,332BIGL ,
8677,26,MCFGPD,1800,1817,332BIGL ,
8724,467,MCFGPD,1514,1859,341OHIO ,
11192,103,MCFGPD,1772,1979,341OHIO ,
11257,516,MCFGPD,2690,2796,341OHIO ,
11260,127,MCFGPD,2577,2859,341OHIO ,
11264,84,MCFGPD,3138,3172,341OHIO ,
11265,0,MCFGPD,2837,2845,341OHIO ,
11298,158,MCFGPD,2773,3152,341OHIO ,
11300,119,MCFGPD,2237,2639,341OHIO ,
11304,169,MCFGPD,2716,2797,341OHIO ,
11305,103,MCFGPD,2585,2781,341OHIO ,
11316,103,MCFGPD,2373,2720,341OHIO ,
11318,0,MCFGPD,2424,2440,341OHIO ,
11320,0,MCFGPD,2472,2484,341OHIO ,
11322,25,MCFGPD,2161,2165,332BIGL ,
11326,60,MCFGPD,2483,2788,341OHIO ,
11327,94,MCFGPD,2394,2718,341OHIO ,
11328,0,MCFGPD,2066,2077,332BIGL ,
11332,60,MCFGPD,2642,2886,341OHIO ,
11631,0,MCFGPD,1231,1256,339BREA ,
12402,0,MCFGPD,2898,2904,332BIGL ,
16124,84,MCFGPD,3025,3199,341OHIO ,
16189,0,MCFGPD,3448,3624,341OHIO ,
16193,0,MCFGPD,3150,3210,341OHIO ,
16196,0,MCFGPD,3630,3680,341OHIO ,
16200,0,MCFGPD,3418,3670,341OHIO ,
16208,220,MCFGPD,3560,4303,341OHIO ,
16209,0,MCFGPD,3340,3626,341OHIO ,
16210,0,MCFGPD,3650,3940,341OHIO ,
16215,0,MCFGPD,3660,3945,341OHIO ,
16216,0,MCFGPD,4530,4770,341OHIO ,
16217,0,MCFGPD,3790,4150,341OHIO ,
16218,,MCFGPD,4200,4540,341OHIO ,
16222,145,MCFGPD,2620,3200,341OHIO ,
16223,310,MCFGPD,2800,3340,341OHIO ,
16224,0,MCFGPD,2638,2954,341OHIO ,
16225,0,MCFGPD,1610,1638,332MAXN ,
16236,1245,MCFGPD,3690,4000,341OHIO ,
16271,170,MCFGPD,2590,3156,341OHIO ,
16272,84,MCFGPD,2598,3218,341OHIO ,
16274,0,MCFGPD,2940,3160,341OHIO ,
22683,84,MCFGPD,2420,2805,341OHIO ,
23294,0,MCFGPD,2650,2698,339BREA ,
23461,60,MCFGPD,3631,4130,341OHIO ,
27166,133,MCFGPD,2829,2952,341OHIO ,
28546,231,MCFGPD,3247,3544,341OHIO ,
31254,2460,MCFGPD,2471,2495,332BIGL ,
31456,169,MCFGPD,3116,3501,341OHIO ,
31476,60,MCFGPD,3221,3559,341OHIO ,
31496,179,MCFGPD,3182,3529,341OHIO ,
31499,0,MCFGPD,0,0,332BIGL ,
31540,219,MCFGPD,0,0,341OHIO ,
31543,73,MCFGPD,3011,3391,341OHIO ,
31559,239,MCFGPD,3418,3768,341OHIO ,
31573,60,MCFGPD,0,0,341OHIO ,
31649,84,MCFGPD,3340,3729,341OHIO ,
31744,60,MCFGPD,3142,3800,341OHIO ,
33069,311,MCFGPD,2638,3023,341OHIO ,
36443,112,MCFGPD,1175,1683,341OHIO ,
37666,387,MCFGPD,2643,2683,344CORN ,
37668,18,BOPD  ,1986,2204,344CORN ,
37673,87,MCFGPD,1227,1277,339BREA ,
39069,119,MCFGPD,3655,4550,341OHIO ,
39086,280,MCFGPD,3916,4915,340BBSI ,
39113,660,MCFGPD,3234,4260,340BBSI ,
39122,286,MCFGPD,3438,4324,341OHIO ,
39137,231,MCFGPD,3229,4129,340BBSI ,
39143,239,MCFGPD,3330,4376,340BBSI ,
39180,585,MCFGPD,3178,4130,340BBSI ,
39192,60,MCFGPD,3620,4425,341OHIO ,
39195,223,MCFGPD,3695,4564,341OHIO ,
39216,112,MCFGPD,3435,4556,340BBSI ,
39257,1107,MCFGPD,3250,4090,340BBSI ,
39334,1917,MCFGPD,3462,4490,341OHIO ,
39366,424,MCFGPD,2930,3749,341OHIO ,
39377,355,MCFGPD,2906,3835,340BBSI ,
39408,94,MCFGPD,2820,3674,341OHIO ,
39435,403,MCFGPD,2681,3436,341OHIO ,
39450,747,MCFGPD,2427,3350,340BBSI ,
39455,158,MCFGPD,2736,3686,340BBSI ,
39470,84,MCFGPD,3048,3824,341OHIO ,
39494,622,MCFGPD,3160,3878,341OHIO ,
39496,404,MCFGPD,2742,3467,341OHIO ,
39522,0,MCFGPD,3278,3572,341OHIO ,
39527,207,MCFGPD,2700,3489,340BBSI ,
39530,65,MCFGPD,2730,3442,341OHIO ,
39531,84,MCFGPD,2794,3714,340BBSI ,
39550,94,MCFGPD,3106,3880,341OHIO ,
39608,328,MCFGPD,2400,3125,341OHIO ,
39632,0,MCFGPD,1670,1870,332BIGL ,
39678,103,MCFGPD,2210,2976,340BBSI ,
39777,0,MCFGPD,3072,3093,339BREA ,
39937,94,MCFGPD,3619,4518,340BBSI ,
39943,231,MCFGPD,2730,2741,332BIGL ,
40047,0,MCFGPD,3225,4099,341OHIO ,
40072,858,MCFGPD,2585,3359,341OHIO ,
40085,0,MCFGPD,2886,2990,339BREA ,
40201,119,MCFGPD,2752,3218,341OHIO ,
40221,146,MCFGPD,3647,4884,340BBSI ,
40287,0,MCFGPD,2545,2553,341OHIO ,
40288,60,MCFGPD,2630,3297,340BBSI ,
40572,4226,MCFGPD,3285,3347,341OHIO ,
40595,84,MCFGPD,3268,3340,341OHIO ,
40616,169,MCFGPD,2680,3430,340BBSI ,
40625,0,MCFGPD,3031,3053,341OHIO ,
40628,0,MCFGPD,2808,2830,340BBSI ,
40646,0,MCFGPD,3096,3118,339BREA ,
40680,0,MCFGPD,3146,3168,341OHIO ,
40708,60,MCFGPD,3440,4250,341OHIO ,
40712,73,MCFGPD,2800,3760,340BBSI ,
40954,47,MCFGPD,2410,3106,340BBSI ,
40956,84,MCFGPD,2758,3439,341OHIO ,
40958,84,MCFGPD,2800,3183,340BBSI ,
41217,0,MCFGPD,3705,3746,339BREA ,
41503,321,MCFGPD,3077,3780,341OHIO ,
45437,0,MCFGPD,2600,2621,341OHIO ,
45914,338,MCFGPD,2110,2456,341OHIO ,
47015,0,MCFGPD,2894,3048,341OHIO ,
47016,143,MCFGPD,2784,2830,341OHIO ,
47018,25,MCFGPD,2481,2488,341OHIO ,
47021,267,MCFGPD,3098,3132,341OHIO ,
47022,0,MCFGPD,2348,2368,341OHIO ,
47023,103,MCFGPD,2428,2494,341OHIO ,
47025,73,MCFGPD,2370,2694,341OHIO ,
47026,119,MCFGPD,2409,2714,341OHIO ,
47028,103,MCFGPD,0,0,341OHIO ,
47205,84,MCFGPD,2820,3145,341OHIO ,
47208,84,MCFGPD,2276,2590,341OHIO ,
47209,73,MCFGPD,2258,2576,341OHIO ,
47210,60,MCFGPD,2455,2749,341OHIO ,
47211,0,MCFGPD,1853,1858,332BIGL ,
47220,60,MCFGPD,2471,2798,341OHIO ,
47221,103,MCFGPD,2652,3007,341OHIO ,
47222,84,MCFGPD,2498,2804,341OHIO ,
47224,30,MCFGPD,1751,1915,332BIGL ,
47227,112,MCFGPD,2502,2840,341OHIO ,
47228,169,MCFGPD,2466,2796,341OHIO ,
47229,189,MCFGPD,2500,2850,341OHIO ,
47230,94,MCFGPD,2547,2854,341OHIO ,
47231,119,MCFGPD,2470,2762,341OHIO ,
47233,94,MCFGPD,2417,2819,341OHIO ,
47235,0,MCFGPD,2607,2896,341OHIO ,
47547,133,MCFGPD,2609,3079,341OHIO ,
47549,424,MCFGPD,2431,2921,341OHIO ,
49629,174,MCFGPD,2775,2810,344CORN ,
8670,40,MCFGPD,3656,3661,355BGSX ,
8675,253,MCFGPD,2483,2844,341OHIO ,
8677,146,MCFGPD,2404,2809,341OHIO ,
11265,0,MCFGPD,2929,2939,341OHIO ,
11318,0,MCFGPD,2494,2504,341OHIO ,
11320,0,MCFGPD,2492,2506,341OHIO ,
11322,73,MCFGPD,2701,2922,341OHIO ,
11328,0,MCFGPD,2521,2812,341OHIO ,
