RecordNumber,API_Number,permit,nlat83,wlon83,elev,op,well,farm,cmpl,TD,tdfm,result,current_op,
8670,16071000120000,  42331,37.463718,-82.780373,1268,"KEPCO, INC                      ",KL363           ,"MOORE, H L                      ",12-May-81,3778,357CLNT ,GAS,EQUITABLE PRODUCTION COMPANY,0
8671,16071000100000,  41800,37.456729,-82.800344,1008,"KEPCO, INC                      ",KL315           ,"MARTIN, HELEN                   ",04-Aug-81,2906,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
8672,16071000080000,  41579,37.447254,-82.774933,1350,"KEPCO, INC                      ",KL309           ,"MARTIN, SPENCER                 ",14-Apr-81,3293,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY,0
8674,16071000220000,  44113,37.44126,-82.764946,1404,"KEPCO, INC                      ",KL394           ,"WALLEN, ELIJAH                  ",23-Jul-81,3378,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
8675,16071000110000,  42330,37.433296,-82.828912,1209,"KEPCO, INC                      ",KL362           ,"MARTIN, M F                     ",03-Mar-82,3069,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY,0
8677,16071000150000,  43270,37.553845,-82.715804,1034,"KEPCO, INC                      ",KF379           ,"DINGUS, PHILLIP                 ",31-Dec-81,3022,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY,0
8724,16071000170000,  43874,37.735256,-82.794899,655,"KEPCO, INC                      ",KL390           ,"BURCHETT, ROBERT L              ",04-Feb-82,2058,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
11192,16115000010000,  27515,37.751236,-82.792287,703,KENTUCKY WEST VIRGINIA GAS CO   ,1575            ,"WELLS, J K                      ",19-Mar-74,2032,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY,0
11257,16119000450000,  53422,37.331027,-83.021711,1101,"ASHLAND EXPLORATION, INC        ",13              ,EASTERN KENTUCKY REALTY CO      ,25-Jan-83,2911,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY    ,0
11260,16119004000000,  37271,37.41241,-83.087809,1237,"KEPCO, INC                      ",1738            ,GOODLOE BROTHERS CO             ,04-Aug-80,2962,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
11264,16119002640000,  38853,37.404326,-83.055508,1541,"INLAND GAS CO, INC              ",596             ,EVANS OIL & GAS TRUST           ,17-Nov-80,3227,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
11265,16119002650000,  38854,37.41241,-83.050602,1342,"INLAND GAS CO, INC              ",597             ,EVANS OIL & GAS TRUST           ,28-Dec-80,3009,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
11298,16119000200000,  41935,37.393958,-82.90327,1493,"KEPCO, INC                      ",KF319           ,"HICKS, ISAAC                    ",28-Aug-81,3326,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY,0
11300,16119000180000,  41850,37.412372,-82.78287,926,"KEPCO, INC                      ",KL327           ,"OSBORNE, SHERWOOD               ",10-Aug-81,2864,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
