ID,RecordNumber,Produces,Year,DaysOnLine,VolumeMCF,Time
1,8670,GAS,1981,326,21420,1
2,8670,GAS,1982,365,24467,2
3,8670,GAS,1983,366,21350,3
4,8671,GAS,1981,365,10526,1
5,8671,GAS,1982,326,9460,2
6,8671,GAS,1983,366,0,3
7,8672,GAS,1981,365,25470,1
8,8672,GAS,1982,366,0,2
9,8672,GAS,1983,365,23671,3
10,8672,GAS,1984,72,4570,4
11,8674,GAS,1981,185,644,1
12,8674,GAS,1982,366,10112,2
13,8674,GAS,1983,0,0,3
14,8675,GAS,1982,366,31547,1
15,8675,GAS,1983,185,21444,2
16,8675,GAS,1984,0,0,3
17,8677,GAS,1981,366,34351,1
18,8677,GAS,1982,186,9808,2
19,8677,GAS,1983,0,0,3
20,8724,GAS,1982,365,20533,1
21,8724,GAS,1983,59,7480,2
22,8724,GAS,1984,0,0,3
23,11192,,1974,99,2000,1
24,11192,,1975,363,21100,2
25,11192,,1976,366,15800,3
26,11192,,1977,365,15600,4
27,11192,,1978,362,16070,5
28,11192,,1979,344,15220,6
29,11192,,1980,363,14740,7
30,11192,,1981,364,14470,8
31,11192,,1982,361,13620,9
32,11192,,1983,153,6788,10
33,11192,,1984,365,13200,11
34,11257,GAS,1983,152,8338,1
35,11257,GAS,1984,364,24203,2
36,11257,GAS,1985,38,3586,3
37,11260,GAS,1980,365,5890,1
38,11260,GAS,1981,70,1640,2
39,11260,GAS,1982,365,5663,3
40,11264,GAS,1980,248,3813,1
41,11264,GAS,1981,136,1743,2
42,11264,GAS,1982,0,0,3
43,11265,GAS,1980,349,2489,1
44,11265,GAS,1981,183,1663,2
45,11265,GAS,1982,0,0,3
46,11298,GAS,1981,326,18390,1
47,11298,GAS,1982,366,0,2
48,11298,GAS,1983,365,17548,3
49,11300,GAS,1981,366,0,1
50,11300,GAS,1982,365,20402,2
51,11300,GAS,1983,303,18120,3
52,11304,GAS,1981,71,1830,1
53,11304,GAS,1982,365,3313,2
54,11304,GAS,1983,365,5360,3
55,11305,GAS,1980,365,6090,1
56,11305,GAS,1981,71,720,2
57,11305,GAS,1982,365,3484,3
58,11316,GAS,1980,366,0,1
59,11316,GAS,1981,365,2937,2
60,11316,GAS,1982,364,5600,3
61,11316,GAS,1983,67,900,4
62,11318,GAS,1981,119,1171,1
63,11318,GAS,1982,107,1101,2
64,11318,GAS,1983,0,0,3
65,11320,GAS,1981,196,6765,1
66,11320,GAS,1982,115,3599,2
67,11320,GAS,1983,0,0,3
68,11322,GAS,1981,304,790,1
69,11322,GAS,1982,71,630,2
70,11322,GAS,1983,365,144,3
71,11326,GAS,1981,67,1050,1
72,11326,GAS,1982,365,1414,2
73,11326,GAS,1983,365,1230,3
74,11326,GAS,1984,366,0,4
75,11327,GAS,1981,365,2790,1
76,11327,GAS,1982,67,1040,2
77,11327,GAS,1983,365,1431,3
78,11327,GAS,1984,366,0,4
79,11328,GAS,1980,365,967,1
80,11328,GAS,1981,365,2310,2
81,11328,GAS,1982,69,980,3
82,11332,GAS,1980,185,920,1
83,11332,GAS,1981,366,0,2
84,11332,GAS,1982,0,0,3
85,11631,,1970,23,413,1
86,11631,,1971,365,2687,2
87,11631,,1972,336,2687,3
88,11631,,1973,320,2067,4
89,11631,,1974,250,1757,5
90,11631,,1975,317,1654,6
91,11631,,1976,325,1240,7
92,11631,,1977,316,1240,8
93,11631,,1978,337,1820,9
94,11631,,1979,359,1570,10
95,11631,,1980,361,1530,11
96,11631,,1981,318,1730,12
97,11631,,1982,318,1730,13
98,11631,,1983,330,1640,14
99,11631,,1984,196,925,15
100,12402,GAS,1979,259,26000,1
101,12402,GAS,1980,366,25276,2
102,12402,GAS,1981,364,29732,3
103,12402,GAS,1982,365,30910,4
104,16124,,1983,176,8846,1
105,16124,,1984,365,11067,2
106,16124,,1985,182,5278,3
107,16189,GAS,1982,32,3512,1
108,16189,GAS,1983,365,36574,2
109,16189,GAS,1984,152,13892,3
110,16193,GAS,1982,334,4443,1
111,16193,GAS,1983,304,4749,2
112,16193,GAS,1984,366,773121,3
113,16196,GAS,1982,304,15495,1
114,16196,GAS,1983,366,22153,2
115,16196,GAS,1984,212,16617,3
116,16200,GAS,1982,152,6239,1
117,16200,GAS,1983,364,13055,2
118,16200,GAS,1984,351,10376,3
119,16208,GAS,1981,61,937,1
120,16208,GAS,1982,365,3076,2
121,16208,GAS,1983,304,2677,3
122,16208,GAS,1984,366,4143,4
123,16209,GAS,1982,152,14167,1
124,16209,GAS,1983,364,26800,2
125,16209,GAS,1984,351,15919,3
126,16210,GAS,1982,212,2716,1
127,16210,GAS,1983,304,1918,2
128,16210,GAS,1984,335,2606,3
129,16215,GAS,1982,304,12182,1
130,16215,GAS,1983,273,13350,2
131,16215,GAS,1984,91,6047,3
132,16216,GAS,1982,365,7440,1
133,16216,GAS,1983,304,7647,2
134,16216,GAS,1984,305,9925,3
135,16217,GAS,1982,365,28537,1
