,Sort ,State,FIPS ,County ,CountySeat(s) ,Population(2010),LandAreakm2 ,LandAreami2 ,WaterAreakm2 ,WaterAreami2 ,TotalAreakm2 ,TotalAreami2 ,Latitude ,Longitude,Hover
0,1,AL,01001,Autauga,Prattville,"54,571","1,539.582",594.436,25.776,9.952,"1,565.358",604.388,32.536382,-86.644490,Autauga<br>AL<br>01001
1,2,AL,01003,Baldwin,Bay Minette,"182,265","4,117.522","1,589.784","1,133.190",437.527,"5,250.712","2,027.311",30.659218,-87.746067,Baldwin<br>AL<br>01003
2,3,AL,01005,Barbour,Clayton,"27,457","2,291.819",884.876,50.865,19.639,"2,342.684",904.515,31.870670,-85.405456,Barbour<br>AL<br>01005
3,4,AL,01007,Bibb,Centreville,"22,915","1,612.481",622.582,9.289,3.587,"1,621.770",626.169,33.015893,-87.127148,Bibb<br>AL<br>01007
4,5,AL,01009,Blount,Oneonta,"57,322","1,669.962",644.776,15.157,5.852,"1,685.119",650.628,33.977448,-86.567246,Blount<br>AL<br>01009
5,6,AL,01011,Bullock,Union Springs,"10,914","1,613.057",622.805,6.057,2.338,"1,619.113",625.143,32.101759,-85.717261,Bullock<br>AL<br>01011
6,7,AL,01013,Butler,Greenville,"20,947","2,011.977",776.829,2.727,1.053,"2,014.704",777.882,31.751667,-86.681969,Butler<br>AL<br>01013
7,8,AL,01015,Calhoun,Anniston,"118,572","1,569.190",605.868,16.624,6.419,"1,585.814",612.287,33.771706,-85.822513,Calhoun<br>AL<br>01015
8,9,AL,01017,Chambers,Lafayette,"34,215","1,545.009",596.531,17.048,6.582,"1,562.057",603.113,32.917943,-85.391812,Chambers<br>AL<br>01017
9,10,AL,01019,Cherokee,Centre,"25,989","1,434.076",553.700,119.859,46.278,"1,553.935",599.978,34.069515,-85.654242,Cherokee<br>AL<br>01019
10,11,AL,01021,Chilton,Clanton,"43,643","1,794.484",692.854,20.586,7.948,"1,815.070",700.802,32.854060,-86.726628,Chilton<br>AL<br>01021
11,12,AL,01023,Choctaw,Butler,"13,859","2,365.955",913.500,19.059,7.359,"2,385.014",920.859,31.991008,-88.248887,Choctaw<br>AL<br>01023
