Strain,Accession,Date,Region,Country,Division,Authors,Journal,Title,Url,Num Date,Fauna Date,Raw Date,Host
A/Hangzhou/169/2013,Epi443638,2013-04-11,unknown,China,Zhejiang,Hangzhou Center For Disease Control And Prevention,unknown,unknown,unknown,2013.27,2018.22,2013-04-11,Human
A/Shenzhen/SP62/2014,Epi578011,2014-02-05,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.10,2018.22,2014-02-05,Human
A/Chicken/Dongguan/1548,Epi578188,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken
A/HongKong/3263/2014,Epi507082,2014-02-12,unknown,Hong Kong,Hong Kong,Hong Kong Department Of Health,unknown,unknown,unknown,2014.11,2018.22,2014-02-12,Human
A/GD-24/2014/H7N9/2014-01-10,Epi655905,2014-01-10,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.02,2018.22,2014-01-10,Human
A/GD-81/2014/H7N9/2014-01-30,Epi656025,2014-01-30,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.08,2018.22,2014-01-30,Human
A/Guangdong/74/2014,Epi627963,2014-01-30,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.08,2018.22,2014-01-30,Human
A/GD-75/2014/H7N9/2014-01-31,Epi656041,2014-01-31,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.08,2018.22,2014-01-31,Human
A/GD-71/2014/H7N9/2014-01-30,Epi656033,2014-01-30,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.08,2018.22,2014-01-30,Human
A/Guangdong/71/2014,Epi627987,2014-01-30,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.08,2018.22,2014-01-30,Human
A/GD-103/2014/H7N9/2014-02-10,Epi656081,2014-02-10,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.11,2018.22,2014-02-10,Human
A/Guangdong/15SF057/2015,Epi1101530,2015-02-04,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2015.09,2018.22,2015-02-04,Human
A/GD-29/2014/H7N9/2014-01-11,Epi655921,2014-01-11,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.03,2018.22,2014-01-11,Human
A/chicken/Guangdong/SD021/2014,Epi1090336,2014-02-23,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.15,2018.22,2014-02-23,Chicken
A/chicken/Guangdong/SD029/2014,Epi1090384,2014-03-14,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.20,2018.22,2014-03-14,Chicken
A/Chicken/Dongguan/1314,Epi597522,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken
A/Chicken/Dongguan/1297,Epi596975,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken
A/Chicken/Dongguan/1459,Epi597049,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken
A/Chicken/Dongguan/1374,Epi596989,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken
A/Chicken/Dongguan/1303,Epi597505,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken
A/Chicken/Dongguan/1456,Epi597042,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken
A/Environmental/Guangdong/32,Epi627979,2013-12-16,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2013.96,2018.22,2013-12-16,Environment
A/Environment/Guangdong/2500,Epi628523,2013-12-16,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2013.96,2018.22,2013-12-16,Environment
A/Guangdong/2124/2014,Epi628491,2014-01-04,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.01,2018.22,2014-01-04,Human
A/Guangdong/12/2014,Epi628091,2014-01-04,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.01,2018.22,2014-01-04,Human
A/GD-19/2014/H7N9/2014-01-07,Epi655897,2014-01-07,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.02,2018.22,2014-01-07,Human
A/GD-18/2014/H7N9/2014-01-07,Epi655889,2014-01-07,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.02,2018.22,2014-01-07,Human
A/Shenzhen/SP48/2014,Epi583280,2014-01-23,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.06,2018.22,2014-01-23,Human
A/silky_chicken/HongKong/1772-3/2014,Epi553201,2014-01-27,unknown,Hong Kong,Hong Kong,Agriculture Fisheries And Conservation Department,unknown,unknown,unknown,2014.07,2018.22,2014-01-27,Other Avian
A/HongKong/2212982/2014,Epi502368,2014-01-28,unknown,Hong Kong,Hong Kong,Hong Kong Department Of Health,unknown,unknown,unknown,2014.07,2018.22,2014-01-28,Human
A/Guangdong/75/2014,Epi628011,2014-01-30,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.08,2018.22,2014-01-30,Human
A/GD-109/2014/H7N9/2014-02-13,Epi656105,2014-02-13,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.12,2018.22,2014-02-13,Human
A/GD-101/2014/H7N9/2014-02-07,Epi656073,2014-02-07,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.10,2018.22,2014-02-07,Human
A/GD-114/2014/H7N9/2014-02-18,Epi656127,2014-02-18,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.13,2018.22,2014-02-18,Human
A/Shenzhen/SP75/2014,Epi578004,2014-02-15,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.12,2018.22,2014-02-15,Human
A/Chicken/Dongguan/1401,Epi597568,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken
A/Chicken/Dongguan/1421,Epi597587,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken
A/Guangdong-Guangzhou/XN13392/2014,Epi627692,2014-03-24,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.22,2018.22,2014-03-24,Human
A/Chicken/Dongguan/1673,Epi597156,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken
A/Guangdong-Guangzhou/XN15122/2014,Epi627684,2014-04-10,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.27,2018.22,2014-04-10,Human
A/Shenzhen/SP126/2014,Epi592189,2014-03-23,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.22,2018.22,2014-03-23,Human
A/chicken/Guangdong/SD025/2014,Epi1090352,2014-03-08,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.18,2018.22,2014-03-08,Chicken
A/chicken/Guangdong/SD014/2014,Epi1090312,2014-01-27,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.07,2018.22,2014-01-27,Chicken
A/Chicken/Shantou/2539,Epi593212,2014-04-16,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.29,2018.22,2014-04-16,Chicken
A/HongKong/5731/2014,Epi520859,2014-04-08,unknown,Hong Kong,Hong Kong,Hong Kong Department Of Health,unknown,unknown,unknown,2014.27,2018.22,2014-04-08,Human
A/Guangdong-Guangzhou/XN08423/2014,Epi627644,2014-02-19,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.13,2018.22,2014-02-19,Human
A/Chicken/Dongguan/1022,Epi597449,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken
A/Guangdong-Guangzhou/XN08664/2014,Epi627716,2014-02-21,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Human
A/GD-154/2014/H7N9/2014-05-28,Epi656245,2014-05-28,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.40,2018.22,2014-05-28,Human
A/Chicken/Shantou/4325,Epi593322,2014-07-01,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.50,2018.22,2014-07-01,Chicken
A/Chicken/Shantou/4833,Epi593358,2014-07-22,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.55,2018.22,2014-07-22,Chicken
A/Chicken/Shantou/4832,Epi593351,2014-07-22,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.55,2018.22,2014-07-22,Chicken
A/Chicken/Dongguan/1091,Epi597163,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken
A/silkiechicken/Dongguan/986/2014,Epi597430,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken
A/silkiechicken/Dongguan/997/2014,Epi578142,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken
A/Chicken/Shantou/2537,Epi593198,2014-04-16,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.29,2018.22,2014-04-16,Chicken
A/Chicken/Shantou/2562,Epi593240,2014-04-16,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.29,2018.22,2014-04-16,Chicken
A/Chicken/Shantou/2538,Epi593205,2014-04-16,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.29,2018.22,2014-04-16,Chicken
A/Chicken/Shantou/2550,Epi593226,2014-04-16,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.29,2018.22,2014-04-16,Chicken
A/Chicken/Shantou/2546,Epi593219,2014-04-16,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.29,2018.22,2014-04-16,Chicken
A/Chicken/Shantou/2556,Epi593233,2014-04-16,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.29,2018.22,2014-04-16,Chicken
A/Guangdong-Guangzhou/XN00429/2014,Epi627756,2014-02-05,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.10,2018.22,2014-02-05,Human
A/GD-98/2014/H7N9/2014-02-06,Epi656065,2014-02-06,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.10,2018.22,2014-02-06,Human
A/GD-110/2014/H7N9/2014-02-13,Epi656111,2014-02-13,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.12,2018.22,2014-02-13,Human
A/GD-151/2014/H7N9/2014-05-06,Epi656229,2014-05-06,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.34,2018.22,2014-05-06,Human
A/chicken/Dongguan/191/2014,Epi597184,2014-02-20,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-20,Chicken
A/chicken/Dongguan/169/2014,Epi596762,2014-02-20,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-20,Chicken
A/chicken/Dongguan/536/2014,Epi596806,2014-02-20,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-20,Chicken
A/silkiechicken/Dongguan/988/2014,Epi596910,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken
A/chicken/Guangdong/SD023/2014,Epi1090344,2014-02-23,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.15,2018.22,2014-02-23,Chicken
A/GD-116/2014/H7N9/2014-02-22,Epi656159,2014-02-22,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.14,2018.22,2014-02-22,Human
A/Silkiechicken/Dongguan/1451,Epi597036,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken
A/Chicken/Dongguan/1505,Epi597073,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken
A/Chicken/Dongguan/1690,Epi578208,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken
A/silkiechicken/Dongguan/979/2014,Epi597402,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken
A/Chicken/Dongguan/1108,Epi597170,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken
A/silkiechicken/Dongguan/981/2014,Epi597424,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken
A/Chicken/Dongguan/1051,Epi596922,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken
A/Chicken/Dongguan/1124,Epi597456,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken
A/Chicken/Shantou/1552,Epi578108,2014-03-05,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.17,2018.22,2014-03-05,Chicken
A/Chicken/Shantou/1554,Epi578115,2014-03-05,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.17,2018.22,2014-03-05,Chicken
A/Chicken/Shantou/1550,Epi578101,2014-03-05,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.17,2018.22,2014-03-05,Chicken
