Strain,Accession,Date,Region,Country,Division,Authors,Journal,Title,Url,Num Date,Fauna Date,Raw Date,Host,Labels
A/chicken/Zhejiang/DTID-ZJU06/2013,Epi590928,2013-12-01,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.94,2018.22,2013-12-xx,Chicken,Aa: Na: A396d;
A/chicken/Zhejiang/S4168/2013,Epi1090679,2013-12-08,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.93,2018.22,2013-12-08,Chicken,unknown
A/chicken/Zhejiang/S4017/2013,Epi1090639,2013-12-08,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.93,2018.22,2013-12-08,Chicken,Aa: Na: T10i;
A/chicken/Zhejiang/S4008/2013,Epi1090631,2013-12-08,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.93,2018.22,2013-12-08,Chicken,Aa: Na: D352n;
A/chicken/Zhejiang/S4079/2013,Epi1090663,2013-12-08,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.93,2018.22,2013-12-08,Chicken,unknown
A/chicken/Zhejiang/S4071/2013,Epi1090655,2013-12-08,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.93,2018.22,2013-12-08,Chicken,unknown
A/Silkiechicken/Shaoxing/5130,Epi583104,2013-10-28,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.82,2018.22,2013-10-28,Chicken,unknown
A/Chicken/Shaoxing/5146,Epi583117,2013-10-28,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.82,2018.22,2013-10-28,Chicken,unknown
A/Chicken/Shaoxing/5136,Epi583110,2013-10-28,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.82,2018.22,2013-10-28,Chicken,unknown
A/Chicken/Shaoxing/2417,Epi582342,2013-10-20,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.80,2018.22,2013-10-20,Chicken,Aa: Na: G34r;
A/Zhejiang/22/2013,Epi477412,2013-10-14,unknown,China,Zhejiang,Zhejiang Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2013.78,2018.22,2013-10-14,Human,unknown
A/Zhejiang/DTID-ZJU10/2013,Epi477451,2013-10-14,unknown,China,Zhejiang,Shanghai Zhijiang Biotechnology Co.ltd,unknown,unknown,unknown,2013.78,2018.22,2013-10-14,Human,unknown
A/Chicken/Shaoxing/5224,Epi583139,2013-10-28,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.82,2018.22,2013-10-28,Chicken,unknown
A/Silkiechicken/Shaoxing/5235,Epi583153,2013-10-28,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.82,2018.22,2013-10-28,Chicken,unknown
A/Chicken/Shaoxing/5479,Epi583168,2013-10-29,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.82,2018.22,2013-10-29,Chicken,Aa: Na: K385m;
A/Chicken/Shaoxing/5087,Epi583097,2013-10-28,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.82,2018.22,2013-10-28,Chicken,unknown
A/Chicken/Shaoxing/5227,Epi583146,2013-10-28,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.82,2018.22,2013-10-28,Chicken,unknown
A/Chicken/Shaoxing/5086,Epi583090,2013-10-28,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.82,2018.22,2013-10-28,Chicken,unknown
A/Chicken/Shaoxing/5186,Epi583124,2013-10-28,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.82,2018.22,2013-10-28,Chicken,unknown
A/Huaian/65/2014,Epi692630,2014-02-24,unknown,China,Jiangsu,Other Database Import,unknown,unknown,unknown,2014.15,2018.22,2014-02-24,Human,unknown
A/Huaian/62/2014,Epi692621,2014-02-14,unknown,China,Jiangsu,Other Database Import,unknown,unknown,unknown,2014.12,2018.22,2014-02-14,Human,Aa: Na: A12v I15f D123g L130f I145t R148t L154m;
A/chicken/Huaian/041/2014,Epi692617,2014-02-04,unknown,China,Jiangsu,Other Database Import,unknown,unknown,unknown,2014.09,2018.22,2014-02-04,Chicken,Aa: Na: I236v;
A/Chicken/Shaoxing/5201,Epi583132,2013-10-28,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.82,2018.22,2013-10-28,Chicken,unknown
A/Environment/Jiangsu/938,Epi628023,2013-12-13,unknown,China,Jiangsu,Who Chinese National Influenza Center,unknown,unknown,unknown,2013.95,2018.22,2013-12-13,Environment,unknown
A/Environment/Jiangsu/317,Epi628407,2013-12-13,unknown,China,Jiangsu,Who Chinese National Influenza Center,unknown,unknown,unknown,2013.95,2018.22,2013-12-13,Environment,unknown
A/Chicken/Jiaxing/4490,Epi583074,2013-10-25,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.81,2018.22,2013-10-25,Chicken,Aa: Na: V22a;
A/Zhejiang/4/2014,Epi628359,2014-01-11,unknown,China,Zhejiang,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.03,2018.22,2014-01-11,Human,Aa: Na: N326s E448g;
A/Hangzhou/30/2014,Epi535138,2014-01-20,unknown,China,Zhejiang,Hangzhou Center For Disease Control And Prevention,unknown,unknown,unknown,2014.05,2018.22,2014-01-20,Human,unknown
A/Zhejiang/7802/2014,Epi628319,2014-01-20,unknown,China,Zhejiang,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.05,2018.22,2014-01-20,Human,unknown
A/Hangzhou/39/2014,Epi535162,2014-01-23,unknown,China,Zhejiang,Hangzhou Center For Disease Control And Prevention,unknown,unknown,unknown,2014.06,2018.22,2014-01-23,Human,unknown
A/Hangzhou/35/2014,Epi535146,2014-01-23,unknown,China,Zhejiang,Hangzhou Center For Disease Control And Prevention,unknown,unknown,unknown,2014.06,2018.22,2014-01-23,Human,unknown
A/Zhejiang/7801/2014,Epi628327,2014-01-23,unknown,China,Zhejiang,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.06,2018.22,2014-01-23,Human,unknown
A/Zhejiang/7800/2014,Epi628335,2014-01-23,unknown,China,Zhejiang,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.06,2018.22,2014-01-23,Human,unknown
A/Jiangsu/98342/2014,Epi566123,2014-11-17,unknown,China,Jiangsu,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.88,2018.22,2014-11-17,Human,Aa: Na: A365s I387t A396s;
A/Silkiechicken/HuZhou/4213,Epi583046,2013-10-24,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.81,2018.22,2013-10-24,Chicken,unknown
A/Chicken/HuZhou/4045,Epi582939,2013-10-24,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.81,2018.22,2013-10-24,Chicken,unknown
A/Chicken/HuZhou/4073,Epi582961,2013-10-24,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.81,2018.22,2013-10-24,Chicken,Aa: Na: V201i;
A/Chicken/HuZhou/4074,Epi582968,2013-10-24,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.81,2018.22,2013-10-24,Chicken,unknown
A/Chicken/HuZhou/3791,Epi582356,2013-10-24,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.81,2018.22,2013-10-24,Chicken,unknown
A/Chicken/HuZhou/4169,Epi583023,2013-10-24,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.81,2018.22,2013-10-24,Chicken,unknown
A/Chicken/HuZhou/4083,Epi583009,2013-10-24,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.81,2018.22,2013-10-24,Chicken,unknown
