Strain,Accession,Date,Region,Country,Division,Authors,Journal,Title,Url,Num Date,Fauna Date,Raw Date,Host,Labels
A/Duck/Guangdong/DG103/2015,Epi580328,2015-01-07,unknown,China,Guangdong,South China Agricultural University,unknown,unknown,unknown,2015.02,2018.22,2015-01-07,Duck,Aa: Np: M374i;
A/HongKong/8194273/2014,Epi553463,2014-12-25,unknown,Hong Kong,Hong Kong,Hong Kong Department Of Health,unknown,unknown,unknown,2014.98,2018.22,2014-12-25,Human,unknown
A/GD-1/2015/H7N9/2015-01-03,Epi656267,2015-01-03,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2015.01,2018.22,2015-01-03,Human,unknown
A/Guangdong/15SF001/2015,Epi627266,2015-01-04,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2015.01,2018.22,2015-01-04,Human,unknown
A/Guangdong/15SF057/2015,Epi1101528,2015-02-04,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2015.09,2018.22,2015-02-04,Human,unknown
A/GD-57/2015/H7N9/2015-02-03,Epi656411,2015-02-03,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2015.09,2018.22,2015-02-03,Human,unknown
A/Chicken/Guangdong/DG478/2014,Epi580268,2014-11-25,unknown,China,Guangdong,South China Agricultural University,unknown,unknown,unknown,2014.90,2018.22,2014-11-25,Chicken,unknown
A/GD-155/2014/H7N9/2014-11-19,Epi656251,2014-11-19,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.88,2018.22,2014-11-19,Human,unknown
A/Chicken/Guangdong/DG120/2015,Epi580348,2015-01-15,unknown,China,Guangdong,South China Agricultural University,unknown,unknown,unknown,2015.04,2018.22,2015-01-15,Chicken,unknown
A/Guangdong/2496/2014,Epi566085,2014-11-27,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.90,2018.22,2014-11-27,Human,unknown
A/Chicken/Guangdong/DG479/2014,Epi580276,2014-11-30,unknown,China,Guangdong,South China Agricultural University,unknown,unknown,unknown,2014.91,2018.22,2014-11-30,Chicken,unknown
A/Duck/Guangdong/DG527/2014,Epi580284,2014-12-02,unknown,China,Guangdong,South China Agricultural University,unknown,unknown,unknown,2014.92,2018.22,2014-12-02,Duck,unknown
A/HongKong/2550/2015,Epi559410,2015-01-23,unknown,Hong Kong,Hong Kong,Hong Kong Department Of Health,unknown,unknown,unknown,2015.06,2018.22,2015-01-23,Human,unknown
A/Chicken/Guangdong/HZ098/2015,Epi580315,2015-01-01,unknown,China,Guangdong,South China Agricultural University,unknown,unknown,unknown,2015.00,2018.22,2015-01-01,Chicken,unknown
A/Chicken/Guangdong/DG592/2014,Epi580292,2014-12-08,unknown,China,Guangdong,South China Agricultural University,unknown,unknown,unknown,2014.93,2018.22,2014-12-08,Other Avian,unknown
A/Environment/Guangdong/DG104/2015,Epi580338,2015-01-16,unknown,China,Guangdong,South China Agricultural University,unknown,unknown,unknown,2015.04,2018.22,2015-01-16,Environment,unknown
A/Chicken/Guangdong/DG593/2014,Epi580300,2014-12-12,unknown,China,Guangdong,South China Agricultural University,unknown,unknown,unknown,2014.94,2018.22,2014-12-12,Chicken,unknown
A/GD-18/2015/H7N9/2015-01-11,Epi656291,2015-01-11,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2015.03,2018.22,2015-01-11,Human,unknown
A/Environment/Guangdong/2235,Epi628705,2015-01-11,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2015.03,2018.22,2015-01-11,Environment,unknown
A/Guangdong/15SF018/2015,Epi566029,2015-01-12,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2015.03,2018.22,2015-01-12,Human,unknown
A/HongKong/8130773/2015,Epi566665,2015-02-22,unknown,Hong Kong,Hong Kong,Hong Kong Department Of Health,unknown,unknown,unknown,2015.14,2018.22,2015-02-22,Human,Aa: Np: I301v;
A/GD-42/2015/H7N9/2015-01-25,Epi656355,2015-01-25,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2015.07,2018.22,2015-01-25,Human,unknown
A/Environment/Guangdong/DG127/2015,Epi580356,2015-02-20,unknown,China,Guangdong,South China Agricultural University,unknown,unknown,unknown,2015.14,2018.22,2015-02-20,Environment,Aa: Np: P318t;
A/chicken/Guangdong/SC092/2013,Epi1090270,2013-08-12,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.61,2018.22,2013-08-12,Chicken,unknown
A/chicken/Guangdong/SC086/2013,Epi1090262,2013-08-12,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.61,2018.22,2013-08-12,Chicken,unknown
A/Guangdong-Guangzhou/XN00588/2014,Epi627650,2014-02-16,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.13,2018.22,2014-02-16,Human,Aa: Np: V363i;
A/Guangdong-Guangzhou/XN06839/2014,Epi627793,2014-02-11,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.11,2018.22,2014-02-11,Human,unknown
A/GD-105/2014/H7N9/2014-02-11,Epi656095,2014-02-11,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.11,2018.22,2014-02-11,Human,unknown
A/GD-112/2014/H7N9/2014-02-18,Epi656117,2014-02-18,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.13,2018.22,2014-02-18,Human,unknown
