Strain,Accession,Date,Region,Country,Division,Authors,Journal,Title,Url,Num Date,Fauna Date,Raw Date,Host,Labels
A/Shenzhen/SP118/2014,Epi577888,2014-03-18,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.21,2018.22,2014-03-18,Human,Aa: Pa: F35l A70v V341m Q365h K391r; Pa-x: F35l A70v;
A/Environment/Guangdong/4740,Epi628532,2014-05-21,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.38,2018.22,2014-05-21,Environment,Aa: Pa: V100i N272s; Pa-x: V100i;
A/Guangdong-Guangzhou/XN00509/2014,Epi627661,2014-02-10,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.11,2018.22,2014-02-10,Human,Aa: Pa: G99r; Pa-x: G99r;
A/GD-103/2014/H7N9/2014-02-10,Epi656082,2014-02-10,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.11,2018.22,2014-02-10,Human,unknown
A/HongKong/5581/2014,Epi516594,2014-04-03,unknown,Hong Kong,Hong Kong,Hong Kong Department Of Health,unknown,unknown,unknown,2014.25,2018.22,2014-04-03,Human,Aa: Pa: I465v E684k;
A/GD-51/2015/H7N9/2015-01-30,Epi656398,2015-01-30,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2015.08,2018.22,2015-01-30,Human,unknown
A/Guangdong/15SF051/2015,Epi627053,2015-01-31,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2015.08,2018.22,2015-01-31,Human,unknown
A/GD-68/2015/H7N9/2015-02-08,Epi656438,2015-02-08,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2015.10,2018.22,2015-02-08,Human,unknown
A/Silkiechicken/Shenzhen/2139,Epi576693,2013-12-13,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.95,2018.22,2013-12-13,Chicken,Aa: Pa: V379i;
A/Shenzhen/SP44/2014,Epi576883,2014-01-23,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.06,2018.22,2014-01-23,Human,Aa: Pa: N614t;
A/Silkiechicken/Shenzhen/2134,Epi576692,2013-12-13,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.95,2018.22,2013-12-13,Chicken,unknown
A/HongKong/5942/2013,Epi490878,2013-11-30,unknown,Hong Kong,Hong Kong,Hong Kong Department Of Health,unknown,unknown,unknown,2013.91,2018.22,2013-11-30,Human,unknown
A/HongKong/470129/2013,Epi509522,2013-11-30,unknown,Hong Kong,Hong Kong,Other Database Import,unknown,unknown,unknown,2013.91,2018.22,2013-11-30,Human,unknown
A/chicken/Guangdong/SD025/2014,Epi1090348,2014-03-08,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.18,2018.22,2014-03-08,Chicken,unknown
A/chicken/Guangdong/SC092/2013,Epi1090268,2013-08-12,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.61,2018.22,2013-08-12,Chicken,unknown
A/chicken/Guangdong/SC086/2013,Epi1090260,2013-08-12,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.61,2018.22,2013-08-12,Chicken,unknown
A/GD-120/2015/H7N9/2015-03-10,Epi656502,2015-03-10,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2015.19,2018.22,2015-03-10,Human,Aa: Pa: V44i S115g I545v K626r; Pa-x: V44i S115g;
A/Guangdong/12/2014,Epi628092,2014-01-04,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.01,2018.22,2014-01-04,Human,unknown
A/GD-12/2014/H7N9/2014-01-03,Epi655874,2014-01-03,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.01,2018.22,2014-01-03,Human,unknown
A/Guangdong/2124/2014,Epi628492,2014-01-04,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.01,2018.22,2014-01-04,Human,unknown
A/GD-13/2014/H7N9/2014-01-03,Epi655882,2014-01-03,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.01,2018.22,2014-01-03,Human,unknown
A/Guangdong/DG-02/2013,Epi515857,2013-11-01,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2013.84,2018.22,2013-11-xx,Human,unknown
A/Guangdong/2/2013,Epi499913,2013-11-04,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.84,2018.22,2013-11-04,Human,unknown
A/GD-29/2014/H7N9/2014-01-11,Epi655922,2014-01-11,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.03,2018.22,2014-01-11,Human,unknown
A/Guangdong/29/2014,Epi628116,2014-01-09,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.02,2018.22,2014-01-09,Human,unknown
A/Guangdong/24999/2013,Epi628508,2013-12-16,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2013.96,2018.22,2013-12-16,Human,unknown
A/Guangdong/4/2013,Epi506240,2013-12-16,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-16,Human,unknown
A/Guangdong/YJ-04/2013,Epi515873,2013-12-01,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2013.96,2018.22,2013-12-xx,Human,unknown
A/Environmental/Guangdong/30,Epi627956,2013-12-16,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2013.96,2018.22,2013-12-16,Environment,unknown
A/Guangdong-Guangzhou/XN02933/2014,Epi627788,2014-01-16,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.04,2018.22,2014-01-16,Human,unknown
A/Guangdong-Guangzhou/XN00298/2014,Epi627765,2014-02-02,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.09,2018.22,2014-02-02,Human,unknown
A/Chicken/Dongguan/3488,Epi576725,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken,unknown
A/Chicken/Dongguan/3418,Epi576721,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken,unknown
A/Chicken/Dongguan/3146,Epi576713,2013-12-18,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-18,Chicken,unknown
A/Chicken/Dongguan/3112,Epi576698,2013-12-18,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-18,Chicken,unknown
