Country,Month,Year,Lat,Lon,Value,ISO2,ISO3
China,2,2013,35.86,104.2,2,CN,CHN
China,3,2013,35.86,104.2,14,CN,CHN
China,4,2013,35.86,104.2,118,CN,CHN
China,5,2013,35.86,104.2,18,CN,CHN
China,7,2013,35.86,104.2,1,CN,CHN
China,8,2013,35.86,104.2,3,CN,CHN
China,10,2013,35.86,104.2,26,CN,CHN
China,11,2013,35.86,104.2,3,CN,CHN
China,12,2013,35.86,104.2,89,CN,CHN
China,1,2014,35.86,104.2,119,CN,CHN
China,2,2014,35.86,104.2,193,CN,CHN
China,3,2014,35.86,104.2,43,CN,CHN
China,4,2014,35.86,104.2,39,CN,CHN
China,5,2014,35.86,104.2,18,CN,CHN
China,6,2014,35.86,104.2,9,CN,CHN
China,7,2014,35.86,104.2,7,CN,CHN
China,8,2014,35.86,104.2,1,CN,CHN
China,10,2014,35.86,104.2,4,CN,CHN
China,11,2014,35.86,104.2,15,CN,CHN
China,12,2014,35.86,104.2,21,CN,CHN
China,1,2015,35.86,104.2,86,CN,CHN
China,2,2015,35.86,104.2,33,CN,CHN
China,3,2015,35.86,104.2,22,CN,CHN
China,4,2015,35.86,104.2,7,CN,CHN
China,5,2015,35.86,104.2,6,CN,CHN
China,6,2015,35.86,104.2,1,CN,CHN
China,8,2015,35.86,104.2,1,CN,CHN
China,11,2015,35.86,104.2,8,CN,CHN
China,12,2015,35.86,104.2,5,CN,CHN
China,1,2016,35.86,104.2,16,CN,CHN
China,2,2016,35.86,104.2,20,CN,CHN
China,3,2016,35.86,104.2,10,CN,CHN
China,4,2016,35.86,104.2,5,CN,CHN
China,5,2016,35.86,104.2,9,CN,CHN
China,6,2016,35.86,104.2,5,CN,CHN
China,7,2016,35.86,104.2,3,CN,CHN
China,10,2016,35.86,104.2,2,CN,CHN
China,11,2016,35.86,104.2,6,CN,CHN
China,12,2016,35.86,104.2,92,CN,CHN
China,1,2017,35.86,104.2,151,CN,CHN
China,2,2017,35.86,104.2,110,CN,CHN
China,3,2017,35.86,104.2,57,CN,CHN
China,4,2017,35.86,104.2,49,CN,CHN
China,5,2017,35.86,104.2,52,CN,CHN
China,6,2017,35.86,104.2,23,CN,CHN
Hong Kong,11,2013,22.4,114.11,2,HK,HKG
Hong Kong,1,2014,22.4,114.11,3,HK,HKG
Hong Kong,2,2014,22.4,114.11,1,HK,HKG
Hong Kong,3,2014,22.4,114.11,2,HK,HKG
Hong Kong,4,2014,22.4,114.11,3,HK,HKG
Hong Kong,12,2014,22.4,114.11,1,HK,HKG
Hong Kong,1,2015,22.4,114.11,1,HK,HKG
Hong Kong,2,2015,22.4,114.11,1,HK,HKG
Hong Kong,2,2016,22.4,114.11,1,HK,HKG
Hong Kong,3,2016,22.4,114.11,1,HK,HKG
Hong Kong,4,2016,22.4,114.11,1,HK,HKG
Hong Kong,12,2016,22.4,114.11,2,HK,HKG
Hong Kong,1,2017,22.4,114.11,3,HK,HKG
Hong Kong,3,2017,22.4,114.11,1,HK,HKG
Japan,6,2017,36.2,138.25,1,JP,JPN
Taiwan,4,2013,23.7,120.96,2,TW,TWN
Taiwan,12,2013,23.7,120.96,1,TW,TWN
Taiwan,4,2014,23.7,120.96,4,TW,TWN
Taiwan,2,2017,23.7,120.96,1,TW,TWN
