Strain,Accession,Date,Region,Country,Division,Authors,Journal,Title,Url,Num Date,Raw Date,Dtiter,Location,Dtiter Sanofi,Ctiter,Labels
DENV2/TRINIDAD_AND_TOBAGO/NA/1953,L10053,1953-01-01,Caribbean,Trinidad And Tobago,Trinidad,Chang Et Al.,unknown,unknown,unknown,1954.00,1953-xx-xx,0.00,Trinidad,0.00,0.00,Aa: C: N10i K17n; E: S7a E71d E126k V129i I162v S363r N390d F402l V484i; M: C66* R129x; Ns2b: I73x E89x E92d L123x; Ns2a: L10x L93x T104x I120l N139x; Ns4a: A21g; Ns1: L13x N65k K112n L124x D157e F163c N207k D208x K214n; Ns3: K26x N119s S158i D180x L216x R236g R248x S293r E338d S453x E512d Y548f; Ns5: C91x K95x K105n W121r F134v T135i K139x N174d E217x E398* R439s L504x E551x E566x K570i T572s E616a R649x R698i N701x R842s C847w M883v F889l;
DENV2/INDIA/742295/1974,Fj538920,1974-01-01,South Asia,India,India,Barde Et Al.,unknown,unknown,unknown,1975.00,1974-xx-xx,0.00,India,0.00,0.00,Aa: E: F402v;
DENV2/SEYCHELLES/NA/1977,L10048,1977-01-01,Subsaharan Africa,Seychelles,Seychelles,Chang Et Al.,unknown,unknown,unknown,1978.00,1977-xx-xx,0.00,Seychelles,0.00,0.00,Aa: E: V358g;
DENV2/SRI_LANKA/SRILANKA/1990,L10049,1990-01-01,South Asia,Sri Lanka,Sri Lanka,Chang Et Al.,unknown,unknown,unknown,1990.00,1990-xx-xx,0.00,Sri Lanka,0.00,0.00,Aa: E: F119l I432v L489s;
DENV2/SRI_LANKA/SRILANKA/1985,L10050,1985-01-01,South Asia,Sri Lanka,Sri Lanka,Chang Et Al.,unknown,unknown,unknown,1985.00,1985-xx-xx,0.00,Sri Lanka,0.00,0.00,Aa: E: W20s R411t;
DENV2/INDIA/NIV6379/1983,Fj538922,1983-01-01,South Asia,India,India,Barde Et Al.,unknown,unknown,unknown,1983.84,1983-xx-xx,0.00,India,0.00,0.00,Aa: E: G112s E126k L253s;
DENV2/INDIA/NIV6584/1991,Fj538923,1991-01-01,South Asia,India,India,Barde Et Al.,unknown,unknown,unknown,1991.00,1991-xx-xx,0.00,India,0.00,0.00,Aa: E: V129i I170t I322v S390n; Ns1: V177a;
DENV2/SRI_LANKA/BIDV2416/1996,Fj882602,1996-01-01,South Asia,Sri Lanka,Sri Lanka,Alvarado Et Al.,unknown,unknown,unknown,1996.00,1996-xx-xx,0.00,Sri Lanka,0.00,0.00,unknown
DENV2/SRI_LANKA/SRILANKA/1989,L10055,1989-01-01,South Asia,Sri Lanka,Sri Lanka,Chang Et Al.,unknown,unknown,unknown,1990.00,1989-xx-xx,0.00,Sri Lanka,0.00,0.00,Aa: E: V484i;
DENV2/INDIA/NIV315/1993,Fj538911,1993-01-01,South Asia,India,India,Barde Et Al.,unknown,unknown,unknown,1993.00,1993-xx-xx,0.00,India,0.00,0.00,Aa: E: E126k G399s; Ns1: I188v;
DENV2/INDIA/RGCB880/2010,Ky427084,2010-09-01,South Asia,India,India,Anupriya Et Al.,unknown,unknown,unknown,2010.67,2010-09-01,0.00,India,0.00,0.00,Aa: E: A173t; M: I135v; Ns2b: R60k; Ns2a: I152v; Ns1: S103f; Ns3: V351i H487y; Ns5: T135i P154s E289g I568v Q644r R649k;
DENV2/INDIA/1392/2009,Jx475906,2009-01-01,South Asia,India,Telangana,Agarwal Et Al.,unknown,unknown,unknown,2010.00,2009-xx-xx,0.00,Hyderabad,0.00,0.00,unknown
DENV2/INDIA/766/2015,Ku509306,2015-01-01,South Asia,India,India,Cadar Et Al.,unknown,unknown,unknown,2015.00,2015-xx-xx,0.00,India,0.00,0.00,Aa: E: V347i M401i V461a;
DENV2/INDIA/ILBS02/2015,Kx061420,2015-08-26,South Asia,India,India,Choudhary Et Al.,unknown,unknown,unknown,2015.65,2015-08-26,0.00,India,0.00,0.00,unknown
DENV2/INDIA/ILBS07/2015,Kx061425,2015-08-26,South Asia,India,India,Choudhary Et Al.,unknown,unknown,unknown,2015.65,2015-08-26,0.00,India,0.00,0.00,unknown
DENV2/INDIA/ILBS05/2015,Kx061423,2015-08-26,South Asia,India,India,Choudhary Et Al.,unknown,unknown,unknown,2015.65,2015-08-26,0.00,India,0.00,0.00,unknown
