Author,n (strains),publication title,journal,publication URL,strains
Duoc et al.,5,?,,unknown,DENV3/TAIWAN/928PT1111A/2011 DENV3/INDIA/DIA09ATW/2011 DENV3/INDIA/DIA08ATW/2011 DENV3/INDIA/DIA03ATW/2013 DENV3/TAIWAN/832KH1210A/2012
Alvarado et al.,75,?,,unknown,DENV3/AMERICAN_SAMOA/BIDV2973/1995 DENV3/COOK_ISLANDS/BIDV2972/1991 DENV3/THAILAND/BIDV3360/1973 DENV3/CAMBODIA/BIDV2077/2002 DENV3/CAMBODIA/BIDV2078/2002 DENV3/VIETNAM/BIDV1329/2006 DENV3/VIETNAM/BIDV1008/2006 DENV3/VIETNAM/BIDV1817/2007 DENV3/VIETNAM/BIDV1326/2006 DENV3/CAMBODIA/BIDV4315/2008 DENV3/CAMBODIA/BIDV2082/2003 DENV3/CAMBODIA/BIDV2053/2008 DENV3/CAMBODIA/BIDV4282/2007 DENV3/CAMBODIA/BIDV4284/2007 DENV3/SRI_LANKA/BIDV2412/1989 DENV3/SRI_LANKA/BIDV2414/1985 DENV3/SRI_LANKA/BIDV2413/1993 DENV3/SRI_LANKA/BIDV2411/1989 DENV3/SRI_LANKA/BIDV2409/1997 DENV3/MOZAMBIQUE/BIDV2418/1985 DENV3/NICARAGUA/BIDV2420/1994 DENV3/PUERTO_RICO/BIDV859/1998 DENV3/PUERTO_RICO/BIDV1080/2006 DENV3/PUERTO_RICO/BIDV858/2003 DENV3/PUERTO_RICO/BIDV1614/2004 DENV3/PUERTO_RICO/BIDV2110/2000 DENV3/PUERTO_RICO/BIDV2106/2000 DENV3/PUERTO_RICO/BIDV1480/2003 DENV3/PUERTO_RICO/BIDV1450/1998 DENV3/PUERTO_RICO/BIDV1736/1999 DENV3/PUERTO_RICO/BIDV1455/1999 DENV3/PUERTO_RICO/BIDV1481/2003 DENV3/PUERTO_RICO/BIDV1624/2005 DENV3/PUERTO_RICO/BIDV1621/2005 DENV3/PUERTO_RICO/BIDV1607/2004 DENV3/PUERTO_RICO/BIDV1615/2004 DENV3/PUERTO_RICO/429965/2006 DENV3/PUERTO_RICO/BIDV1625/2005 DENV3/PUERTO_RICO/BIDV1416/2007 DENV3/PUERTO_RICO/BIDV1417/2007 DENV3/PUERTO_RICO/BIDV1415/2007 DENV3/PUERTO_RICO/BIDV1460/2000 DENV3/VENEZUELA/BIDV2174/2000 DENV3/VENEZUELA/BIDV2965/2000 DENV3/VENEZUELA/BIDV2202/2001 DENV3/VENEZUELA/BIDV2452/2001 DENV3/SPAIN/BIDV3405/2007 DENV3/VENEZUELA/BIDV2966/2001 DENV3/SPAIN/BIDV3400/2004 DENV3/SPAIN/BIDV3401/2004 DENV3/SPAIN/BIDV2984/2003 DENV3/SPAIN/BIDV3392/2001 DENV3/SPAIN/BIDV3393/2002 DENV3/SPAIN/BIDV2988/2007 DENV3/SPAIN/BIDV3398/2003 DENV3/PUERTO_RICO/BIDV1044/2006 DENV3/ECUADOR/BIDV2975/2000 DENV3/PUERTO_RICO/BIDV1090/1998 DENV3/NICARAGUA/BIDV4753/2009 DENV3/NICARAGUA/BIDV3169/2008 DENV3/NICARAGUA/BIDV3163/2008 DENV3/NICARAGUA/BIDV3175/2008 DENV3/NICARAGUA/BIDV5488/2010 DENV3/DOMINICAN_REPUBLIC/BIDV5441/2009 DENV3/INDONESIA/BIDV5101/2009 DENV3/DOMINICAN_REPUBLIC/BIDV5445/2009 DENV3/NICARAGUA/BIDV4831/2009 DENV3/NICARAGUA/BIDV5508/2010 DENV3/NICARAGUA/BIDV4861/2009 DENV3/NICARAGUA/BIDV5516/2010 DENV3/SPAIN/BIDV5455/2009 DENV3/SPAIN/BIDV5467/2010 DENV3/SPAIN/BIDV5449/2009 DENV3/SPAIN/BIDV5468/2010 DENV3/SPAIN/BIDV5464/2009
Attatippaholkun et al.,1,?,,unknown,DENV3/THAILAND/CH53489/1973
Andrade et al.,7,?,,unknown,DENV3/SRI_LANKA/SRILANCDC073/1985 DENV3/SRI_LANKA/SRILAN1CDCSK06/1993 DENV3/SRI_LANKA/3055/2003 DENV3/SRI_LANKA/3050/2004 DENV3/SRI_LANKA/3054/2004 DENV3/SRI_LANKA/3053/2004 DENV3/SRI_LANKA/SRILAN1/1997
AbouHaider et al.,6,?,,unknown,DENV3/PAKISTAN/E53/2011 DENV3/PAKISTAN/E55/2011 DENV3/PAKISTAN/E52/2011 DENV3/PAKISTAN/SWAT04B/2013 DENV3/PAKISTAN/SWAT01B/2013 DENV3/PAKISTAN/SWAT05B/2013
Akihiko et al.,2,?,,unknown,DENV3/CHINA/GD2006/2010 DENV3/CHINA/0023JM/2010
Dhenni et al.,1,?,,unknown,DENV3/INDONESIA/10225/2016
Abd-Alla et al.,1,?,,unknown,DENV3/SAUDI_ARABIA/JEDDAH/2014
Alisjahbana et al.,2,?,,unknown,DENV3/THAILAND/C0331/1994 DENV3/THAILAND/C0360/1994
Bennett et al.,2,?,,unknown,DENV3/AUSTRALIA/CAIRNS/2008 DENV3/AUSTRALIA/CAIRNS/1998
