Strain,Accession,Date,Region,Country,Division,Authors,Journal,Title,Url,Num Date,Raw Date,Dtiter,Location,Dtiter Sanofi,Ctiter
DENV4/INDIA/NIV4000/1962,Jq686064,1962-01-01,South Asia,India,India,Bhagat Et Al.,unknown,unknown,unknown,1962.98,1962-xx-xx,0.00,India,0.00,0.00
DENV4/INDIA/000/1962,Jq922558,1962-01-01,South Asia,India,Tamil Nadu,Cecilia Et Al.,unknown,unknown,unknown,1962.98,1962-xx-xx,0.00,Vellore,0.00,0.00
DENV4/INDIA/NIV1302/1963,Jq686057,1963-01-01,South Asia,India,India,Bhagat Et Al.,unknown,unknown,unknown,1963.00,1963-xx-xx,0.00,India,0.00,0.00
DENV4/INDIA/NIV431/1964,Jq686060,1964-01-01,South Asia,India,India,Bhagat Et Al.,unknown,unknown,unknown,1964.00,1964-xx-xx,0.00,India,0.00,0.00
DENV4/INDIA/NIV1319/1961,Jq686059,1961-01-01,South Asia,India,India,Bhagat Et Al.,unknown,unknown,unknown,1962.00,1961-xx-xx,0.00,India,0.00,0.00
DENV4/INDIA/DIAG11337/1961,Jf262783,1961-01-01,South Asia,India,India,Cardosa Et Al.,unknown,unknown,unknown,1961.00,1961-xx-xx,0.00,India,0.00,0.00
DENV4/PAKISTAN/I5/2014,Kt239367,2014-01-01,West Asia,Pakistan,Pakistan,Afzal Et Al.,unknown,unknown,unknown,2014.00,2014-xx-xx,0.00,Pakistan,0.00,0.00
DENV4/INDIA/NIV41291/1965,Jq686063,1965-01-01,South Asia,India,India,Bhagat Et Al.,unknown,unknown,unknown,1965.00,1965-xx-xx,0.00,India,0.00,0.00
DENV4/INDIA/NIV41292/1965,Jq686061,1965-01-01,South Asia,India,India,Bhagat Et Al.,unknown,unknown,unknown,1966.00,1965-xx-xx,0.00,India,0.00,0.00
DENV4/THAILAND/0017/1997,Ay618989,1997-01-01,Southeast Asia,Thailand,Bangkok,Holmes Et Al.,unknown,unknown,unknown,1997.80,1997-xx-xx,0.00,Bangkok,0.00,0.00
DENV4/THAILAND/0476/1997,Ay618988,1997-01-01,Southeast Asia,Thailand,Bangkok,Holmes Et Al.,unknown,unknown,unknown,1998.00,1997-xx-xx,0.00,Bangkok,0.00,0.00
DENV4/VIETNAM/TG879/1990,Ay786200,1990-01-01,Southeast Asia,Vietnam,Vietnam,Ha Et Al.,unknown,unknown,unknown,1990.00,1990-xx-xx,0.00,Vietnam,0.00,0.00
DENV4/PHILIPPINES/H241/1956,Kr011349,1956-01-01,Southeast Asia,Philippines,Philippines,Anez Et Al.,unknown,unknown,unknown,1956.78,1956-xx-xx,0.00,Philippines,0.00,0.00
DENV4/PHILIPPINES/BIDV3361/1956,Gq868594,1956-01-01,Southeast Asia,Philippines,Philippines,Alvarado Et Al.,unknown,unknown,unknown,1957.00,1956-xx-xx,0.00,Philippines,0.00,0.00
DENV4/PHILIPPINES/H241P/1956,Fj439174,1956-08-28,Southeast Asia,Philippines,Philippines,Anez Et Al.,unknown,unknown,unknown,1956.66,1956-08-28,0.00,Philippines,0.00,0.00
DENV4/MICRONESIA/MCDB043/1995,Jf804056,1995-01-01,Oceania,Micronesia,Micronesia,Colon Et Al.,unknown,unknown,unknown,1996.00,1995-xx-xx,0.00,Micronesia,0.00,0.00
DENV4/AUSTRALIA/TOWNSVILLE/2005,Jn575596,2005-01-01,Oceania,Australia,Australia,Northill Et Al.,unknown,unknown,unknown,2005.00,2005-xx-xx,0.00,Australia,0.00,0.00
