name,pop,lat,lon
Afghanistan,4,33.7680065,66.2385139
Albania,1,11.24488255,-72.5160988093715
Algeria,4,28.0000272,2.9999825
Argentina,17,-34.9964963,-64.9672817
Australia,122,-24.7761086,134.755
Azerbaijan,1,40.3936294,47.7872508
Bahrain,3,35.2078012,72.5473968
Bangladesh,85,24.4768783,90.2932426
Belize,1,16.8259793,-88.7600927
Bermuda,2,32.3018217,-64.7603583
Bolivia,9,-17.0568696,-64.9912286
Brazil,63,-10.3333333,-53.2
Burkina Faso,2,12.0753083,-1.6880314
Cambodia,23,13.5066394,104.869423
Cameroon,18,4.6125522,13.1535811
Canada,8,61.0666922,-107.9917071
Chile,16,-31.7613365,-71.3187697
China,115,25.4915799,-98.9811115045569
Colombia,20,2.8894434,-73.783892
Congo,7,-0.7264327,15.6419155
Costa Rica,5,10.2735633,-84.0739102
Cote D Ivoire,11,43.5957594,1.486982
Cyprus,1,34.9823018,33.1451285
Czech Republic,1,49.8167003,15.4749544
Denmark,16,55.670249,10.3333283
Dominica,1,15.4113138,-61.3653618
Ecuador,7,-1.3397668,-79.3666965
Egypt,3,26.2540493,29.2675469
El Salvador,2,13.8000382,-88.9140683
Ethiopia,8,10.2116702,38.6521203
Fiji,16,-18.1239696,179.0122737
France,13,46.603354,1.8883335
French Guiana,12,4.0039882,-52.999998
Germany,4,51.0834196,10.4234469
Ghana,8,8.0300284,-1.0800271
Greece,2,38.9953683,21.9877132
Guam,1,13.444138,144.733626445767
Guatemala,15,15.6356088,-89.8988087
Honduras,3,15.0610686,-84.5978534
Hong Kong,53,22.2793278,114.1628131
Iceland,4,51.38660965,0.547714867236488
India,15,22.3511148,78.6677428
Indonesia,13,-4.7993356,114.5632032
Iran,5,32.9407496,52.9471344
Israel,2,30.8760272,35.0015196
Italy,7,42.6384261,12.674297
Japan,195,36.5748441,139.2394179
Jordan,4,31.1667049,36.941628
Kazakhstan,21,47.2286086,65.2093197
Kenya,8,1.4419683,38.4313975
Laos,20,20.0171109,103.378253
Latvia,1,56.8406494,24.7537645
Lebanon,1,33.8750629,35.843409
Madagascar,12,-18.78295335,46.7119260933426
Malaysia,2,2.3923759,112.8471939
Maldives,11,25.2258151,55.1830144241155
Mali,26,16.3700359,-2.2900239
Mayotte,2,-12.823048,45.1520755
Mexico,2,19.4326009,-99.1333416
Mongolia,3,46.8250388,103.8499736
Morocco,7,31.1728192,-7.3366043
Mozambique,3,19.058889,-96.254167
Myanmar,4,17.1750495,95.9999652
Netherlands,41,52.2379891,5.53460738161551
New Caledonia,1,-21.3019905,165.4880773
New Zealand,24,-41.5000831,172.8344077
Nicaragua,2,12.3724928,-84.8700308
Niger,5,17.7356214,9.3238432
Norway,35,64.5731537,11.5280364395482
Oman,22,25.22789295,55.1766685144623
Pakistan,12,30.3308401,71.247499
Panama,1,8.3096067,-81.3066246
Papua New Guinea,1,-5.6816069,144.2489081
Paraguay,2,-23.3165935,-58.1693445
Peru,16,41.3272919,-89.1287636
Philippines,7,12.7503486,122.7312101
Portugal,7,40.033265,-7.8896263
Puerto Rico,9,18.22141715,-66.4132818505648
Qatar,3,25.22803095,55.17332793087
Romania,5,45.9852129,24.6859225
Russia,50,64.6863136,97.7453061
Rwanda,2,-1.9646631,30.0644358
Saudi Arabia,7,14.4845383,121.0221299
Senegal,1,14.4750607,-14.4529612
Sierra Leone,1,8.6400349,-11.8400269
Singapore,47,1.2904753,103.8520359
Slovakia,1,48.7411522,19.4528646
Slovenia,2,45.8133113,14.4808369
South Africa,44,-28.8166236,24.991639
South Korea,9,41.7816885,123.4204203
Spain,9,40.0028028,-4.003104
Sri Lanka,18,7.878,80.7038245875
Suriname,8,4.1413025,-56.0771187
Sweden,24,59.6749712,14.5208584
Taiwan,33,23.59829785,120.835363138175
Tajikistan,1,38.6281733,70.8156541
Tanzania,12,-6.5247123,35.7878438
Thailand,49,14.8971921,100.83273
Togo,1,8.7800265,1.0199765
Trinidad And Tobago,1,10.8677845,-60.9821067
Tunisia,13,33.8439408,9.400138
Turkey,3,38.9597594,34.9249653
USA,178,39.7837304,-100.4458825
Uganda,2,1.5333554,32.2166578
Ukraine,15,49.4871968,31.2718321
United Arab Emirates,6,24.0002488,53.9994829
United Kingdom,49,25.2232283,55.1594933008754
Venezuela,1,8.0018709,-66.1109318
Vietnam,43,13.2904027,108.4265113
Zambia,3,-14.5186239,27.5599164
