Country,Month,Year,Lat,Lon,Value,ISO2,ISO3
Guinea,1,2003,9.95,-9.7,1,GN,GIN
Guinea,5,2014,9.95,-9.7,6,GN,GIN
Liberia,1,2010,6.43,-9.43,1,LR,LBR
Mali,6,2009,17.57,-4.0,1,ML,MLI
Mali,3,2012,17.57,-4.0,2,ML,MLI
Nigeria,1,1969,9.08,8.68,2,NG,NGA
Nigeria,1,1989,9.08,8.68,1,NG,NGA
Nigeria,1,2008,9.08,8.68,11,NG,NGA
Nigeria,1,2009,9.08,8.68,29,NG,NGA
Nigeria,1,2010,9.08,8.68,12,NG,NGA
Nigeria,1,2011,9.08,8.68,21,NG,NGA
Nigeria,10,2011,9.08,8.68,2,NG,NGA
Nigeria,1,2012,9.08,8.68,27,NG,NGA
Nigeria,10,2012,9.08,8.68,1,NG,NGA
Nigeria,1,2016,9.08,8.68,2,NG,NGA
Nigeria,2,2016,9.08,8.68,2,NG,NGA
Nigeria,3,2016,9.08,8.68,2,NG,NGA
Nigeria,4,2016,9.08,8.68,2,NG,NGA
Nigeria,5,2016,9.08,8.68,2,NG,NGA
Nigeria,6,2016,9.08,8.68,1,NG,NGA
Nigeria,7,2016,9.08,8.68,1,NG,NGA
Nigeria,8,2016,9.08,8.68,1,NG,NGA
Nigeria,9,2016,9.08,8.68,1,NG,NGA
Nigeria,10,2016,9.08,8.68,1,NG,NGA
Nigeria,11,2016,9.08,8.68,1,NG,NGA
Sierra Leone,1,2009,8.46,-11.78,8,SL,SLE
Sierra Leone,1,2010,8.46,-11.78,7,SL,SLE
Sierra Leone,1,2011,8.46,-11.78,18,SL,SLE
Sierra Leone,1,2012,8.46,-11.78,21,SL,SLE
Sierra Leone,1,2013,8.46,-11.78,11,SL,SLE
Togo,2,2016,8.62,0.82,1,TG,TGO
Togo,3,2016,8.62,0.82,1,TG,TGO
