Author,n (strains),publication title,journal,publication URL,strains
Druelle et al,1,Wild Type Measles Virus Attenuation Independent Of Type I Ifn,Virol. J. 5 22  2008 ,https://www.ncbi.nlm.nih.gov/pubmed/18241351,Gambia/1993
Kirkness et al,10,Direct Submission,Submitted  30-aug-2011  J. Craig Venter Institute 9704 Medical Center Drive Rockville Md 20850 Usa,unknown,Pennsylvania.USA/20.09 New_Jersey.USA/45.05 Arizona.USA/11.08/2 Washington.USA/18.08/1 California.USA/8.04 Florida.USA/19.09 New_York.USA/26.09/3 California.USA/16.03 Virginia.USA/15.09 Texas.USA/4.07
Oude Munnink et al,2,Complete Genome Characterization Of Two Wild-type Measles Viruses From Vietnamese Infants During The 2014 Outbreak,Genome Announc 4  2   2016 ,https://www.ncbi.nlm.nih.gov/pubmed/27081130,DongThap.VNM/08.14/D8 DongThap.VNM/06.14/D8
Mura et al,1,Non-encapsidated 5  Copy-back Defective-interfering Genomes Produced By Recombinant Measles Viruses Are Recognized By Rig-i And Lgp2 But Not Mda5,J. Virol.  2017  In Press,https://www.ncbi.nlm.nih.gov/pubmed/28768856,Paris.FRA/18.11/D4
Phan et al,6,Complete Genome Sequences Of Six Measles Virus Strains,Unpublished,unknown,Amsterdam.NLD/27.97/H1 Amsterdam.NLD/49.97/G2 Bilthoven.NLD/1991/C2 Khartoum.SUD/34.97/B3 Amsterdam.NLD/19.11/D4 Dodewaard.NLD/29.13/D8
Gardy et al,2,Whole-genome Sequencing Of Measles Virus Genotypes H1 And D8 During Outbreaks Of Infection Following The 2010 Olympic Winter Games Reveals Viral Transmission Routes,J. Infect. Dis.  2015  In Press,https://www.ncbi.nlm.nih.gov/pubmed/26153409,BritishColumbia.CAN/12.10/1/H1 BritishColumbia.CAN/13.10/1/D8
Ma et al,1,Isolation And Complete Nucleotide Sequence Of The Measles Virus Imb-1 Strain In China,Virol Sin 25  6  381-389  2010 ,https://www.ncbi.nlm.nih.gov/pubmed/21221916,IMB-1
Sparrer et al,1,Complete Genome Sequence Of A Wild-type Measles Virus Isolated During The Spring 2013 Epidemic In Germany,Genome Announc 2  2  E00157-14  2014 ,https://www.ncbi.nlm.nih.gov/pubmed/24744323,Muenchen.DEU/19.13/D8
Dina et al,1,Complete Genome Characterization Of A Wild-type Measles Virus Isolated From A Healthcare Worker During A 2016 Outbreak In A Refugee Settlement In France,Unpublished,unknown,Calais.FRA/01.16/B3
Jin et al,7,Evolutionary History Of The Endemic Strains Of Chinese Measles Virus,Unpublished,unknown,Zhejiang.CHN/14.07/1/H1 Zhejiang.CHN/12.06/2/H1 Zhejiang.CHN/10.05/1/H1 Zhejiang.CHN/12.09/1/H1 Zhejiang.CHN/12.08/1/H1 Zhejiang.CHN/16.10/2/H1 Zhejiang.CHN/10.11/2/H1
