Country,Month,Year,Lat,Lon,Value,ISO2,ISO3
Canada,9,2009,56.13,-106.35,3,CA,CAN
Canada,12,2009,56.13,-106.35,2,CA,CAN
Canada,1,2010,56.13,-106.35,1,CA,CAN
Canada,3,2010,56.13,-106.35,1,CA,CAN
Canada,4,2011,56.13,-106.35,1,CA,CAN
Canada,3,2016,56.13,-106.35,1,CA,CAN
Canada,4,2016,56.13,-106.35,3,CA,CAN
Canada,5,2016,56.13,-106.35,3,CA,CAN
Canada,6,2016,56.13,-106.35,3,CA,CAN
Canada,7,2016,56.13,-106.35,4,CA,CAN
Canada,8,2016,56.13,-106.35,4,CA,CAN
Canada,9,2016,56.13,-106.35,1,CA,CAN
Canada,10,2016,56.13,-106.35,3,CA,CAN
Canada,11,2016,56.13,-106.35,1,CA,CAN
Canada,2,2017,56.13,-106.35,3,CA,CAN
Canada,5,2017,56.13,-106.35,1,CA,CAN
China,1,2005,35.86,104.2,2,CN,CHN
China,6,2005,35.86,104.2,1,CN,CHN
China,3,2006,35.86,104.2,1,CN,CHN
China,7,2007,35.86,104.2,1,CN,CHN
China,4,2008,35.86,104.2,1,CN,CHN
China,5,2010,35.86,104.2,1,CN,CHN
Gabon,3,2013,-0.8,11.61,2,GA,GAB
Germany,1,1977,51.17,10.45,1,DE,DEU
India,1,1986,20.59,78.96,1,IN,IND
India,12,2008,20.59,78.96,1,IN,IND
India,2,2012,20.59,78.96,1,IN,IND
India,3,2012,20.59,78.96,2,IN,IND
India,8,2012,20.59,78.96,1,IN,IND
India,9,2013,20.59,78.96,1,IN,IND
India,2,2014,20.59,78.96,1,IN,IND
India,10,2016,20.59,78.96,1,IN,IND
Japan,10,1993,36.2,138.25,1,JP,JPN
Japan,6,1997,36.2,138.25,1,JP,JPN
Japan,10,2000,36.2,138.25,1,JP,JPN
Japan,1,2017,36.2,138.25,3,JP,JPN
Mongolia,5,2009,46.86,103.85,1,MN,MNG
Russia,3,2003,61.52,105.32,1,RU,RUS
South Korea,1,1998,61.52,105.32,1,RU,RUS
USA,1,1970,61.52,105.32,1,RU,RUS
USA,1,2006,61.52,105.32,1,RU,RUS
USA,12,2007,61.52,105.32,1,RU,RUS
USA,9,2009,61.52,105.32,1,RU,RUS
USA,10,2009,61.52,105.32,1,RU,RUS
USA,1,2010,61.52,105.32,3,RU,RUS
USA,10,2011,61.52,105.32,1,RU,RUS
USA,3,2012,61.52,105.32,1,RU,RUS
USA,1,2014,61.52,105.32,1,RU,RUS
USA,2,2014,61.52,105.32,1,RU,RUS
USA,3,2014,61.52,105.32,3,RU,RUS
USA,4,2014,61.52,105.32,3,RU,RUS
USA,12,2014,61.52,105.32,3,RU,RUS
USA,6,2015,61.52,105.32,1,RU,RUS
USA,7,2015,61.52,105.32,1,RU,RUS
USA,9,2015,61.52,105.32,1,RU,RUS
USA,1,2016,61.52,105.32,4,RU,RUS
USA,2,2016,61.52,105.32,3,RU,RUS
USA,3,2016,61.52,105.32,3,RU,RUS
USA,4,2016,61.52,105.32,3,RU,RUS
USA,5,2016,61.52,105.32,3,RU,RUS
USA,6,2016,61.52,105.32,3,RU,RUS
USA,7,2016,61.52,105.32,2,RU,RUS
USA,8,2016,61.52,105.32,2,RU,RUS
USA,9,2016,61.52,105.32,1,RU,RUS
USA,10,2016,61.52,105.32,3,RU,RUS
USA,11,2016,61.52,105.32,3,RU,RUS
USA,12,2016,61.52,105.32,3,RU,RUS
USA,1,2017,61.52,105.32,3,RU,RUS
USA,2,2017,61.52,105.32,3,RU,RUS
USA,3,2017,61.52,105.32,3,RU,RUS
USA,4,2017,61.52,105.32,3,RU,RUS
USA,5,2017,61.52,105.32,3,RU,RUS
USA,6,2017,61.52,105.32,4,RU,RUS
USA,7,2017,61.52,105.32,2,RU,RUS
United Kingdom,1,1989,55.38,-3.44,1,GB,GBR
United Kingdom,1,1996,55.38,-3.44,1,GB,GBR
United Kingdom,1,2002,55.38,-3.44,1,GB,GBR
United Kingdom,3,2004,55.38,-3.44,1,GB,GBR
