Author,n (strains),publication title,journal,publication URL,strains
Baronti et al,1,Complete Coding Sequence Of Zika Virus From A French Polynesia Outbreak In 2013,Genome Announc 2  3  E00500-14  2014 ,https://www.ncbi.nlm.nih.gov/pubmed/24903869,H/PF/2013
Karan et al,8,Imported Cases Of Zika Virus Disease In Russia In 2016-2017,Unpublished,unknown,Saint_Barthelemi_Rus_6BRN_2016 Dominican_Rep_Rus_7EGR_2016 Dominican_Rep_Rus_8ZBR_2016 Dominican_Rep_Rus_5RMN_2016 Dominican_Rep_Rus_3ALT_2016 Dominican_Rep_Rus_4MRG_2016 Mexico_Rus_10GNN_2016 Mexico_Rus_12TVR_2017
Teixeira et al,1,Full Coding Sequence Of The Zika Virus Isolate Hs-2015-ba-01,Unpublished,unknown,HS_2015_BA_01
Lamson et al,1,Rapid Method For Sequencing Whole Genome Sequence Of Zika Virus,Unpublished,unknown,2016\HND\19563
Tabata et al,2,Zika Virus Targets Different Primary Human Placental Cells Suggesting Two Routes For Vertical Transmission,Cell Host Microbe 20  2  155-166  2016 ,https://www.ncbi.nlm.nih.gov/pubmed/27443522,Nica2_16 Nica1_16
Barzon et al,2,Infection Dynamics In A Traveller With Persistent Shedding Of Zika Virus Rna In Semen For Six Months After Returning From Haiti To Italy January 2016,Euro Surveill. 21  32   2016 ,https://www.ncbi.nlm.nih.gov/pubmed/27542178,Dominican_Republic/2016/PD1 Haiti/2016/PD
Kato et al,1,The Almost Complete Sequence Of Zika Virus Imported From Thailand To Japan In 2017,Unpublished,unknown,Thai/KngSG/17_D501
Marquez et al,2,First Complete Genome Sequences Of Zika Virus Isolated From Febrile Patient Sera In Ecuador,Genome Announc 5  8  E01673-16  2017 ,https://www.ncbi.nlm.nih.gov/pubmed/28232448,EcEs089_16 EcEs062_16
Souza et al,1,Complete Genome Of A Zika Virus Isolate Amazonas Brazil 2016,Unpublished,unknown,BR/AM/16800005
Balaraman et al,1,Zika Virus Infection In Pregnant Mice,Unpublished,unknown,Aedes_sp/MEX_I_44/2016
