color,Country
"rgb(111,20,201)",Albania
"rgb(237,35, 168)",Algeria
"rgb(209,95,238)",American Samoa
"rgb(143,0,207)",Angola
"rgb(212, 92, 138)",Angola
"rgb(203, 225, 185)",Argentina
"rgb(191, 35, 128)",Aruba
"rgb(233,125, 235)",Australia
"rgb(241, 49, 61)",Belize
"rgb(231, 53, 24)",Bermuda
"rgb(217, 197, 165)",Bolivia
"rgb(21, 127, 59)",Brazil
#1E90BA,Brunei
"rgb(141,21,239)",Burkina Faso
"rgb(141,21,239)",Burkina Faso
#1E90AA,Cambodia
"rgb(207,78, 199)",Cameroon
"rgb(188, 20, 26)",Canada
"rgb(231, 85, 168)",Chile
"rgb(255,185,15)",China
"rgb(153, 213, 149)",Colombia
"rgb(141,5,203)",Comoros
"rgb(141,5,203)",Comoros
"rgb(231,41, 172)",Congo
"rgb(20,187, 211)",Cook Islands
"rgb(211, 12, 48)",Costa Rica
"rgb(145,0,209)",Cote D Ivoire
"rgb(145,0,209)",Cote D Ivoire
"rgb(252, 196, 174)",Cuba
"rgb(226,96,128)",Czech Republic
"rgb(258,25,265)",Denmark
"rgb(203,57, 211)",Djibouti
"rgb(203,57, 211)",Djibouti
"rgb(209, 39, 37)",Dominica
"rgb(201, 32, 32)",Dominican Republic
"rgb(208, 237, 202)",Ecuador
"rgb(143,52, 265)",Egypt
"rgb(253, 202, 181)",El Salvador
"rgb(202, 122, 118)",Eritrea
"rgb(202, 122, 118)",Eritrea
"rgb(206,36, 265)",Ethiopia
"rgb(238,130, 238)",Fiji
"rgb(209,95,238)",France
"rgb(211, 238, 205)",French Guiana
"rgb(148,0,211)",French Polynesia
"rgb(319,7,197)",Gabon
"rgb(238,130, 238)",Gambia
"rgb(238,130, 238)",Germany
"rgb(102,57,232)",Ghana
"rgb(102,57,232)",Ghana
"rgb(108,63,265)",Greece
"rgb(222, 32, 38)",Grenada
"rgb(253, 202, 181)",Guadeloupe
"rgb(267,137, 251)",Guam
"rgb(252, 190, 167)",Guatemala
"rgb(209,95,238)",Guinea
"rgb(209,95,238)",Guinea
"rgb(252, 145, 114)",Haiti
"rgb(239, 66, 49)",Honduras
"rgb(138,7,185)",Iceland
#1E90AA,Indonesia
"rgb(128,15,279)",Ireland
"rgb(238,130, 238)",Italy
"rgb(252, 185, 161)",Jamaica
#fcdd04,Japan
"rgb(118,2, 215)",Kenya
#1E90BF,Laos
"rgb(121,35,299)",Latvia
"rgb(238,130, 238)",Liberia
"rgb(238,130, 238)",Liberia
"rgb(233,60, 281)",Madagascar
"rgb(233,60, 281)",Madagascar
#1E90AF,Malaysia
"rgb(235,131, 229)",Mali
"rgb(227,117, 231)",Marshall Islands
"rgb(252, 190, 167)",Martinique
"rgb(101,32,165)",Mayotte
"rgb(247, 109, 82)",Mexico
"rgb(231,123, 235)",Micronesia
"rgb(223,27, 165)",Morocco
"rgb(213,17, 231)",Mozambique
"rgb(213,17, 231)",Mozambique
#1E90AC,Myanmar
"rgb(34, 92, 98)",Nauru
"rgb(148,0,211)",Netherlands
"rgb(229,119, 233)",New Caledonia
"rgb(242, 71, 133)",New Zealand
"rgb(249, 121, 92)",Nicaragua
"rgb(121,52, 187)",Niger
"rgb(235,135, 233)",Nigeria
"rgb(272, 52, 158)",Niue
"rgb(138,56,213)",Norway
"rgb(214, 132, 238)",Palau
"rgb(252, 185, 161)",Panama
"rgb(277,187, 291)",Papua New Guinea
"rgb(154, 217, 195)",Paraguay
"rgb(208, 237, 202)",Peru
#1E90AE,Philippines
"rgb(139,11,219)",Portugal
"rgb(252, 174, 148)",Puerto Rico
"rgb(201, 235, 199)",Puerto Rico
"rgb(171,45,197)",Romania
"rgb(325,25,144)",Rwanda
"rgb(253, 202, 181)",Saint Barthelemy
"rgb(50,127, 221)",Samoa
"rgb(231,133, 219)",Senegal
"rgb(231,133, 219)",Senegal
"rgb(145,10,217)",Seychelles
"rgb(145,10,217)",Seychelles
"rgb(148,0,211)",Sierra Leone
"rgb(148,0,211)",Sierra Leone
#0000EE,Singapore
"rgb(121,25,209)",Slovakia
"rgb(138,45,265)",Slovenia
"rgb(22,167, 251)",Solomon Islands
"rgb(115,51,222)",Somalia
"rgb(115,51,222)",Somalia
"rgb(222,22, 222)",South Africa
"rgb(141,7,221)",Spain
"rgb(209,95,238)",Sudan
"rgb(206, 236, 200)",Suriname
"rgb(135,96,208)",Sweden
"rgb(217,37, 291)",Tanzania
"rgb(217,37, 291)",Tanzania
#1E90AB,Thailand
"rgb(121,21,198)",Togo
"rgb(121,21,198)",Togo
"rgb(238,130, 238)",Tonga
"rgb(201, 19, 51)",Trinidad And Tobago
"rgb(228,99, 298)",Tunisia
"rgb(188, 20, 26)",USA
"rgb(206, 36, 34)",USVI
"rgb(128,35, 265)",Uganda
"rgb(298,65,265)",Ukraine
"rgb(238,130, 238)",United Kingdom
"rgb(252, 42, 128)",Vanuatu
"rgb(202, 234, 196)",Venezuela
#1E90FF,Vietnam
"rgb(218,62, 265)",Zambia
