,x,y,z
7.0,-10.926878,-5.6696234,-13.19045
1.0,-13.921407,-15.443183,3.6099603
2.0,-10.733332,6.912741,3.1833289
4.0,0.7557593,3.2278917,-13.176084
3.0,1.3863193,-3.8906407,13.271612
0.0,0.752526,9.165025,12.642052
6.0,23.325258,2.9610813,2.324515
0.0,10.441428,18.943762,9.394532
0.0,9.338141,23.292017,13.036748
9.0,7.2834897,-4.6887646,-8.986187
8.0,-10.038777,-4.3229637,5.5976253
9.0,3.8486776,-8.802489,-15.284885
5.0,4.0415225,-2.5730987,9.595205
0.0,5.4043884,19.984211,4.0385404
0.0,10.91081,21.12979,3.8620827
8.0,1.7619209,-16.05145,4.333854
3.0,-4.8612704,0.962491,18.891048
6.0,20.881487,1.0799499,-0.34725696
9.0,14.239409,-12.405684,-6.9487576
6.0,19.041243,8.522969,2.2295177
4.0,7.416833,4.506657,-9.992544
4.0,10.483664,-2.5731206,-16.181477
5.0,2.4971254,4.008828,10.197957
2.0,-17.395191,7.934443,-0.23273377
3.0,-0.927974,-12.840309,20.756058
8.0,-10.6204405,-1.6777635,0.26788363
0.0,-7.3956075,14.316267,8.729101
0.0,11.009295,20.315147,10.414763
8.0,1.005542,-14.33123,4.6173286
3.0,5.9610715,-8.912641,22.2445
9.0,-0.7922393,-5.0552454,-18.933542
7.0,-11.255465,-0.3087701,-16.640362
4.0,3.4505866,8.0168,-17.16078
5.0,10.85781,-5.6226773,14.782208
7.0,-7.5265455,-3.7933192,-8.421846
8.0,-3.323716,-12.410725,1.2242681
7.0,-10.688632,-1.3949155,-21.00499
7.0,-7.7315345,-2.72912,-17.67681
4.0,20.833748,-0.48067653,-13.447242
4.0,10.745203,3.2920582,-12.279232
7.0,-6.914279,-7.1483574,-11.681477
8.0,1.0185418,-13.683883,6.2701135
9.0,0.22455664,-17.233292,-14.107976
4.0,5.2604966,-10.16764,-3.8349051
7.0,-6.80754,-12.81919,-19.524874
4.0,7.5589857,-9.50152,-4.1898417
3.0,2.6244595,-6.6298156,17.246208
9.0,12.8057,-13.166292,-13.593499
6.0,12.490311,5.1818843,-2.4277496
9.0,-0.3980561,-6.962941,-16.156096
6.0,18.111275,4.251126,0.67912716
3.0,-6.5545654,2.9881449,18.244226
2.0,-12.689354,7.466925,5.7675886
8.0,-10.876363,-5.5541415,0.19598393
0.0,10.571075,21.719662,13.467741
3.0,6.7696466,-13.70176,1.2542892
7.0,-7.3686223,-8.436047,-13.937657
7.0,-3.2898881,-13.08273,-20.137249
1.0,-20.730383,9.343433,-7.0267487
7.0,-9.735774,-10.611494,-17.784538
6.0,13.852605,8.827755,-3.3340256
6.0,19.410553,5.056581,0.15836869
0.0,12.800253,17.577122,12.475852
2.0,-19.559288,5.723792,3.0310013
7.0,-7.9992085,1.9091169,-19.611479
7.0,-11.471609,0.38403082,-11.024413
1.0,-16.864084,-18.260614,-2.2539368
8.0,-11.558731,-5.982238,4.243661
1.0,-23.020033,-10.177061,-1.9428213
7.0,-9.910434,-5.827478,-9.033976
7.0,-7.038289,-12.376644,-11.841883
6.0,30.057749,7.5401015,-0.6599837
5.0,0.056873757,8.327259,-1.8610799
6.0,18.85921,7.1154523,1.3988453
2.0,-14.099934,9.543222,11.334611
4.0,4.178116,3.7811933,-12.730147
0.0,8.530462,18.449224,9.092176
6.0,19.136053,7.7302017,-2.4756076
7.0,-6.947661,-6.468347,-15.688332
7.0,-7.464411,-2.900138,-11.613363
2.0,-12.481819,17.373106,-2.5504277
7.0,-6.7979417,-9.543352,-16.713175
1.0,-16.810888,-18.2996,1.9087235
2.0,-15.31504,12.61033,10.035116
2.0,-13.622525,16.519749,2.9560058
4.0,18.28447,-1.8050786,-9.859781
0.0,10.56451,18.49983,7.3406296
0.0,13.997125,18.42551,13.913117
1.0,-16.427383,-6.7012353,-0.44483685
7.0,-4.729356,-14.684772,-16.351202
