,x,y,z
bird,0.061268628,0.047848284,-0.31100234
dog,-0.2839743,0.9429608,0.13419487
bird,0.08894825,-0.5475668,-1.4599183
automobile,0.091628894,0.20717275,0.17127994
cat,-0.22190873,0.91358334,1.2177186
ship,0.33673298,-0.9043753,-0.04172715
frog,-0.32834697,1.1944826,1.5581053
truck,0.37084523,-1.1796924,0.18695043
dog,0.08773798,-0.27500445,-1.1018661
automobile,-0.22045688,0.28689536,-0.65152127
dog,0.07340464,-0.36524472,-1.3622447
ship,0.3792172,-0.7555445,-0.35272652
deer,0.026459329,-0.068034865,-0.57760847
ship,0.40385354,-1.2952676,-1.3029412
automobile,-0.3468274,1.3116652,1.817823
deer,-0.271287,0.27206436,-0.55458325
frog,-0.21165153,1.0826811,1.5388881
deer,-0.40742517,1.0082502,0.022922136
frog,-0.26363653,1.2858183,0.30684832
deer,-0.27241397,0.83868825,0.27034003
ship,0.1628286,0.14675377,-0.062152755
dog,0.18948993,-0.8627705,-1.3551238
airplane,0.45355797,-1.3910526,-0.7740312
cat,-0.19200353,0.58306915,1.4057523
cat,-0.3283685,1.3031617,-0.023799133
airplane,-0.103733495,0.21796447,-0.60993725
cat,0.08101792,-0.26902568,-1.1873822
bird,-0.30675748,0.8396805,-0.64744747
truck,-0.32029366,1.3306347,1.8136697
frog,-0.12934521,0.4149663,1.1311911
dog,-0.28573984,0.46229258,-0.8242469
bird,-0.14174679,0.494102,0.49785346
horse,0.037778743,-0.49046698,-0.97396004
deer,0.37052712,-0.98679006,-0.9480391
cat,-0.14776428,0.8346687,-0.12176605
dog,0.20988066,-0.66031635,-0.5904193
truck,0.12299128,-0.09802255,0.842088
frog,-0.1494828,0.46429738,0.100808956
truck,-0.067354634,0.21416503,0.4434163
automobile,-0.26754683,0.4186603,-0.8396767
cat,-0.27648446,0.9196421,0.8437439
truck,0.15595976,-0.8256376,0.090280555
ship,-0.22284016,0.40447232,-0.66360265
dog,-0.39078146,1.134506,0.06512015
truck,0.3767965,-1.2144375,0.01903337
deer,-0.20411591,0.4321849,-0.30469063
truck,0.2686142,-1.2237365,-1.0369754
truck,-0.3656252,1.0954672,-0.001624817
frog,-0.18206996,0.8430137,1.2294632
truck,0.5764939,-1.5428691,-0.54319286
truck,0.14639995,-0.87451404,-1.6777068
truck,0.56175375,-1.6524147,-0.38142225
cat,-0.26958308,0.99436134,0.8125401
frog,0.120101206,-0.75021946,0.12612648
truck,-0.22248329,0.25729793,-0.49632418
cat,0.16227806,-0.96326977,-1.8056062
frog,0.08663115,0.17861342,-0.04245219
dog,-0.5609382,1.2798038,0.14364235
frog,-0.14365275,0.8136857,1.2979704
deer,-0.38798404,1.13388,0.13575378
automobile,0.3866376,-1.0424923,0.018713374
dog,-0.28553617,1.3182502,0.0153334765
dog,-0.059731282,-0.32208163,-1.5022135
ship,0.41528776,-1.1504627,0.06871389
automobile,0.16552247,-0.56539196,0.25022176
frog,-0.1785071,0.9847051,1.3117857
frog,-0.113387965,0.7941032,1.2889776
automobile,-0.13007884,0.11830402,0.18723784
deer,-0.24283877,0.89158416,0.42594764
ship,0.24539293,-0.9722682,-0.46984255
frog,-0.11864041,0.849641,1.1791632
truck,0.20077929,-0.80434406,-0.09793667
frog,-0.080807894,-0.06412069,0.6908777
deer,0.03332822,0.24388492,0.12130114
ship,0.40834755,-1.2971572,-0.78192747
truck,-0.08267261,0.35509238,1.2723147
ship,0.3677515,-0.4780019,0.22459486
dog,-0.12639248,0.50262994,0.6598174
deer,-0.28579977,0.697969,0.9582756
horse,-0.2658473,-0.035186484,-0.47447535
bird,-0.14091374,0.58397883,0.7856798
ship,0.20968205,-0.8995084,-1.7636851
airplane,0.42124182,-1.1303568,-1.3159579
airplane,0.4194066,-0.96755785,-0.61014235
airplane,0.13553107,-0.85191303,-2.009939
frog,-0.059624005,0.6124901,0.8831588
airplane,0.17080528,-0.6399592,-1.3695035
deer,-0.08279405,0.34355894,-0.022736875
truck,0.32757476,-0.97172207,0.0020174566
frog,-0.17659657,0.6543288,0.66788375
frog,-0.4337447,1.1423411,1.0123892
frog,-0.13657288,0.824572,1.3456457
bird,-0.26164585,1.1048931,1.4047765
ship,-0.15836401,0.73149294,1.2680291
automobile,-0.3578826,1.3855705,1.9208233
airplane,-0.4771047,1.2888073,0.45739436
deer,-0.02236246,0.07406764,-0.583905
cat,0.12781961,-0.50974506,-1.145947
truck,0.3289992,-1.2295109,-1.231063
horse,-0.22396748,-0.14096566,-0.3286037
airplane,0.18090178,-0.6410478,-0.58506614
automobile,0.20356058,-0.08965226,0.49557707
airplane,0.3983194,-0.6606227,-0.20489131
frog,0.19270168,-0.26270717,0.56580585
dog,0.4023746,-0.35543132,-0.0056400853
dog,0.06471872,0.13138367,-0.219951
automobile,0.2581824,-0.38408735,0.93486756
cat,-0.338661,1.1579089,1.3995821
horse,0.26699004,-1.0148882,-0.019110953
ship,0.35798022,-1.0771948,-0.28111225
truck,-0.40893185,0.6244778,0.45677522
bird,-0.35602742,0.9972531,-0.011563917
frog,-0.11485293,0.6470825,0.7638134
cat,-0.31532848,1.2380639,1.5699973
automobile,0.24546668,-0.5814213,0.32740042
truck,-0.019800834,-0.5397142,0.04417861
horse,-0.4103222,0.762632,0.6160814
horse,0.02706904,0.1916426,-0.1464607
horse,-0.31052217,1.310571,1.8378445
frog,-0.21096027,0.078960754,0.20756991
cat,-0.07900559,-0.12976556,-0.5288903
horse,0.24029319,-0.64938825,-0.42180705
frog,-0.5437363,1.4135462,0.5513918
ship,0.40853852,-0.780976,0.04784001
deer,-0.11237813,0.6610097,0.55730057
cat,-0.26847437,0.9159878,0.4600058
frog,0.080527015,-0.29572925,-1.158458
horse,0.44363573,-1.3401941,-0.24594478
frog,0.048050255,-0.1012317,0.7504135
horse,-0.4340178,1.2539213,1.086946
