,x,y,z
the,-1.2093762,9.998551,13.179624
and,1.178982,12.7288885,11.846545
to,-7.827626,2.6758575,9.322305
of,-0.9960984,9.724271,13.258931
a,-2.4839258,12.153392,10.748469
in,-0.77932805,9.198313,13.482022
is,-2.9063761,12.2499275,11.472917
for,1.2978313,12.557713,11.0605545
i,-9.356313,2.2926311,19.618195
that,-5.76731,8.632057,14.27742
you,-7.213489,0.9625924,10.432392
it,-6.1981215,7.882761,14.887917
on,4.6401534,5.2182293,15.793874
with,1.2000718,12.7010765,11.708988
this,-5.607113,8.108462,14.927689
by,5.2063875,5.1833143,15.468693
are,-11.379295,14.838089,9.903417
at,3.945318,5.449576,15.765055
as,-3.6178567,9.689946,14.214495
be,-6.6517863,9.502915,6.884423
from,4.917301,4.6958156,15.31316
have,-7.2243867,6.589432,9.841999
was,-3.1860862,11.869633,18.242762
or,-7.866662,8.700992,5.080252
your,-7.2220335,0.5948346,10.211917
not,-6.7418213,9.425306,6.7494135
we,-1.7147288,1.0911644,10.624819
but,-7.1910057,7.5868025,13.881943
all,-11.673041,15.24241,9.9272175
will,-7.8463817,2.7214901,9.285911
an,-2.4291847,12.209071,10.709859
my,-9.289669,2.6530406,19.84653
can,-7.2367916,1.1439694,10.329078
they,-7.18749,6.4948273,9.710918
n't,-16.079021,-0.5753944,12.493807
do,-15.817415,-0.43827164,12.675871
he,-5.0419784,0.38801658,23.440018
more,0.9390769,14.431104,8.638944
if,-8.690134,10.004229,5.079776
one,-2.5531642,11.001488,9.922701
has,-2.4943676,11.884157,16.88752
so,-7.35749,7.0227685,14.748556
about,-19.218033,-0.19091378,12.8144
new,1.3911211,12.363136,10.62914
what,-18.847183,-0.45506528,12.624621
his,-4.9567695,0.3690047,23.485376
there,-6.7517447,7.01822,12.799803
up,5.0054016,3.0162458,13.898791
out,4.9954834,2.8796453,13.616266
their,-14.646805,5.783895,11.299068
our,-14.644765,5.9637713,11.3962755
like,-7.767032,8.437242,15.123041
when,-3.370261,3.2471497,16.566866
just,-6.927405,7.5716414,15.792797
time,-3.4810512,3.8402994,17.24273
me,-9.331323,2.4343941,19.704252
which,-3.5041957,9.661034,14.169654
who,-6.359705,11.694543,12.336847
no,-6.938645,9.143775,6.412405
would,-9.522993,7.5305934,8.928734
some,-9.998874,14.653203,13.287416
get,-6.839841,0.811682,12.124125
also,-3.6604803,9.676512,14.242579
other,-9.923749,17.210909,11.448558
how,-18.810438,-0.4964514,12.612486
may,4.455484,5.134582,16.78974
had,-3.3990743,11.795684,18.194431
am,3.6091197,17.396013,12.695223
been,-2.3373368,12.022383,17.098227
her,-6.012448,0.65085596,23.200115
were,-3.911908,11.647333,18.342411
them,-7.017561,6.248658,9.468974
people,-11.749862,13.697694,8.769825
she,-5.8744116,0.61293906,23.233091
any,-7.9475713,8.920559,5.1940084
now,-3.3570688,5.6421,12.257506
only,-3.727879,9.302411,9.583629
pm,3.9423358,17.27972,12.561142
first,5.0143166,9.116539,8.342088
than,0.8131217,14.822312,8.033802
good,-8.087248,4.686283,14.902739
into,6.522371,2.5988834,16.621996
its,-1.6361868,10.42526,13.191309
these,-11.288482,14.542577,9.831851
us,-3.0814652,4.632278,11.829169
see,-9.30926,0.16821454,12.615664
here,-9.22446,0.18426381,12.582586
make,-4.264947,1.3469735,9.75465
home,11.3372755,-4.068851,-9.12714
very,-9.823021,3.9718702,14.293118
over,4.9319053,3.9485881,14.750405
most,-9.524669,14.188683,9.424375
then,-3.0765622,3.0397978,16.59281
know,-17.596624,-1.5293938,11.932051
said,-15.069446,-2.9075046,17.125952
after,-2.7938118,4.417065,19.106134
well,-7.323637,5.6053176,14.776891
use,-0.004550066,-3.8106585,-3.2276762
two,-22.632633,7.1973357,2.2018242
did,-9.636116,0.77884823,18.82197
could,-9.637923,7.466106,8.809754
day,1.9475341,8.490962,18.225977
great,-8.209626,4.494164,14.945279
free,-2.7140396,-11.990327,-10.223772
many,-10.29588,14.292256,9.622653
back,6.398439,2.136978,13.277233
way,-6.8367143,7.5657682,16.622005
work,1.9067175,-8.868617,3.2136207
because,-7.1623583,8.389172,13.697933
best,0.46310437,4.374703,1.7874278
should,-9.273555,10.557957,4.349673
even,-7.426055,8.2140465,13.750045
year,0.07756035,11.330267,17.458134
think,-16.891043,-1.0130935,11.963516
years,-0.3865912,11.454925,17.360357
much,-8.646929,7.929794,13.459645
does,-8.699036,10.083937,5.2823277
where,-6.56519,6.835111,12.496048
go,-6.179349,0.90324646,12.600375
love,-7.253618,-11.253808,11.739997
need,-3.88666,2.7438717,8.763007
last,1.6600921,11.103127,18.255579
find,-7.9875593,0.5427775,12.222906
world,4.2601132,4.042678,-16.512587
really,-10.104814,7.0316415,14.721755
information,6.029583,4.2094064,-5.829415
through,6.5241375,2.6019542,16.643362
want,-3.560156,2.3714075,8.903005
him,-4.693566,0.29003236,23.511068
right,-6.7928886,7.567822,17.033047
take,-5.9604726,1.1315818,12.409944
views,-0.87464494,-17.025204,2.013114
such,-9.914477,17.23766,11.452853
made,-6.938044,5.46267,14.792785
those,-11.333961,14.378072,9.759305
business,-2.6521838,-2.9609387,-20.701296
life,-10.928211,-13.538812,2.8710427
before,-2.8428643,4.054591,19.118048
being,-6.3344836,11.221665,12.822691
off,5.520371,3.486732,12.645896
used,0.07345156,-3.8358645,-3.2584763
help,-3.855604,3.376105,9.114229
while,-4.480423,3.3137476,15.657192
posted,-18.929865,-9.280814,-5.591916
too,-10.500338,6.919404,15.114324
still,-3.86794,6.354368,12.080379
down,5.263402,3.3354561,13.352112
going,-5.828164,0.48047337,13.792772
video,-2.1831613,-17.58966,-6.3611293
part,4.9025497,6.911425,7.643487
online,-2.7248163,-11.881688,-10.216401
each,-3.38409,9.983859,8.43782
little,-10.645117,7.0182843,16.058434
high,4.903725,17.50518,5.739752
look,-11.362296,0.6699248,14.523628
around,4.659969,2.2381039,14.58152
same,-3.8090913,9.0927925,9.751154
game,16.523024,14.247871,-2.1348424
read,-14.509706,-12.730474,-4.468596
service,-0.8399516,4.8795385,-17.921993
long,1.3495847,0.88033426,24.164938
why,-17.409367,-1.2405103,11.826076
school,-8.155675,13.085446,-15.877017
state,10.069345,-0.071554966,-18.714256
post,-18.061865,-9.088503,-7.3327794
city,13.183552,-5.7705216,-10.117474
own,-14.647613,5.6101475,11.209026
every,-3.4500866,9.839873,8.829552
system,5.677273,-3.284757,-7.1607585
next,4.039375,6.088215,6.9153194
news,-7.807862,-16.183218,-9.785506
site,-1.536395,-5.64736,-15.274063
say,-17.22071,-1.3785554,11.313846
got,-2.8042562,-5.9382777,10.261894
both,-5.056727,4.074573,15.36172
under,5.181043,5.765129,15.758631
top,0.5785796,4.2459297,1.9772342
set,7.7370515,2.9860318,2.0739377
another,-2.485174,11.114881,9.959903
since,-1.6899998,11.811538,17.164646
things,-14.261119,-0.35297796,6.811338
available,6.840925,10.383879,-7.783143
show,-6.8296394,-10.268899,3.2585168
place,5.357032,3.1612217,9.619793
using,-0.048249476,-3.792584,-3.2181275
better,-8.947381,7.564338,13.423098
page,-1.7401243,-7.326496,-9.716231
never,-9.73408,0.2869192,18.57932
please,-3.145781,-9.7329855,-6.0889945
come,-2.018796,0.82029104,10.718832
big,9.974995,8.963212,6.95802
today,-3.064913,5.522432,12.580264
s,2.2650552,-17.251179,-9.669257
family,-12.346696,-14.341795,3.0062048
music,11.281664,-14.762288,10.717291
services,-0.8313657,4.898585,-17.917282
full,2.9549925,1.4914057,-0.50733525
something,-12.122418,-1.3648963,5.0837407
number,5.2583704,-3.2055976,5.4935317
company,0.8543604,0.0610877,-21.300995
few,-10.11031,14.544843,13.26187
price,6.0946813,15.891997,-6.234425
ca,-14.435435,-5.79303,13.306508
between,-0.700147,8.513989,13.845751
days,1.5536234,8.67508,18.439394
book,-16.0908,-13.027469,-3.1617556
name,-6.0032744,-12.138096,-12.913376
view,-2.9840503,-7.106801,-6.7475405
found,-2.4986434,13.260765,16.583153
ago,0.92479575,9.684956,19.338043
real,-19.126575,9.977128,8.054036
without,-7.608748,6.9904966,5.4438515
old,-10.738323,7.0919647,16.486956
search,-3.6722865,-9.999907,-9.169465
always,-14.348436,2.0386488,8.054564
black,21.030638,-7.0778255,5.5126057
house,11.860581,-4.1243353,-9.380952
three,-22.529716,7.4187913,2.2273006
man,-9.287264,-16.199005,12.314456
must,-9.578706,10.818185,3.972949
during,-2.7361572,4.906394,19.11577
again,-1.4502794,1.9281025,17.347567
end,4.7435155,5.980894,7.1995106
different,-1.5154791,-0.42166767,-4.760128
lot,-11.869153,10.495333,13.863298
health,8.920863,21.487425,2.983275
looking,-11.25507,0.338311,14.479632
week,1.7201755,11.045792,17.905369
sure,-14.3906765,2.0907888,7.9888163
group,-4.663362,3.3570642,-14.971115
give,-4.2379208,1.3784074,9.750692
team,16.674017,16.06074,1.7099744
power,6.7458854,-3.4215946,-7.2784286
times,1.0636287,7.1517506,18.211985
let,-2.6670914,1.7273076,9.009638
car,19.552044,-7.440672,-6.274152
area,11.764549,0.72582144,-7.0517855
buy,8.515815,16.086351,-9.487743
money,-0.93440944,18.914656,-8.142415
water,16.242207,1.2477187,10.691801
keep,1.1081022,3.0242617,11.423276
support,6.6657057,6.0564775,-8.999482
web,-2.1584034,-5.7301946,-14.828998
data,-0.63688916,-2.431058,-12.648555
live,-6.5603156,-11.751568,3.1933858
comments,-18.384846,-9.008337,-6.72903
small,10.425546,7.830574,9.705346
play,17.698038,15.357754,-2.4942722
including,4.210675,3.98605,-3.6438081
x,12.291617,-19.280468,3.117867
thing,-11.895654,-1.2215697,5.0048532
list,-6.4961314,-10.888124,-13.885948
put,3.7242064,2.5147748,12.956861
children,-13.92859,-15.514042,3.1156828
design,14.281957,-11.529435,-1.805192
women,-4.0281825,-19.69305,10.533603
might,-9.924002,7.3379993,8.489619
white,20.982494,-7.10365,5.4717684
public,-1.7873058,7.602823,-13.634781
point,7.009222,1.5348771,5.8466277
order,-9.104142,12.896029,4.4633875
call,-16.739035,-10.06987,0.9714824
second,5.1471314,9.45829,8.598377
local,3.8134027,3.56406,-3.4895086
says,-15.064422,-2.9100008,17.119099
case,-21.339804,5.2182302,-4.308107
care,8.918755,21.490934,2.9807582
download,-1.4934646,-16.65517,-1.9567863
reblogged,-8.4960985,-13.947377,8.772603
program,-6.1407294,13.905695,-11.87104
night,5.624141,11.751176,17.127808
blog,-3.1446424,-18.242455,-9.548413
away,5.527523,3.5678194,12.537491
start,2.250475,7.1570835,5.440637
products,13.746915,12.612464,-12.11388
review,-9.349052,-19.002058,-9.323327
against,9.689555,-6.2697473,-3.6627607
left,7.350305,1.6238711,13.038654
however,-11.099707,6.8965163,0.39392355
center,9.944766,2.012713,-10.085765
feel,-3.311447,-5.0111794,22.275492
having,-6.3283076,11.144863,12.933254
website,-1.734677,-5.639946,-15.0154915
line,7.886876,1.6581876,5.224363
thanks,-14.910227,-12.613119,7.461951
food,19.272625,5.0879064,12.539626
ever,-9.759453,0.15221855,18.51118
open,7.0287848,-2.2031293,17.778564
university,-6.961991,13.77586,-16.192139
room,14.817132,-0.7312344,6.979374
though,-10.846033,3.9226134,12.4696865
god,-22.195726,-7.285819,-0.5689407
product,13.730893,12.737697,-12.08628
national,6.4295,0.77914727,-15.0365715
change,-2.8973904,9.103152,-2.7816978
making,-2.2712786,-1.3470775,8.375424
experience,-20.570845,3.3306856,-8.693807
add,-4.259212,-4.297734,5.141529
internet,-2.604266,-6.2206335,-14.651272
hotel,18.03397,7.1892934,-12.191625
check,-3.2691944,-9.288096,-6.596983
job,-4.77387,9.813344,-16.148521
getting,-5.4570765,1.2557162,14.566424
date,-8.601972,-4.734998,-18.646454
quality,1.8160449,1.0561986,3.344229
once,-1.6849751,2.3379745,17.223776
course,-10.303974,12.430297,-6.33959
american,4.399704,5.081225,-17.333982
hard,-9.209296,9.07741,12.635104
within,-0.7549299,8.120965,14.108981
contact,-1.9361873,-11.31565,-5.8097305
until,-3.0039103,3.3806748,19.6434
try,-5.5186777,-0.933346,13.708268
sale,8.693881,15.077287,-11.400425
games,16.470922,14.196858,-2.1288524
side,7.9480433,1.7590722,12.512003
able,-4.7132983,2.2199495,9.167814
county,11.112514,-2.9089203,-16.579016
phone,1.8022773,-12.827615,-6.2913074
research,-7.678654,5.401216,-10.453255
community,-4.293833,6.1165133,-14.686528
software,3.521441,-7.599324,-6.508862
working,1.8239217,-8.972971,3.490645
march,-10.405785,-6.7927084,-19.47715
art,12.238235,-12.520699,3.4209507
yet,-11.087322,3.5966635,12.124441
months,1.1890249,9.402563,18.804848
body,13.215174,2.7708414,15.688243
easy,2.065266,-12.71928,16.813028
control,6.187294,-3.29842,-6.7854805
story,-13.463594,-12.635066,-0.9335411
done,-6.4778514,-0.3211108,16.541384
light,19.739021,-6.5134597,8.713266
de,9.730037,-16.949617,-11.386487
click,-3.3365,-9.292914,-7.42303
country,4.211866,3.7902856,-17.612389
provide,4.7169085,7.5590386,-7.023116
market,5.1486464,12.103331,-13.742037
results,-5.1066265,11.510784,1.2656178
large,10.42489,7.917928,9.850131
person,-15.622787,-1.4311137,3.2441244
actually,-11.573298,-2.4842224,9.172688
less,0.8795421,14.91629,7.8037148
office,-13.3286295,4.1053853,-12.762815
enough,-8.970442,8.765829,12.900708
men,-4.036766,-19.68483,10.5442915
government,-11.88373,3.8344479,-13.540978
june,-10.201966,-6.3344812,-20.601797
following,-5.105827,6.69681,2.0867562
special,5.2331166,4.86586,-2.3849552
international,6.7661657,1.4448675,-15.136966
states,7.9773846,2.2137659,-18.905228
report,-9.348043,-0.5270511,-10.686088
makes,-1.1177475,-1.0750496,6.5617685
per,7.3123016,15.475162,1.034067
important,-6.8565855,5.4518666,-4.4509325
united,7.9104924,2.226355,-18.651333
series,1.535682,-9.17292,-3.5325644
april,-9.996467,-6.5067177,-19.675245
doing,-6.359603,-0.32443136,16.600557
size,13.592539,-18.192556,6.9913874
air,14.598236,-4.9194474,-1.1315458
hours,3.2817435,7.367167,21.79647
red,19.277348,-8.5581255,6.5206094
john,5.0915194,-11.308023,-19.229733
south,11.337142,0.9053944,-12.180475
project,-6.3909817,16.211502,-9.078312
thought,-10.146141,-1.6547611,7.098834
nice,-12.093258,2.1443555,14.980318
management,-2.0842783,10.827524,-7.909165
based,-5.029612,-1.1124818,-3.5044389
run,4.9175143,-4.8395085,21.183256
development,-2.3352637,10.942964,-7.5570817
type,-3.2195504,-2.2073421,-3.781823
history,9.00969,-3.938023,-12.828231
least,0.50627995,15.008412,7.944985
friends,-6.335625,-11.0003,11.112398
email,-0.92886597,-12.358461,-5.33825
party,-5.7216773,-0.56227094,-14.076628
general,-14.588086,2.8824906,-9.021302
north,11.374091,0.88910496,-12.201049
law,-16.546406,9.717494,-9.522373
bad,-11.360244,7.3320355,14.768417
far,-10.611448,4.0303473,11.881877
head,7.5087123,1.1896937,13.386926
problem,-17.043118,5.8066926,-5.9437423
already,-3.9088097,6.7677197,11.857997
called,-6.640457,13.520429,9.235165
process,-0.6014626,0.4600813,-10.53075
january,-8.446107,-6.467175,-17.539177
fun,-10.963188,-11.151629,8.200911
york,11.997806,-8.9649315,-13.802933
someone,-14.964659,-1.7824496,3.8428078
hope,-8.4321,-5.2498717,14.138868
students,-11.37288,13.115369,-13.36395
watch,-9.804905,-9.133124,3.151729
hot,16.38851,-1.0595577,13.999205
photo,-0.44859478,-22.584131,3.9136631
level,4.126233,19.272167,3.4334083
movie,1.4630411,-21.1403,-2.186117
comment,-18.181274,-8.786459,-6.748663
july,-10.160005,-6.340843,-20.502829
media,2.826435,-5.6745405,-12.595033
together,-1.8846998,-0.06662764,10.074249
needs,-4.1861143,3.273182,7.749512
others,-12.198912,13.609766,9.066598
include,4.801217,4.096078,-3.630381
young,-3.868663,-19.32607,7.195317
season,2.8724236,11.96975,17.231495
members,-11.07867,-4.8724256,-3.3948767
version,1.31622,-7.348226,0.7152335
started,-1.5306883,9.646115,2.2805498
offer,6.0047574,10.337458,-7.644392
went,-2.8038735,-6.672355,9.563947
form,-2.0123801,2.191083,-5.527502
anything,-13.248874,-1.9004114,4.612656
several,2.8493154,6.428933,-4.2013135
file,-6.0104203,-13.432794,-6.025696
bit,-11.150943,5.4600883,14.8126545
road,18.803024,-1.8911648,-8.499248
tell,-17.932402,-2.780942,11.983257
link,-3.2016246,-8.340379,-11.213204
article,-15.133928,-9.2862835,-10.476723
pretty,-11.771636,1.9114763,14.7717285
often,-13.656001,9.717939,8.14803
four,-22.451656,7.5867467,2.2464533
february,-8.46927,-6.618525,-17.55833
park,13.435942,-3.6644626,-9.907143
tv,7.1109886,-14.949426,1.7783192
came,-3.1377463,-7.2752385,9.422882
hand,10.748888,-0.28407782,14.433343
yes,-15.578277,2.3437827,-0.9783461
everything,-14.220914,-0.4500274,6.7024217
green,19.372755,-8.502385,6.0252295
share,-3.9322298,21.358143,-4.1330624
access,2.399134,6.115469,-9.639937
social,-2.6264122,1.0941132,-16.466059
fact,-14.848179,4.352089,-0.38949955
reviews,-9.357724,-19.050594,-9.297579
personal,-14.654195,5.002563,10.892766
visit,-11.812082,-7.5638213,-1.5504076
single,14.457847,-5.9465966,9.262756
along,4.037013,0.9512567,15.261078
become,-1.8734419,6.749235,7.6488266
points,9.010849,3.2232661,8.370158
plan,-7.139526,18.421661,-8.427035
added,-4.1102157,-4.948331,4.9291506
october,-9.122357,-6.292217,-19.083347
reply,-17.983534,-8.131817,-6.2654905
believe,-17.201866,-1.0141618,10.698263
technology,3.7742307,-3.1524596,-8.446307
possible,-10.680042,6.8925138,7.5141115
photos,-0.60214657,-22.298729,3.5725713
street,19.580612,-4.54852,-10.751957
everyone,-14.614936,-7.041036,7.4790344
past,0.78024864,6.1019974,18.004133
anyone,-14.604592,-1.8049357,4.168358
below,-6.76031,-11.716346,-1.0576301
features,-2.500339,-8.891068,3.0973358
means,-8.359891,10.256561,0.24004804
west,11.121892,0.95692635,-12.055716
windows,4.74039,-13.386186,-1.2525581
current,-8.206525,0.90775424,-2.320006
related,-2.552642,-0.66334414,-5.4651
september,-9.127128,-6.1819043,-19.000818
details,-3.5100985,-7.449621,-6.4477344
november,-8.652146,-6.897846,-19.035019
code,-6.573312,-6.1437325,-9.342001
sex,-3.2352107,-21.67802,-1.8473694
tags,-9.431307,-9.394661,-12.054651
college,-7.8386545,13.295834,-15.966347
nothing,-12.776334,-1.5874207,4.0528836
class,-10.864672,13.554262,-5.820731
event,-5.5298543,-3.3686178,-15.071686
card,11.177618,0.8877992,1.1188021
seen,-5.1900578,-7.629648,7.641045
december,-8.507796,-5.9936924,-17.723524
re,-17.420387,-12.355129,6.201895
minutes,3.6532357,6.9087324,22.366724
august,-8.99643,-5.629636,-19.054255
value,-5.4201403,0.65524703,0.519919
training,-9.699051,11.533989,-8.211518
beautiful,-5.204004,-15.782286,14.410635
early,-1.0946534,6.296922,4.351385
took,-2.6802056,-6.8948083,9.286449
security,-2.5972357,22.176006,1.2064134
true,-7.221044,-3.607921,2.0245044
education,-8.269401,14.084104,-11.944842
comes,-0.37485713,-1.1326282,6.8596773
kind,-10.459975,-0.23920491,4.1994257
source,-0.77442956,-3.1378198,-6.8233204
song,7.6580153,-17.7983,12.078854
board,-14.628684,2.6470013,-9.108917
film,3.2793076,-22.081617,-1.4525646
learn,-12.20898,14.239041,-10.118633
low,4.83092,17.329226,5.6007237
happy,-6.9968424,-10.99562,11.357876
question,-15.951031,-4.1078725,-6.4484324
front,8.462714,1.8676195,12.117515
kids,-6.5176473,-16.235592,9.7800045
property,3.2668333,16.140324,-11.461358
reading,-14.460125,-12.422764,-4.5348096
probably,-11.608114,-2.790989,9.390587
short,1.3502954,0.87974054,24.16573
above,-6.762462,-11.71535,-1.0533767
create,0.5056828,-5.1567335,4.514143
computer,3.094848,-12.01055,-8.175034
whole,2.055533,-4.8088055,17.19221
blue,19.327972,-8.383957,6.938245
either,-7.760645,6.035574,5.4113865
given,-10.226309,7.1846933,0.6782467
example,-3.121246,-1.8152138,-3.976349
heart,12.261066,4.7417293,14.134308
near,12.291096,-0.8272547,-7.948475
parts,14.560863,-0.29347473,-1.1991097
member,-11.098979,-4.933662,-3.3674269
future,-2.8717184,-4.1885486,0.00055107515
whether,-10.826391,1.9994161,-0.14573556
building,12.21306,7.8861074,-0.6225564
insurance,1.4712974,18.0046,-10.755898
girl,-6.251979,-16.674034,11.286102
c,3.7950397,-17.549791,-9.238077
energy,15.824588,-5.4347296,-1.4113908
image,0.13379131,-20.749537,3.5470934
million,-0.49799418,22.38383,-5.719539
child,-14.274619,-15.789234,3.1255283
face,12.162851,3.6969023,15.161442
maybe,-11.776005,-3.7697701,10.072706
pay,-2.5121455,19.871372,-7.7099485
mind,-8.704322,-4.188668,3.4063108
thank,-15.000963,-12.603073,7.4218216
close,5.3990726,2.9639564,9.590025
books,-16.113451,-13.031617,-3.150236
complete,3.0491884,1.4797426,-0.4536738
network,3.0724256,-5.4400578,-12.335626
main,9.613526,1.4429892,-11.323847
u.s.,8.022575,2.233072,-19.26354
trying,-5.651016,-0.7610105,13.78169
war,9.04959,-8.154135,-5.3913097
location,11.4312,1.3971552,-7.491755
later,-4.0849085,3.9855754,3.43091
user,0.6178178,-8.787748,-8.349451
offers,5.5206137,9.939782,-7.702045
month,1.3555205,10.8789015,17.813911
credit,0.15133102,17.992079,-10.098537
president,-16.243267,1.3655188,-16.02461
save,-1.8492291,17.258154,13.734766
idea,-9.579423,-1.7651021,6.523426
human,-5.626346,16.357143,-3.6731703
jobs,-4.7747774,9.810736,-16.149176
words,-7.8375125,-5.135231,-0.8864589
works,2.2507448,-8.484119,2.1248872
travel,17.330574,4.6763263,-6.2864933
perfect,-0.7797412,-2.1613343,4.222156
total,7.214476,15.428027,1.0307381
cost,3.5796328,20.249886,-6.802967
store,12.537885,12.915006,-7.557378
looks,-11.581981,1.3049433,14.652225
questions,-16.449863,-3.7805324,-7.727755
almost,3.2567182,8.870772,13.1001425
original,1.5586896,-7.6867056,1.2592535
model,0.71750426,-2.0552738,-0.09624736
style,7.2822866,-5.326278,2.3881648
systems,3.8372865,-3.0120602,-8.15316
medical,9.8094225,20.028006,5.4495153
space,5.884247,-0.60009646,9.630465
action,-12.526362,8.74505,-10.166969
sales,6.672254,12.425411,-12.5915785
taking,-5.230918,1.6523757,14.829849
quite,-10.73571,3.9429483,14.015394
age,-4.4256396,-16.529318,4.7915826
club,14.431335,5.5283604,-5.787305
living,-11.74005,-13.984715,2.9506986
known,-6.77332,13.544038,9.27578
stop,1.4917084,-1.4785978,11.302577
posts,-18.561024,-9.3596945,-7.3455706
oh,-14.264706,-5.9506645,13.210298
drive,4.730965,-5.421814,21.236618
talk,-10.548725,-8.589191,3.0863304
box,8.762398,1.535092,4.6222377
events,-5.565278,-3.3467183,-15.074709
color,18.503246,-11.180618,11.019845
content,-1.7005434,-5.428033,-14.29945
study,-7.6689982,5.06284,-10.533004
companies,-0.40028426,9.813925,-17.812815
via,-2.4862185,-8.339693,-12.080061
baby,18.524548,6.9445662,3.370973
church,-22.916122,-3.7738554,-5.032587
b,3.3916686,-17.662964,-9.085515
natural,-5.781813,-3.9117846,1.8269446
issue,-15.920682,6.628421,-4.1882124
coming,0.4311752,1.8026383,18.094423
test,0.62025124,2.7094991,-13.967155
major,1.4320786,11.687991,-2.8289177
five,-21.948769,8.6649065,2.3681538
performance,2.0042708,1.2675773,3.5503972
industry,-0.16254878,10.496527,-17.5381
mean,-12.259681,-1.5566721,2.8154762
america,4.275962,4.1428447,-17.240793
key,7.3622775,4.841937,1.6260887
uk,8.847708,5.1460433,-15.908586
enjoy,-18.551363,-5.5601406,3.235881
collection,-1.3227148,-6.6954784,0.7664132
range,4.54158,0.6217751,3.1033618
rate,6.222555,20.16406,-1.6577587
marketing,-2.4785576,-3.5099518,-20.267973
told,-13.386614,-3.4198625,16.553509
simple,1.894452,-13.203574,16.578896
seems,-10.869864,3.981743,12.53519
digital,4.823378,-18.270767,4.1044426
ask,-17.972347,-3.4107049,11.650004
rights,-14.617567,8.520577,-10.002874
court,-18.466396,7.3279967,-11.658994
due,-5.062229,12.460873,1.675101
sound,1.7222753,-14.915978,11.599742
friend,-9.359785,-17.772041,6.274987
send,-3.5756028,-9.927253,-4.274709
