,x,y,z
Digit 2,-0.024004431,-0.04783779,-0.018082293
Digit 7,0.028610319,0.47328153,0.032846954
Digit 1,-0.038305297,0.106022835,-0.023981987
Digit 3,-0.016282016,-0.35743734,-0.02100278
Digit 5,0.0033602566,-0.12971951,-0.0010874668
Digit 3,-0.011859591,-0.25197217,-0.015102363
Digit 8,-0.014316193,-0.06795863,-0.01176261
Digit 6,-0.0058150664,-0.42505774,-0.015490565
Digit 7,0.05034951,0.57055163,0.050613202
Digit 0,-0.0008666118,-0.6147613,-0.017200613
Digit 3,-0.012194333,-0.023905046,-0.009157212
Digit 3,-0.016485596,-0.25636292,-0.018393395
Digit 1,-0.04611266,0.118509464,-0.02941801
Digit 2,-0.022910928,0.009068444,-0.01586448
Digit 1,-0.036024746,0.124494724,-0.021811543
Digit 0,-0.0004022934,-0.7722625,-0.021151643
Digit 0,0.00086960447,-0.66153735,-0.017300183
Digit 3,-0.017307919,-0.22976595,-0.018306486
Digit 9,0.05087809,0.43442076,0.047437664
Digit 0,0.00015539472,-0.79466957,-0.021384552
Digit 0,-0.0004907361,-0.5871804,-0.016280709
Digit 7,0.02935033,0.52040505,0.034683067
Digit 6,-0.00076799665,-0.476021,-0.013437166
Digit 7,0.04083808,0.5618232,0.044579618
Digit 7,0.038590048,0.5741243,0.04258443
Digit 7,0.033798356,0.51674265,0.03758865
Digit 0,-0.0013806201,-0.7981313,-0.022488616
Digit 8,-0.009726871,-0.25210497,-0.013607763
Digit 2,0.0011569607,0.1984723,0.006176648
Digit 0,-0.002172506,-0.77975893,-0.02239036
Digit 1,-0.028417524,0.077905424,-0.017873121
Digit 3,-0.013689823,-0.17610176,-0.014359405
Digit 7,0.033530995,0.5250302,0.037813473
Digit 1,-0.0337447,0.09534042,-0.021235924
Digit 3,-0.014586189,-0.3818878,-0.020486813
Digit 2,-0.03405582,-0.05566889,-0.025304072
Digit 3,-0.01306641,-0.27804196,-0.016637186
Digit 0,-0.0014770326,-0.78914577,-0.022164362
Digit 0,-0.005717938,-0.48364997,-0.017055318
Digit 7,0.044146102,0.5099044,0.04462396
Digit 5,-0.008877499,-0.3188914,-0.014810374
Digit 3,-0.0068334816,-0.18926756,-0.009879228
Digit 8,-0.007214484,-0.27562535,-0.012442197
Digit 9,0.03752008,0.40157196,0.037285097
