,x,y,z
rt,-1.7406988,-2.8488114,-3.5361962
i,2.480427,0.40087608,28.301435
a,1.9416213,1.7008386,-8.578697
the,5.55268,2.0110354,30.901846
you,4.1230745,-1.601608,30.116419
to,8.7101755,-2.331235,31.043716
me,2.0224493,1.9776087,-9.121524
de,7.43788,10.025234,-23.530771
que,2.167839,10.819383,-25.542074
and,4.9897704,0.4955,29.92859
my,3.9507756,0.78754866,29.021908
no,2.0095968,1.9422579,-9.0611515
is,5.1212225,3.1578155,31.550268
it,3.138544,-0.536603,27.093315
in,5.8817773,3.2227154,31.860699
n,1.5167413,-2.791871,-3.7544453
for,8.704655,-2.304816,31.035845
of,5.4512625,2.6999738,31.342958
la,-1.3045168,-1.9441189,-28.43324
do,-8.603713,17.266125,12.49544
n't,3.3308399,-1.9577364,26.77271
that,2.8674288,-1.4151179,27.453583
on,7.203056,4.18858,26.312454
y,3.361184,-7.6948805,-24.69533
e,-5.2751517,3.6311195,-7.0729513
o,-5.3319306,3.9571233,-6.8728647
u,-0.9462531,-1.6366042,-3.2402213
en,7.6299644,9.894647,-23.477621
this,5.71459,1.4211245,26.11421
el,2.132777,-5.78512,-24.458117
so,-0.5424688,-2.1916382,24.41448
be,5.8584595,-5.500249,28.993319
with,5.1369157,0.6598353,29.920223
just,3.0167403,0.0007771548,27.638609
your,4.490269,-0.86117303,30.191977
like,3.1528528,1.1757617,26.914104
have,4.9198256,-1.6346025,26.415304
te,1.301176,10.315482,-26.17749
at,8.444486,2.792371,27.288897
love,-5.5237536,-1.2981642,9.473846
se,1.9207102,10.658812,-25.720036
are,2.7769148,-4.3105087,23.468983
m,1.1485409,-0.09095591,-4.615636
r,0.26414013,-1.0174444,-3.649725
if,9.812047,-2.466579,25.259867
all,6.602045,2.2013261,26.999556
b,-0.20995098,-0.99952924,-3.7783706
not,5.6653185,-4.686907,28.00602
but,1.7504874,-1.3958073,26.370283
we,8.581368,-0.7893241,27.993347
es,6.2381682,-7.905185,-23.128448
ya,-11.383107,-7.4507627,1.5336071
follow,3.9546828,-15.975316,-5.6218176
up,7.871357,2.8579826,25.463564
what,2.005074,-3.321339,26.497137
get,9.382683,-0.30904132,24.274998
lol,-12.461939,-2.1387978,14.13914
un,-0.86895746,-0.795444,-26.434704
lo,0.12031557,-2.6978939,-24.030424
when,3.7149472,-2.4085069,27.073078
was,1.2683529,5.703789,29.170776
one,5.320115,-1.7779357,19.762177
por,0.0977207,16.09956,-23.709648
si,-0.57082164,-1.3747909,-25.763523
out,7.634345,2.6356623,25.96987
mi,0.8491056,-6.772162,-21.873978
can,5.6070123,-5.3431606,28.936563
he,-1.8945116,2.4773602,30.447796
con,2.9458406,-4.9969034,-23.286367
they,4.9569654,-6.369302,24.67424
now,5.49335,1.2618937,25.56017
go,10.6115675,1.3633089,23.877098
para,-3.6801803,16.113386,-21.578413
los,17.05833,3.78492,-18.085623
know,2.0064538,-2.897549,26.519867
haha,-16.03855,0.15166251,-0.9983216
good,-0.20207438,-2.032067,22.539783
tu,-1.3141427,-1.9821955,-28.490831
back,8.795315,1.1593541,23.640179
about,2.7918286,-3.9175928,25.468493
new,8.419436,2.5241003,30.721815
as,-8.599574,17.263535,12.49643
day,17.137953,3.4551568,21.647455
how,2.0586843,-3.2944624,24.988457
who,8.5189905,-3.6166027,25.166945
will,8.842981,-0.7002921,28.983786
want,10.066082,-2.0297935,26.160435
people,3.7648757,-5.276672,23.15708
yo,2.820902,-8.7328205,-24.810257
eu,-8.779975,11.940821,-15.064169
from,7.7179337,1.7554582,30.46608
di,-6.785764,-14.189913,-10.042857
time,13.276883,1.5649552,12.9851885
s,1.1486781,-0.46469894,-5.3587766
aku,-11.907335,-11.639586,-11.187526
da,-5.5354443,4.675353,-6.4504943
una,2.9963114,-4.8746023,-23.131603
got,1.947889,7.79406,25.707859
las,17.064758,3.7762496,-18.08335
more,8.030658,-5.1012874,22.685995
x,-0.70001805,-0.9625141,-6.5964785
she,2.9857976,-5.388559,30.6837
today,16.277628,2.8335435,21.630669
k,-6.3416452,3.1161797,-7.8025436
by,7.6370597,1.7902583,30.555199
or,9.125883,-1.8973325,23.234291
too,0.053300265,-2.364649,23.476307
le,-1.0495489,-0.50375354,-26.73358
see,7.223767,0.28205228,26.542814
why,1.3969022,-3.9164662,26.896015
yg,-13.792715,-15.3017,-7.4571757
ca,16.737907,-0.9403543,12.092056
como,-0.24933171,15.948512,-23.293291
her,4.2913895,-5.716278,30.144003
q,-6.493419,6.739294,-18.462404
need,9.7441845,-0.7515845,24.078314
an,6.5740213,-6.08525,29.31648
na,-18.554428,3.5057824,-7.0143976
there,4.07181,-1.5044736,26.023325
happy,-5.911552,-0.7562286,8.333424
im,-11.337466,0.4951402,15.530021
mas,-7.1643815,6.646191,-18.943394
je,-11.571615,-6.2402287,-25.609642
life,1.2231752,-8.922302,26.130415
really,1.5620638,-3.0203583,24.57657
make,10.320826,-1.358048,23.687565
yang,-17.965906,-19.356213,-10.879573
shit,-12.482248,1.3987488,15.23894
think,2.2295277,-2.382422,26.081877
t,1.3097472,0.40845978,-4.78227
não,-16.727758,17.769167,-3.8714175
never,4.2708797,-2.151831,18.720308
some,5.430587,-0.21761592,22.934883
oh,-13.601801,-1.4232404,4.100624
did,-1.7819772,4.974777,26.76094
would,6.216593,-3.3187923,26.42851
del,2.1185598,-5.6420264,-24.357294
d,-1.1741998,-0.39776674,-4.656451
please,3.0481339,-21.55276,4.2345896
via,16.673717,-8.973053,-1.0319611
much,0.9348897,-2.8913114,23.766376
fuck,-12.378205,1.6809595,14.782337
al,1.4609157,-5.8489175,-25.02306
dia,-12.98815,2.4099917,-14.663104
right,4.472372,0.29020178,25.620264
best,-2.8376493,0.24404798,18.108183
c,1.2176404,0.18227904,-5.957593
going,14.808524,2.058458,21.321213
pero,5.7247186,-11.466712,-25.268557
only,7.499309,-4.2512307,22.632126
has,-1.8972479,2.476085,30.449303
twitter,11.91044,-15.788835,-2.4587681
hahaha,-15.713384,0.6347191,-1.332801
its,3.119467,-0.67160153,25.275614
nn,1.6962394,-3.0491722,-3.8868303
am,11.5138035,3.6457,19.924019
say,-6.1211357,-10.241454,10.830893
them,4.934137,-6.349852,24.405699
here,6.782882,1.3470882,26.169813
off,8.730613,3.5933056,25.18941
still,-3.1588082,-3.7628262,26.950815
dan,-17.532328,-21.168154,-10.358225
night,17.401276,4.0308285,21.650322
w,-1.8028462,-0.0644894,-3.0061219
