,x,y,z
the,-1.4501451,3.3720841,-2.6889873
of,-1.4513444,3.3151855,-2.7210846
to,10.875111,-15.86785,1.8586658
and,1.7635427,0.6315573,6.2668376
in,8.228525,1.6042598,14.914584
a,-8.271977,-7.0285416,5.7923026
for,-2.5895128,-4.4010105,8.141194
that,4.995528,-13.242905,3.5479808
on,-1.2090236,-1.3352094,10.833589
is,-6.4071846,-21.670744,5.1928477
was,15.864107,0.80429757,14.788032
said,13.969004,9.558064,-0.5617485
with,1.6292229,0.41393232,6.623406
he,11.442772,-13.823632,11.086695
as,2.7656024,2.1209834,6.010619
it,-1.357425,-17.870714,9.187223
by,3.9778006,3.191629,7.399673
at,9.115425,-4.4407697,18.582733
from,0.60622686,-1.1080911,5.419741
his,12.277608,-14.534145,11.874973
an,-8.245887,-6.924245,5.7677193
be,6.706863,-13.186506,1.1154295
has,3.6758604,2.860784,5.561462
are,-12.591243,-9.134286,0.26030013
have,-14.075861,-10.676793,3.8340924
but,5.2366023,-14.239277,4.5844016
were,-14.448719,-9.424251,2.9398973
not,6.715031,-13.188767,1.0940487
this,-1.3602343,-17.871143,9.184779
who,1.4766023,19.580206,18.67423
they,-13.973773,-10.935293,4.047625
had,6.395621,-2.7767038,1.2755107
i,8.524225,-33.199055,1.9799473
which,-1.9576329,4.144047,-1.3386571
will,10.738436,-15.492474,1.0703971
their,-10.485783,-10.654345,5.3296165
or,-7.344128,-11.435064,6.6599817
its,-2.7939856,4.1488104,-1.1684159
one,-8.649142,-9.219168,6.2993765
after,5.719557,-0.48790014,17.76164
new,-1.2314476,-0.38749683,10.205744
been,6.4022145,-2.798172,0.7383217
also,3.6115823,2.5985663,7.325706
we,16.135002,-22.901333,0.03706427
would,8.65528,-15.350157,-0.6432649
two,-14.645706,-21.612398,7.9530334
more,-8.771903,-17.613098,9.345256
first,10.393011,-10.864804,22.11191
about,2.5276005,-16.260912,6.614448
up,1.912709,-19.440435,14.61064
when,10.66301,-13.178326,10.320428
year,10.796204,0.43337065,15.47504
there,3.0915344,-16.304214,6.3115
all,-9.861071,-10.490811,5.798777
out,3.4464684,-17.596237,13.367417
