#data from https://doi.org/10.1371/journal.pntd.0001039.s001 Table S3
Strongyloides_contig_number,p-value,log2_(L3i/L1)_signal_ratio,annotation,PFAM_database_id,
1,0.00016037306,2.5192,pm,Protamine_P1,
2,0.005024903,2.32661,extmat,Collagen,
3,0.0043354058,1.9531,extmat,Collagen,
4,0.017699179,2.4299,cs,TT_ORF1,
5,0.027667376,2.30323,cs,MBOAT,
6,0.030429192,2.14331,extmat,TT_ORF1,
7,0.012085345,2.2498,extmat,Collagen,
8,0.045448324,2.13219,extmat,Collagen,
9,9.98E-05,2.75185,extmat,Collagen,
10,0.021245861,2.00423,extmat,Collagen,
11,0.0033196795,1.30678,nr,TT_ORF1,
12,0.34505021,0.71964,unk, ,
13,0.1583246,0.77697,unk,7tm_4,
14,0.062065334,0.58357,nr,VAR1,
15,0.017488231,-0.38871,unk,K_tetra,
16,0.0030626345,1.29407,ps,GTP_EFTU,
17,0.074487764,1.4105,ps,GTP_EFTU,
18,0.00046774681,1.76258,ps,GTP_EFTU_D3,
19,6.53E-05,1.36122,ps,GTP_EFTU_D3,
20,0.0025215681,2.60449,unk,SCP,
21,1.53E-05,2.58209,unk,SCP,
22,3.58E-05,1.63442,unk,SCP,
23,5.77E-05,3.28525,tr,EAP30,
24,2.51E-05,3.44582,cs,Syndecan,
25,0.00050253174,3.32913,cs,DUF612,
26,0.00056467445,2.60698,tr,EAP30,
27,7.65E-05,2.71517,st,SCP,
28,0.00015302447,1.77094,unk,SCP,
29,0.0016853384,2.753,unk,Atrophin-1,
30,4.73E-05,2.64856,unk,CGGC,
31,4.64E-05,2.98112,st,efhand,
32,0.00032824387,2.5813,pm,Astacin,
33,0.0003026949,2.65152,pm,Astacin,
34,0.014802813,1.26875,cs,Actin,
35,8.26E-05,1.69535,cs,Actin,
36,0.0028323841,0.89015,cs,Actin,
37,0.087566468,0.36164,cs,Actin,
38,0.00091352611,0.79137,cs,Actin,
39,0.00015214854,1.58902,unk,SCP,
40,0.00019705889,2.41438,unk,SCP,
41,0.0034139342,0.88157,unk,SCP,
42,0.0010886772,1.11376,pm,14-3-3,
43,0.00020082534,2.19923,pm,14-3-3,
44,0.00039464233,1.98731,pm,14-3-3,
45,0.9400356,-0.01343,pm,14-3-3,
46,0.00038353366,2.01085,pm,14-3-3,
47,0.0046232212,0.53837,em,Mito_carr,
48,1.10E-05,1.89667,em,Mito_carr,
49,0.019295245,0.62537,tm,Ribosomal_L10,
50,0.0034543442,-0.70784,tm,Ribosomal_L10,
51,0.00011954545,2.35215,st,Ras,
52,0.013266515,-1.6696,unk,Oxidored_q4,
53,0.0030108968,1.62018,st,Ras,
54,9.97E-06,2.93774,unk,VAR1,
55,0.001910765,-1.76421,em,COX1,
56,0.006804619,-0.73351,extmat,Collagen,
57,0.34643366,-0.08869,extmat,Collagen,
58,0.016508963,0.2526,extmat,Collagen,
59,0.056999966,-0.14975,extmat,Collagen,
60,0.50140198,0.07867,unk,YMF19,
61,0.03175646,0.41922,pm,Calreticulin,
62,0.02372729,1.0023,pm,Thioredoxin,
63,0.00119279,1.93974,tm,Ribosomal_S8e,
64,0.00083004985,1.96139,cs,Caldesmon,
65,0.00013687096,3.38661,pm,Astacin,
66,3.96E-05,3.8914,met,Trehalase,
67,1.20E-05,4.0493,met,Trehalase,
68,0.0002274008,3.83231,met,Trehalase,
69,0.011981827,1.46394,prot,ubiquitin,
70,3.23E-06,2.83038,prot,ubiquitin,
71,0.0067359588,1.43148,prot,ubiquitin,
72,0.0068451354,0.8277,pm,HSP70,
73,0.00097627792,2.90981,pm,HSP70,
74,0.0021982085,-0.95517,tm,Ribosomal_S4,
75,0.00063461427,-0.61139,tm,Ribosomal_S4,
76,0.85235914,0.02855,nr,Ribosomal_L4,
77,0.0010036111,1.5478,pm,HATPase_c,
78,0.073289589,0.56429,pm,HSP90,
79,0.19109416,0.17672,pm,HSP90,
80,0.0051584839,-0.69259,tm,Ribosomal_S11,
81,0.00049757011,0.85692,tm,Ribosomal_L5_C,
82,0.00039653635,3.54608,unk,SCP,
83,0.00014379806,2.97845,pm,P_proprotein,
84,0.0030640144,0.93909,tm,Ribosomal_S3Ae,
85,0.0316477,-0.28403,tm,Ribosomal_S12,
86,0.007406604,-0.17511,tm,Ribosomal_S2,
87,0.1975141,-0.30278,tm,Ribosomal_S6e,
88,0.011131592,0.94164,tm,Ribosomal_S5,
89,0.49735201,0.04829,tm,Ribosomal_S5,
90,0.2733003,-0.28179,met,Gp_dh_N,
91,0.0063506051,1.76326,met,Gp_dh_C,
92,0.00010517857,1.64653,nr,NAP,
93,0.097062903,-0.42757,extmat,Collagen,
94,0.00042265975,3.84365,tr,Ferritin,
95,0.0017101445,0.32104,extmat,Mucin,
96,1.41E-05,2.72979,unk,FragX_IP,
97,0.0013749312,1.01585,extmat,Mucin,
98,0.14824335,0.34655,extmat,Mucin,
99,0.0048126638,2.17418,tr,PRELI,
100,0.038364672,1.03847,tm,Ribosomal_60s,
101,0.38731825,-0.13401,tm,Ribosomal_60s,
102,0.070858222,0.12288,tr,Lipase_2,
103,0.017134354,1.24143,pm,HSP70,
104,0.0049521421,1.23557,pm,HSP70,
105,0.040983231,0.43098,pm,HSP70,
106,0.0054546104,1.45283,tm,L15,
107,0.0032211586,-0.49643,extmat,Collagen,
108,0.27589624,-0.25783,extmat,Collagen,
109,0.02408942,-0.35148,em,ATP-gua_Ptrans,
110,0.11702574,0.27125,em,ATP-gua_Ptrans,
111,0.00048446216,1.67901,tr,7tm_4,
112,0.0063940948,0.88424,unk,Sre,
113,1.15E-05,2.16754,cs,MAP1_LC3,
114,0.26663262,0.16066,met,CPSase_L_chain,
