Well,UTM E/W,UTM N/S,TVD,inline,xline
15-9_19A,435057.043,6478570.406,109.0,10151.0,2276.0
15-9_19A,435057.013,6478570.356,122.96,10151.0,2276.0
15-9_19A,435057.013,6478570.336,132.98,10151.0,2276.0
15-9_19A,435057.033,6478570.326,142.96,10151.0,2276.0
15-9_19A,435057.053,6478570.306,152.91,10151.0,2276.0
15-9_19A,435057.093,6478570.266,162.96,10151.0,2276.0
15-9_19A,435057.113,6478570.216,173.0,10151.0,2276.0
15-9_19A,435057.123,6478570.136,182.92,10151.0,2276.0
15-9_19A,435057.103,6478570.066,192.92,10151.0,2276.0
15-9_19A,435057.073,6478570.036,202.91,10151.0,2276.0
15-9_19A,435057.043,6478570.046,212.93,10151.0,2276.0
15-9_19A,435057.003,6478570.026,222.94,10151.0,2276.0
15-9_19A,435056.963,6478570.026,232.99,10151.0,2276.0
15-9_19A,435056.933,6478570.016,242.97,10151.0,2276.0
15-9_19A,435056.883,6478569.996,253.0,10151.0,2276.0
15-9_19A,435056.853,6478569.996,262.88,10151.0,2276.0
15-9_19A,435056.793,6478569.986,272.97,10151.0,2276.0
15-9_19A,435056.733,6478569.977,282.93,10151.0,2276.0
15-9_19A,435056.663,6478569.987,292.98,10151.0,2276.0
15-9_19A,435056.593,6478569.977,302.94,10151.0,2276.0
15-9_19A,435056.523,6478569.977,312.98,10151.0,2276.0
15-9_19A,435056.433,6478569.977,323.0,10151.0,2276.0
15-9_19A,435056.353,6478569.967,332.94,10151.0,2276.0
15-9_19A,435056.263,6478569.957,342.91,10151.0,2276.0
15-9_19A,435056.183,6478569.967,352.94,10151.0,2276.0
15-9_19A,435056.103,6478569.977,363.0,10151.0,2276.0
15-9_19A,435056.023,6478569.997,372.95,10151.0,2276.0
15-9_19A,435055.943,6478569.997,383.0,10151.0,2276.0
15-9_19A,435055.863,6478569.957,392.96,10151.0,2276.0
15-9_19A,435055.783,6478569.927,402.92,10151.0,2276.0
15-9_19A,435055.723,6478569.897,413.0,10151.0,2276.0
15-9_19A,435055.663,6478569.857,422.92,10151.0,2276.0
15-9_19A,435055.593,6478569.837,432.92,10151.0,2276.0
15-9_19A,435055.523,6478569.807,442.92,10151.0,2276.0
15-9_19A,435055.463,6478569.767,453.0,10151.0,2276.0
15-9_19A,435055.423,6478569.687,463.0,10151.0,2276.0
15-9_19A,435055.383,6478569.648,472.93,10151.0,2276.0
15-9_19A,435055.333,6478569.598,482.93,10151.0,2276.0
15-9_19A,435055.283,6478569.558,493.0,10151.0,2276.0
15-9_19A,435055.243,6478569.508,503.01,10151.0,2276.0
15-9_19A,435055.193,6478569.488,512.91,10151.0,2276.0
15-9_19A,435055.143,6478569.448,522.97,10151.0,2276.0
15-9_19A,435055.093,6478569.388,533.0,10151.0,2276.0
15-9_19A,435055.053,6478569.338,542.96,10151.0,2276.0
15-9_19A,435055.023,6478569.278,552.93,10151.0,2276.0
15-9_19A,435054.973,6478569.228,562.93,10151.0,2276.0
15-9_19A,435054.873,6478569.198,572.89,10151.0,2276.0
15-9_19A,435054.673,6478569.198,583.0,10151.0,2276.0
15-9_19A,435054.333,6478569.268,592.98,10151.0,2276.0
15-9_19A,435053.853,6478569.369,602.96,10151.0,2276.0
15-9_19A,435053.234,6478569.529,612.87,10151.0,2276.0
15-9_19A,435052.484,6478569.759,622.88,10151.0,2276.0
15-9_19A,435051.604,6478570.02,632.81,10151.0,2276.0
15-9_19A,435050.575,6478570.36,642.73,10151.0,2277.0
15-9_19A,435049.426,6478570.741,652.74,10151.0,2277.0
15-9_19A,435048.186,6478571.171,662.67,10151.0,2277.0
15-9_19A,435046.837,6478571.602,672.48,10151.0,2277.0
15-9_19A,435045.328,6478572.133,682.43,10151.0,2277.0
15-9_19A,435043.699,6478572.714,692.25,10151.0,2277.0
15-9_19A,435041.93,6478573.315,702.05,10151.0,2277.0
15-9_19A,435040.061,6478573.946,711.86,10151.0,2277.0
15-9_19A,435038.072,6478574.647,721.59,10151.0,2278.0
15-9_19A,435035.903,6478575.348,731.37,10151.0,2278.0
15-9_19A,435033.565,6478576.099,741.11,10151.0,2278.0
15-9_19A,435031.056,6478576.87,750.78,10151.0,2278.0
15-9_19A,435028.417,6478577.712,760.37,10151.0,2278.0
15-9_19A,435025.589,6478578.623,769.89,10151.0,2279.0
15-9_19A,435022.591,6478579.555,779.44,10151.0,2279.0
15-9_19A,435019.472,6478580.526,788.87,10151.0,2279.0
15-9_19A,435016.194,6478581.588,798.23,10151.0,2279.0
15-9_19A,435012.836,6478582.77,807.59,10151.0,2280.0
15-9_19A,435009.328,6478583.891,816.88,10151.0,2280.0
15-9_19A,435005.66,6478585.013,826.12,10151.0,2280.0
15-9_19A,435001.862,6478586.165,835.27,10151.0,2281.0
15-9_19A,434997.974,6478587.387,844.45,10151.0,2281.0
15-9_19A,434994.096,6478588.609,853.49,10151.0,2281.0
15-9_19A,434990.098,6478589.781,862.56,10151.0,2282.0
15-9_19A,434985.921,6478591.034,871.6,10151.0,2282.0
15-9_19A,434981.683,6478592.296,880.59,10151.0,2282.0
15-9_19A,434977.395,6478593.578,889.47,10151.0,2283.0
15-9_19A,434972.967,6478594.88,898.38,10151.0,2283.0
15-9_19A,434968.39,6478596.183,907.24,10151.0,2283.0
15-9_19A,434963.742,6478597.425,915.98,10151.0,2284.0
15-9_19A,434959.005,6478598.738,924.67,10151.0,2284.0
15-9_19A,434954.127,6478600.071,933.32,10151.0,2285.0
15-9_19A,434949.15,6478601.343,941.92,10152.0,2285.0
15-9_19A,434944.132,6478602.646,950.44,10152.0,2285.0
15-9_19A,434939.015,6478603.989,958.93,10152.0,2286.0
15-9_19A,434933.768,6478605.212,967.37,10152.0,2286.0
15-9_19A,434928.38,6478606.574,975.76,10152.0,2287.0
15-9_19A,434922.923,6478607.977,983.95,10152.0,2287.0
15-9_19A,434917.316,6478609.28,992.1,10151.0,2288.0
15-9_19A,434911.559,6478610.704,1000.16,10152.0,2288.0
15-9_19A,434905.682,6478612.237,1008.17,10152.0,2289.0
15-9_19A,434899.715,6478613.66,1016.06,10152.0,2289.0
15-9_19A,434893.638,6478615.163,1023.83,10151.0,2290.0
15-9_19A,434887.411,6478616.727,1031.5,10152.0,2290.0
15-9_19A,434881.044,6478618.27,1039.07,10151.0,2291.0
15-9_19A,434874.457,6478619.794,1046.53,10151.0,2291.0
15-9_19A,434867.871,6478621.467,1053.85,10151.0,2292.0
15-9_19A,434861.224,6478622.991,1061.04,10151.0,2292.0
15-9_19A,434854.277,6478624.575,1068.2,10151.0,2293.0
15-9_19A,434847.401,6478626.228,1075.14,10151.0,2293.0
15-9_19A,434840.284,6478627.992,1081.99,10151.0,2294.0
15-9_19A,434833.098,6478629.716,1088.72,10151.0,2295.0
15-9_19A,434825.802,6478631.55,1095.3,10151.0,2295.0
15-9_19A,434818.325,6478633.084,1101.74,10151.0,2296.0
15-9_19A,434810.759,6478634.788,1108.02,10151.0,2296.0
15-9_19A,434803.053,6478636.493,1114.19,10151.0,2297.0
15-9_19A,434795.296,6478638.147,1120.19,10151.0,2298.0
15-9_19A,434787.35,6478639.851,1126.1,10151.0,2298.0
15-9_19A,434779.364,6478641.356,1131.84,10151.0,2299.0
15-9_19A,434771.258,6478643.22,1137.47,10151.0,2300.0
15-9_19A,434763.132,6478644.855,1142.96,10151.0,2300.0
15-9_19A,434754.946,6478646.579,1148.36,10151.0,2301.0
15-9_19A,434746.68,6478648.264,1153.71,10151.0,2302.0
15-9_19A,434738.384,6478650.089,1159.02,10151.0,2302.0
15-9_19A,434730.088,6478651.873,1164.28,10151.0,2303.0
15-9_19A,434721.742,6478653.678,1169.47,10151.0,2304.0
15-9_19A,434713.426,6478655.492,1174.63,10151.0,2304.0
15-9_19A,434705.05,6478657.427,1179.74,10151.0,2305.0
15-9_19A,434696.704,6478659.202,1184.89,10151.0,2306.0
15-9_19A,434688.328,6478661.016,1190.09,10151.0,2306.0
15-9_19A,434680.072,6478662.781,1195.34,10151.0,2307.0
15-9_19A,434671.756,6478664.605,1200.68,10151.0,2308.0
15-9_19A,434663.55,6478666.48,1206.04,10151.0,2308.0
15-9_19A,434655.384,6478668.334,1211.48,10151.0,2309.0
15-9_19A,434647.218,6478670.019,1216.98,10151.0,2310.0
15-9_19A,434639.122,6478671.863,1222.54,10151.0,2310.0
15-9_19A,434631.026,6478673.848,1228.13,10151.0,2311.0
15-9_19A,434623.03,6478675.552,1233.74,10151.0,2312.0
15-9_19A,434614.804,6478677.597,1239.26,10151.0,2312.0
15-9_19A,434606.658,6478679.561,1244.64,10151.0,2313.0
15-9_19A,434598.522,6478681.446,1249.96,10151.0,2314.0
15-9_19A,434590.216,6478683.32,1255.27,10151.0,2314.0
15-9_19A,434581.88,6478685.125,1260.5,10151.0,2315.0
15-9_19A,434573.514,6478687.169,1265.65,10151.0,2316.0
15-9_19A,434565.269,6478689.184,1270.76,10151.0,2316.0
15-9_19A,434556.973,6478691.078,1276.03,10151.0,2317.0
15-9_19A,434552.775,6478692.101,1278.71,10151.0,2318.0
15-9_19A,434548.717,6478693.073,1281.3,10151.0,2318.0
15-9_19A,434540.441,6478695.207,1286.58,10151.0,2319.0
15-9_19A,434532.385,6478697.621,1291.85,10151.0,2319.0
15-9_19A,434524.19,6478700.066,1297.1,10151.0,2320.0
15-9_19A,434516.074,6478702.59,1302.3,10151.0,2321.0
15-9_19A,434507.889,6478705.344,1307.43,10151.0,2321.0
15-9_19A,434499.783,6478708.188,1312.52,10151.0,2322.0
15-9_19A,434491.748,6478711.262,1317.57,10151.0,2323.0
15-9_19A,434483.763,6478714.536,1322.54,10151.0,2323.0
15-9_19A,434476.208,6478717.81,1327.46,10151.0,2324.0
15-9_19A,434467.773,6478721.504,1332.37,10152.0,2325.0
15-9_19A,434459.998,6478725.527,1337.2,10152.0,2325.0
15-9_19A,434452.183,6478729.431,1342.01,10152.0,2326.0
15-9_19A,434444.449,6478733.444,1346.81,10152.0,2327.0
15-9_19A,434436.534,6478737.388,1351.61,10152.0,2327.0
15-9_19A,434428.729,6478741.211,1356.43,10152.0,2328.0
15-9_19A,434420.834,6478744.955,1361.35,10152.0,2329.0
15-9_19A,434412.959,6478748.509,1366.36,10153.0,2329.0
15-9_19A,434405.094,6478751.932,1371.42,10153.0,2330.0
15-9_19A,434397.209,6478755.206,1376.52,10153.0,2331.0
15-9_19A,434389.263,6478758.48,1381.62,10153.0,2331.0
15-9_19A,434381.278,6478761.634,1386.64,10153.0,2332.0
15-9_19A,434373.283,6478764.698,1391.68,10153.0,2333.0
15-9_19A,434365.028,6478767.742,1396.71,10153.0,2334.0
15-9_19A,434356.952,6478770.656,1401.77,10153.0,2334.0
15-9_19A,434348.777,6478773.51,1406.84,10153.0,2335.0
15-9_19A,434340.482,6478776.135,1411.94,10153.0,2336.0
15-9_19A,434332.216,6478778.559,1417.08,10153.0,2336.0
15-9_19A,434324.01,6478780.973,1422.22,10153.0,2337.0
15-9_19A,434315.705,6478783.308,1427.35,10153.0,2338.0
15-9_19A,434307.369,6478785.572,1432.5,10153.0,2338.0
15-9_19A,434299.023,6478787.677,1437.66,10153.0,2339.0
15-9_19A,434290.587,6478789.491,1442.81,10153.0,2340.0
15-9_19A,434282.521,6478791.326,1447.98,10153.0,2340.0
15-9_19A,434273.855,6478793.211,1453.2,10153.0,2341.0
15-9_19A,434265.5,6478795.045,1458.37,10153.0,2342.0
15-9_19A,434257.213,6478796.79,1463.57,10153.0,2342.0
15-9_19A,434248.788,6478798.514,1468.75,10153.0,2343.0
15-9_19A,434240.492,6478800.319,1473.97,10153.0,2344.0
15-9_19A,434232.086,6478802.104,1479.17,10153.0,2345.0
15-9_19A,434223.66,6478803.808,1484.35,10153.0,2345.0
15-9_19A,434215.354,6478805.583,1489.59,10153.0,2346.0
15-9_19A,434206.908,6478807.318,1494.73,10153.0,2347.0
15-9_19A,434198.592,6478809.032,1499.92,10153.0,2347.0
15-9_19A,434190.096,6478810.727,1505.12,10153.0,2348.0
15-9_19A,434181.75,6478812.392,1510.32,10153.0,2349.0
15-9_19A,434173.514,6478814.136,1515.52,10153.0,2349.0
15-9_19A,434165.037,6478815.731,1520.73,10153.0,2350.0
