Well,UTM E/W,UTM N/S,TVD,inline,xline
15-9_19BT2,435057.043,6478570.406,109.0,10151.0,2276.0
15-9_19BT2,435057.013,6478570.356,122.96,10151.0,2276.0
15-9_19BT2,435057.013,6478570.336,132.98,10151.0,2276.0
15-9_19BT2,435057.033,6478570.326,142.96,10151.0,2276.0
15-9_19BT2,435057.053,6478570.306,152.91,10151.0,2276.0
15-9_19BT2,435057.093,6478570.266,162.96,10151.0,2276.0
15-9_19BT2,435057.113,6478570.216,173.0,10151.0,2276.0
15-9_19BT2,435057.123,6478570.136,182.92,10151.0,2276.0
15-9_19BT2,435057.103,6478570.066,192.92,10151.0,2276.0
15-9_19BT2,435057.073,6478570.036,202.91,10151.0,2276.0
15-9_19BT2,435057.043,6478570.046,212.93,10151.0,2276.0
15-9_19BT2,435057.003,6478570.026,222.94,10151.0,2276.0
15-9_19BT2,435056.963,6478570.026,232.99,10151.0,2276.0
15-9_19BT2,435056.933,6478570.016,242.97,10151.0,2276.0
15-9_19BT2,435056.883,6478569.996,253.0,10151.0,2276.0
15-9_19BT2,435056.853,6478569.996,262.88,10151.0,2276.0
15-9_19BT2,435056.793,6478569.986,272.97,10151.0,2276.0
15-9_19BT2,435056.733,6478569.977,282.93,10151.0,2276.0
15-9_19BT2,435056.663,6478569.987,292.98,10151.0,2276.0
15-9_19BT2,435056.593,6478569.977,302.94,10151.0,2276.0
15-9_19BT2,435056.523,6478569.977,312.98,10151.0,2276.0
15-9_19BT2,435056.433,6478569.977,323.0,10151.0,2276.0
15-9_19BT2,435056.353,6478569.967,332.94,10151.0,2276.0
15-9_19BT2,435056.263,6478569.957,342.91,10151.0,2276.0
15-9_19BT2,435056.183,6478569.967,352.94,10151.0,2276.0
15-9_19BT2,435056.103,6478569.977,363.0,10151.0,2276.0
15-9_19BT2,435056.023,6478569.997,372.95,10151.0,2276.0
15-9_19BT2,435055.943,6478569.997,383.0,10151.0,2276.0
15-9_19BT2,435055.863,6478569.957,392.96,10151.0,2276.0
15-9_19BT2,435055.783,6478569.927,402.92,10151.0,2276.0
15-9_19BT2,435055.723,6478569.897,413.0,10151.0,2276.0
15-9_19BT2,435055.663,6478569.857,422.92,10151.0,2276.0
15-9_19BT2,435055.593,6478569.837,432.92,10151.0,2276.0
15-9_19BT2,435055.523,6478569.807,442.92,10151.0,2276.0
15-9_19BT2,435055.463,6478569.767,453.0,10151.0,2276.0
15-9_19BT2,435055.423,6478569.687,463.0,10151.0,2276.0
15-9_19BT2,435055.383,6478569.648,472.93,10151.0,2276.0
15-9_19BT2,435055.333,6478569.598,482.93,10151.0,2276.0
15-9_19BT2,435055.283,6478569.558,493.0,10151.0,2276.0
15-9_19BT2,435055.243,6478569.508,503.01,10151.0,2276.0
15-9_19BT2,435055.193,6478569.488,512.91,10151.0,2276.0
15-9_19BT2,435055.143,6478569.448,522.97,10151.0,2276.0
15-9_19BT2,435055.093,6478569.388,533.0,10151.0,2276.0
15-9_19BT2,435055.053,6478569.338,542.96,10151.0,2276.0
15-9_19BT2,435055.023,6478569.278,552.93,10151.0,2276.0
15-9_19BT2,435054.973,6478569.228,562.93,10151.0,2276.0
15-9_19BT2,435054.873,6478569.198,572.89,10151.0,2276.0
15-9_19BT2,435054.673,6478569.198,583.0,10151.0,2276.0
15-9_19BT2,435054.333,6478569.268,592.98,10151.0,2276.0
15-9_19BT2,435053.853,6478569.369,602.96,10151.0,2276.0
15-9_19BT2,435053.234,6478569.529,612.87,10151.0,2276.0
15-9_19BT2,435052.484,6478569.759,622.88,10151.0,2276.0
15-9_19BT2,435051.604,6478570.02,632.81,10151.0,2276.0
15-9_19BT2,435050.575,6478570.36,642.73,10151.0,2277.0
15-9_19BT2,435049.426,6478570.741,652.74,10151.0,2277.0
15-9_19BT2,435048.186,6478571.171,662.67,10151.0,2277.0
15-9_19BT2,435046.837,6478571.602,672.48,10151.0,2277.0
15-9_19BT2,435045.328,6478572.133,682.43,10151.0,2277.0
15-9_19BT2,435043.699,6478572.714,692.25,10151.0,2277.0
15-9_19BT2,435041.93,6478573.315,702.05,10151.0,2277.0
15-9_19BT2,435040.061,6478573.946,711.86,10151.0,2277.0
15-9_19BT2,435038.072,6478574.647,721.59,10151.0,2278.0
15-9_19BT2,435035.903,6478575.348,731.37,10151.0,2278.0
15-9_19BT2,435033.565,6478576.099,741.11,10151.0,2278.0
