Well,UTM E/W,UTM N/S,TVD,inline,xline
15-9_19SR,435057.043,6478570.406,109.0,10151.0,2276.0
15-9_19SR,435057.013,6478570.356,122.96,10151.0,2276.0
15-9_19SR,435057.013,6478570.336,132.98,10151.0,2276.0
15-9_19SR,435057.033,6478570.326,142.96,10151.0,2276.0
15-9_19SR,435057.053,6478570.306,152.91,10151.0,2276.0
15-9_19SR,435057.093,6478570.266,162.96,10151.0,2276.0
15-9_19SR,435057.113,6478570.216,173.0,10151.0,2276.0
15-9_19SR,435057.123,6478570.136,182.92,10151.0,2276.0
15-9_19SR,435057.103,6478570.066,192.92,10151.0,2276.0
15-9_19SR,435057.073,6478570.036,202.91,10151.0,2276.0
15-9_19SR,435057.043,6478570.046,212.93,10151.0,2276.0
15-9_19SR,435057.003,6478570.026,222.94,10151.0,2276.0
15-9_19SR,435056.963,6478570.026,232.99,10151.0,2276.0
15-9_19SR,435056.933,6478570.016,242.97,10151.0,2276.0
15-9_19SR,435056.883,6478569.996,253.0,10151.0,2276.0
15-9_19SR,435056.853,6478569.996,262.88,10151.0,2276.0
15-9_19SR,435056.793,6478569.986,272.97,10151.0,2276.0
15-9_19SR,435056.733,6478569.977,282.93,10151.0,2276.0
15-9_19SR,435056.663,6478569.987,292.98,10151.0,2276.0
15-9_19SR,435056.593,6478569.977,302.94,10151.0,2276.0
15-9_19SR,435056.523,6478569.977,312.98,10151.0,2276.0
15-9_19SR,435056.433,6478569.977,323.0,10151.0,2276.0
15-9_19SR,435056.353,6478569.967,332.94,10151.0,2276.0
15-9_19SR,435056.263,6478569.957,342.91,10151.0,2276.0
15-9_19SR,435056.183,6478569.967,352.94,10151.0,2276.0
15-9_19SR,435056.103,6478569.977,363.0,10151.0,2276.0
15-9_19SR,435056.023,6478569.997,372.95,10151.0,2276.0
15-9_19SR,435055.943,6478569.997,383.0,10151.0,2276.0
15-9_19SR,435055.863,6478569.957,392.96,10151.0,2276.0
15-9_19SR,435055.783,6478569.927,402.92,10151.0,2276.0
15-9_19SR,435055.723,6478569.897,413.0,10151.0,2276.0
15-9_19SR,435055.663,6478569.857,422.92,10151.0,2276.0
15-9_19SR,435055.593,6478569.837,432.92,10151.0,2276.0
15-9_19SR,435055.523,6478569.807,442.92,10151.0,2276.0
15-9_19SR,435055.463,6478569.767,453.0,10151.0,2276.0
15-9_19SR,435055.423,6478569.687,463.0,10151.0,2276.0
15-9_19SR,435055.383,6478569.648,472.93,10151.0,2276.0
15-9_19SR,435055.333,6478569.598,482.93,10151.0,2276.0
15-9_19SR,435055.283,6478569.558,493.0,10151.0,2276.0
15-9_19SR,435055.243,6478569.508,503.01,10151.0,2276.0
15-9_19SR,435055.193,6478569.488,512.91,10151.0,2276.0
15-9_19SR,435055.143,6478569.448,522.97,10151.0,2276.0
15-9_19SR,435055.093,6478569.388,533.0,10151.0,2276.0
15-9_19SR,435055.053,6478569.338,542.96,10151.0,2276.0
15-9_19SR,435055.023,6478569.278,552.93,10151.0,2276.0
15-9_19SR,435054.973,6478569.228,562.93,10151.0,2276.0
15-9_19SR,435054.873,6478569.198,572.89,10151.0,2276.0
15-9_19SR,435054.673,6478569.198,583.0,10151.0,2276.0
15-9_19SR,435054.333,6478569.268,592.98,10151.0,2276.0
15-9_19SR,435053.853,6478569.369,602.96,10151.0,2276.0
15-9_19SR,435053.234,6478569.529,612.87,10151.0,2276.0
15-9_19SR,435052.484,6478569.759,622.88,10151.0,2276.0
15-9_19SR,435051.604,6478570.02,632.81,10151.0,2276.0
15-9_19SR,435050.575,6478570.36,642.73,10151.0,2277.0
15-9_19SR,435049.426,6478570.741,652.74,10151.0,2277.0
15-9_19SR,435048.186,6478571.171,662.67,10151.0,2277.0
15-9_19SR,435046.837,6478571.602,672.48,10151.0,2277.0
15-9_19SR,435045.328,6478572.133,682.43,10151.0,2277.0
15-9_19SR,435043.699,6478572.714,692.25,10151.0,2277.0
15-9_19SR,435041.93,6478573.315,702.05,10151.0,2277.0
15-9_19SR,435040.061,6478573.946,711.86,10151.0,2277.0
15-9_19SR,435038.072,6478574.647,721.59,10151.0,2278.0
15-9_19SR,435035.903,6478575.348,731.37,10151.0,2278.0
15-9_19SR,435033.565,6478576.099,741.11,10151.0,2278.0
15-9_19SR,435031.056,6478576.87,750.78,10151.0,2278.0
15-9_19SR,435028.417,6478577.712,760.37,10151.0,2278.0
15-9_19SR,435025.589,6478578.623,769.89,10151.0,2279.0
15-9_19SR,435022.591,6478579.555,779.44,10151.0,2279.0
15-9_19SR,435019.472,6478580.526,788.87,10151.0,2279.0
15-9_19SR,435016.194,6478581.588,798.23,10151.0,2279.0
15-9_19SR,435012.836,6478582.77,807.59,10151.0,2280.0
15-9_19SR,435009.328,6478583.891,816.88,10151.0,2280.0
15-9_19SR,435005.66,6478585.013,826.12,10151.0,2280.0
15-9_19SR,435001.862,6478586.165,835.27,10151.0,2281.0
15-9_19SR,434997.974,6478587.387,844.45,10151.0,2281.0
15-9_19SR,434994.096,6478588.609,853.49,10151.0,2281.0
15-9_19SR,434990.098,6478589.781,862.56,10151.0,2282.0
15-9_19SR,434985.921,6478591.034,871.6,10151.0,2282.0
15-9_19SR,434981.683,6478592.296,880.59,10151.0,2282.0
15-9_19SR,434977.395,6478593.578,889.47,10151.0,2283.0
15-9_19SR,434972.967,6478594.88,898.38,10151.0,2283.0
15-9_19SR,434968.39,6478596.183,907.24,10151.0,2283.0
15-9_19SR,434963.742,6478597.425,915.98,10151.0,2284.0
15-9_19SR,434959.005,6478598.738,924.67,10151.0,2284.0
15-9_19SR,434954.127,6478600.071,933.32,10151.0,2285.0
15-9_19SR,434949.15,6478601.343,941.92,10152.0,2285.0
15-9_19SR,434944.132,6478602.646,950.44,10152.0,2285.0
15-9_19SR,434939.015,6478603.989,958.93,10152.0,2286.0
15-9_19SR,434933.768,6478605.212,967.37,10152.0,2286.0
15-9_19SR,434928.38,6478606.574,975.76,10152.0,2287.0
15-9_19SR,434922.923,6478607.977,983.95,10152.0,2287.0
15-9_19SR,434917.316,6478609.28,992.1,10151.0,2288.0
15-9_19SR,434911.559,6478610.704,1000.16,10152.0,2288.0
15-9_19SR,434905.682,6478612.237,1008.17,10152.0,2289.0
15-9_19SR,434899.715,6478613.66,1016.06,10152.0,2289.0
15-9_19SR,434893.638,6478615.163,1023.83,10151.0,2290.0
15-9_19SR,434887.411,6478616.727,1031.5,10152.0,2290.0
15-9_19SR,434881.044,6478618.27,1039.07,10151.0,2291.0
15-9_19SR,434874.457,6478619.794,1046.53,10151.0,2291.0
15-9_19SR,434867.871,6478621.467,1053.85,10151.0,2292.0
15-9_19SR,434861.224,6478622.991,1061.04,10151.0,2292.0
15-9_19SR,434854.277,6478624.575,1068.2,10151.0,2293.0
15-9_19SR,434847.401,6478626.228,1075.14,10151.0,2293.0
15-9_19SR,434840.284,6478627.992,1081.99,10151.0,2294.0
15-9_19SR,434833.098,6478629.716,1088.72,10151.0,2295.0
