Well,UTM E/W,UTM N/S,TVD,inline,xline
15-9_F11B,435049.095,6478568.172,145.9,10151.0,2277.0
15-9_F11B,435049.093,6478568.17,150.0,10151.0,2277.0
15-9_F11B,435049.074,6478568.152,160.0,10151.0,2277.0
15-9_F11B,435049.05,6478568.129,170.0,10151.0,2277.0
15-9_F11B,435049.022,6478568.105,180.0,10151.0,2277.0
15-9_F11B,435048.99,6478568.081,190.0,10151.0,2277.0
15-9_F11B,435048.958,6478568.058,200.0,10151.0,2277.0
15-9_F11B,435048.925,6478568.034,210.0,10151.0,2277.0
15-9_F11B,435048.883,6478568.007,220.0,10151.0,2277.0
15-9_F11B,435048.824,6478567.977,230.0,10151.0,2277.0
15-9_F11B,435048.744,6478567.946,240.0,10151.0,2277.0
15-9_F11B,435048.616,6478567.937,250.0,10151.0,2277.0
15-9_F11B,435048.442,6478567.971,260.0,10151.0,2277.0
15-9_F11B,435048.251,6478568.03,269.99,10151.0,2277.0
15-9_F11B,435048.056,6478568.097,279.99,10151.0,2277.0
15-9_F11B,435047.858,6478568.176,289.99,10151.0,2277.0
15-9_F11B,435047.663,6478568.259,299.99,10151.0,2277.0
15-9_F11B,435047.472,6478568.343,309.99,10151.0,2277.0
15-9_F11B,435047.285,6478568.425,319.98,10151.0,2277.0
15-9_F11B,435047.101,6478568.499,329.98,10151.0,2277.0
15-9_F11B,435046.92,6478568.568,339.98,10151.0,2277.0
15-9_F11B,435046.741,6478568.632,349.98,10151.0,2277.0
15-9_F11B,435046.563,6478568.691,359.98,10151.0,2277.0
15-9_F11B,435046.382,6478568.746,369.97,10151.0,2277.0
15-9_F11B,435046.192,6478568.807,379.97,10151.0,2277.0
15-9_F11B,435045.989,6478568.89,389.97,10151.0,2277.0
15-9_F11B,435045.757,6478569.021,399.97,10151.0,2277.0
15-9_F11B,435045.499,6478569.199,409.96,10151.0,2277.0
15-9_F11B,435045.234,6478569.391,419.96,10151.0,2277.0
15-9_F11B,435044.963,6478569.589,429.95,10151.0,2277.0
15-9_F11B,435044.686,6478569.794,439.94,10151.0,2277.0
15-9_F11B,435044.408,6478570.004,449.94,10151.0,2277.0
15-9_F11B,435044.129,6478570.214,459.93,10151.0,2277.0
15-9_F11B,435043.851,6478570.427,469.93,10151.0,2277.0
15-9_F11B,435043.57,6478570.646,479.92,10151.0,2277.0
15-9_F11B,435043.287,6478570.867,489.91,10151.0,2277.0
15-9_F11B,435043.006,6478571.095,499.91,10151.0,2277.0
15-9_F11B,435042.724,6478571.33,509.9,10151.0,2277.0
15-9_F11B,435042.438,6478571.563,519.89,10151.0,2277.0
15-9_F11B,435042.151,6478571.793,529.89,10151.0,2277.0
15-9_F11B,435041.867,6478572.026,539.88,10151.0,2277.0
15-9_F11B,435041.581,6478572.264,549.87,10151.0,2277.0
15-9_F11B,435041.294,6478572.498,559.87,10151.0,2277.0
15-9_F11B,435041.006,6478572.732,569.86,10151.0,2277.0
15-9_F11B,435040.716,6478572.967,579.85,10151.0,2277.0
15-9_F11B,435040.426,6478573.205,589.85,10151.0,2277.0
15-9_F11B,435040.135,6478573.445,599.84,10151.0,2277.0
15-9_F11B,435039.84,6478573.681,609.83,10151.0,2277.0
15-9_F11B,435039.546,6478573.911,619.82,10151.0,2277.0
15-9_F11B,435039.251,6478574.119,629.82,10151.0,2277.0
15-9_F11B,435038.962,6478574.25,639.81,10151.0,2278.0
15-9_F11B,435038.679,6478574.3,649.81,10151.0,2278.0
15-9_F11B,435038.392,6478574.321,659.8,10151.0,2278.0
15-9_F11B,435038.093,6478574.346,669.8,10151.0,2278.0
15-9_F11B,435037.754,6478574.348,679.79,10151.0,2278.0
15-9_F11B,435037.361,6478574.293,689.79,10151.0,2278.0
15-9_F11B,435036.916,6478574.198,699.78,10151.0,2278.0
15-9_F11B,435036.417,6478574.055,709.76,10151.0,2278.0
15-9_F11B,435035.836,6478573.821,719.74,10151.0,2278.0
15-9_F11B,435035.161,6478573.48,729.71,10151.0,2278.0
15-9_F11B,435034.4,6478573.046,739.67,10151.0,2278.0
15-9_F11B,435033.554,6478572.526,749.63,10151.0,2278.0
15-9_F11B,435032.612,6478571.912,759.56,10151.0,2278.0
15-9_F11B,435031.562,6478571.201,769.48,10151.0,2278.0
15-9_F11B,435030.41,6478570.414,779.38,10151.0,2278.0
15-9_F11B,435029.138,6478569.549,789.26,10151.0,2278.0
15-9_F11B,435027.726,6478568.61,799.12,10150.0,2278.0
15-9_F11B,435026.191,6478567.629,808.95,10150.0,2278.0
15-9_F11B,435024.552,6478566.633,818.77,10150.0,2278.0
15-9_F11B,435022.79,6478565.656,828.56,10150.0,2279.0
15-9_F11B,435020.9,6478564.746,838.34,10150.0,2279.0
15-9_F11B,435018.913,6478563.929,848.1,10150.0,2279.0
15-9_F11B,435016.843,6478563.216,857.86,10150.0,2279.0
15-9_F11B,435014.711,6478562.61,867.61,10150.0,2279.0
15-9_F11B,435012.561,6478562.082,877.36,10150.0,2279.0
15-9_F11B,435010.428,6478561.592,887.12,10150.0,2279.0
15-9_F11B,435008.336,6478561.139,896.89,10150.0,2280.0
15-9_F11B,435006.329,6478560.757,906.68,10149.0,2280.0
15-9_F11B,435004.419,6478560.455,916.49,10149.0,2280.0
15-9_F11B,435002.557,6478560.207,926.31,10149.0,2280.0
15-9_F11B,435000.718,6478559.997,936.14,10149.0,2280.0
15-9_F11B,434998.896,6478559.814,945.97,10149.0,2280.0
15-9_F11B,434997.077,6478559.653,955.8,10149.0,2280.0
15-9_F11B,434995.261,6478559.516,965.63,10149.0,2281.0
15-9_F11B,434993.455,6478559.416,975.47,10149.0,2281.0
15-9_F11B,434991.663,6478559.385,985.31,10149.0,2281.0
15-9_F11B,434989.876,6478559.43,995.14,10149.0,2281.0
15-9_F11B,434988.089,6478559.521,1004.98,10149.0,2281.0
15-9_F11B,434986.295,6478559.646,1014.82,10149.0,2281.0
15-9_F11B,434984.491,6478559.803,1024.65,10149.0,2281.0
15-9_F11B,434982.682,6478559.974,1034.49,10149.0,2282.0
15-9_F11B,434980.872,6478560.153,1044.32,10149.0,2282.0
15-9_F11B,434979.049,6478560.358,1054.15,10149.0,2282.0
15-9_F11B,434977.189,6478560.62,1063.97,10149.0,2282.0
