Well,UTM E/W,UTM N/S,TVD,inline,xline
15-9_F12,435050.21,6478566.22,145.9,10151.0,2276.0
15-9_F12,435050.218,6478566.19,174.0,10151.0,2276.0
15-9_F12,435050.233,6478566.139,204.0,10151.0,2276.0
15-9_F12,435050.275,6478566.104,234.0,10151.0,2276.0
15-9_F12,435050.377,6478566.084,264.0,10151.0,2276.0
15-9_F12,435050.533,6478566.089,294.0,10151.0,2276.0
15-9_F12,435050.716,6478566.113,324.0,10151.0,2276.0
15-9_F12,435050.93,6478566.149,354.0,10151.0,2276.0
15-9_F12,435051.207,6478566.239,384.0,10151.0,2276.0
15-9_F12,435051.543,6478566.528,413.99,10151.0,2276.0
15-9_F12,435052.076,6478567.424,443.97,10151.0,2276.0
15-9_F12,435052.986,6478569.237,473.9,10151.0,2276.0
15-9_F12,435054.336,6478571.873,503.76,10151.0,2276.0
15-9_F12,435056.146,6478575.101,533.53,10152.0,2276.0
15-9_F12,435058.124,6478578.368,563.28,10152.0,2276.0
15-9_F12,435059.811,6478581.159,593.1,10152.0,2276.0
15-9_F12,435060.927,6478583.632,622.98,10152.0,2276.0
15-9_F12,435061.327,6478586.18,652.87,10152.0,2276.0
15-9_F12,435060.67,6478588.914,682.73,10153.0,2276.0
15-9_F12,435058.936,6478591.601,712.56,10153.0,2276.0
15-9_F12,435056.392,6478593.868,742.36,10153.0,2277.0
15-9_F12,435052.825,6478595.541,772.1,10153.0,2277.0
15-9_F12,435047.867,6478596.655,801.66,10153.0,2277.0
15-9_F12,435041.594,6478597.214,830.99,10153.0,2278.0
15-9_F12,435034.362,6478597.097,860.11,10153.0,2278.0
15-9_F12,435026.936,6478596.466,888.13,10153.0,2279.0
15-9_F12,435024.407,6478596.182,897.8,10153.0,2279.0
15-9_F12,435021.96,6478595.864,907.49,10152.0,2279.0
15-9_F12,435019.577,6478595.509,917.2,10152.0,2279.0
15-9_F12,435017.224,6478595.127,926.91,10152.0,2280.0
15-9_F12,435014.868,6478594.735,936.62,10152.0,2280.0
15-9_F12,435012.498,6478594.341,946.33,10152.0,2280.0
15-9_F12,435010.102,6478593.96,956.03,10152.0,2280.0
15-9_F12,435007.658,6478593.63,965.72,10152.0,2280.0
15-9_F12,435005.158,6478593.37,975.4,10152.0,2280.0
15-9_F12,435002.612,6478593.163,985.06,10152.0,2281.0
15-9_F12,435000.035,6478592.989,994.72,10152.0,2281.0
15-9_F12,434997.438,6478592.851,1004.38,10152.0,2281.0
15-9_F12,434994.83,6478592.751,1014.03,10152.0,2281.0
15-9_F12,434992.226,6478592.676,1023.69,10152.0,2281.0
15-9_F12,434989.673,6478592.628,1033.36,10152.0,2282.0
15-9_F12,434987.19,6478592.605,1043.04,10152.0,2282.0
15-9_F12,434984.74,6478592.59,1052.74,10152.0,2282.0
15-9_F12,434982.29,6478592.565,1062.43,10151.0,2282.0
15-9_F12,434979.822,6478592.504,1072.12,10151.0,2282.0
15-9_F12,434977.325,6478592.367,1081.81,10151.0,2283.0
15-9_F12,434974.811,6478592.132,1091.48,10151.0,2283.0
15-9_F12,434972.291,6478591.787,1101.15,10151.0,2283.0
15-9_F12,434969.749,6478591.328,1110.81,10151.0,2283.0
15-9_F12,434967.154,6478590.751,1120.45,10151.0,2283.0
15-9_F12,434964.476,6478590.054,1130.06,10151.0,2284.0
15-9_F12,434961.676,6478589.216,1139.62,10151.0,2284.0
15-9_F12,434958.718,6478588.22,1149.12,10151.0,2284.0
15-9_F12,434955.615,6478587.073,1158.56,10151.0,2284.0
15-9_F12,434952.404,6478585.814,1167.95,10150.0,2284.0
15-9_F12,434949.132,6478584.502,1177.3,10150.0,2285.0
15-9_F12,434945.836,6478583.172,1186.65,10150.0,2285.0
15-9_F12,434942.55,6478581.861,1196.0,10150.0,2285.0
15-9_F12,434939.325,6478580.62,1205.39,10150.0,2285.0
15-9_F12,434936.181,6478579.48,1214.81,10150.0,2286.0
15-9_F12,434933.091,6478578.432,1224.26,10149.0,2286.0
15-9_F12,434930.015,6478577.442,1233.73,10149.0,2286.0
15-9_F12,434926.919,6478576.467,1243.18,10149.0,2286.0
15-9_F12,434923.779,6478575.484,1252.63,10149.0,2286.0
15-9_F12,434920.61,6478574.486,1262.06,10149.0,2287.0
15-9_F12,434917.466,6478573.481,1271.5,10149.0,2287.0
15-9_F12,434914.45,6478572.48,1280.98,10149.0,2287.0
15-9_F12,434911.646,6478571.507,1290.53,10148.0,2287.0
