Well,UTM E/W,UTM N/S,TVD,inline,xline
15-9_F1C,435046.488,6478566.687,145.9,10151.0,2277.0
15-9_F1C,435046.488,6478566.687,150.15,10151.0,2277.0
15-9_F1C,435046.488,6478566.687,160.45,10151.0,2277.0
15-9_F1C,435046.488,6478566.687,170.04,10151.0,2277.0
15-9_F1C,435046.488,6478566.687,179.79,10151.0,2277.0
15-9_F1C,435046.488,6478566.687,189.74,10151.0,2277.0
15-9_F1C,435046.488,6478566.687,198.5,10151.0,2277.0
15-9_F1C,435046.488,6478566.687,210.7,10151.0,2277.0
15-9_F1C,435046.123,6478566.917,237.6,10151.0,2277.0
15-9_F1C,435045.755,6478567.161,251.09,10151.0,2277.0
15-9_F1C,435045.324,6478567.466,264.88,10151.0,2277.0
15-9_F1C,435044.87,6478567.799,279.17,10151.0,2277.0
15-9_F1C,435044.501,6478568.062,292.66,10151.0,2277.0
15-9_F1C,435044.321,6478568.237,302.76,10151.0,2277.0
15-9_F1C,435044.189,6478568.486,315.45,10151.0,2277.0
15-9_F1C,435043.846,6478568.913,332.14,10151.0,2277.0
15-9_F1C,435043.488,6478569.184,342.13,10151.0,2277.0
15-9_F1C,435042.719,6478569.573,358.41,10151.0,2277.0
15-9_F1C,435041.744,6478570.043,377.88,10151.0,2277.0
15-9_F1C,435039.909,6478570.939,414.62,10151.0,2277.0
15-9_F1C,435037.837,6478571.827,455.16,10151.0,2278.0
15-9_F1C,435035.921,6478572.586,495.11,10151.0,2278.0
15-9_F1C,435034.094,6478573.314,535.26,10151.0,2278.0
15-9_F1C,435032.175,6478574.009,575.41,10151.0,2278.0
15-9_F1C,435029.976,6478575.149,616.03,10151.0,2278.0
15-9_F1C,435027.382,6478577.558,656.17,10151.0,2278.0
15-9_F1C,435024.269,6478581.508,696.15,10151.0,2279.0
15-9_F1C,435022.159,6478584.354,718.78,10152.0,2279.0
15-9_F1C,435020.255,6478586.752,735.91,10152.0,2279.0
15-9_F1C,435017.996,6478589.492,754.98,10152.0,2279.0
15-9_F1C,435013.27,6478595.193,796.42,10152.0,2280.0
15-9_F1C,435008.723,6478600.258,835.23,10153.0,2280.0
15-9_F1C,435004.706,6478603.948,864.42,10153.0,2281.0
15-9_F1C,435003.188,6478605.225,874.43,10153.0,2281.0
15-9_F1C,434997.648,6478610.394,913.5,10153.0,2281.0
15-9_F1C,434988.376,6478620.559,993.32,10154.0,2282.0
15-9_F1C,434980.295,6478630.227,1073.13,10154.0,2283.0
15-9_F1C,434975.285,6478635.379,1113.08,10155.0,2284.0
15-9_F1C,434969.043,6478640.586,1152.65,10155.0,2284.0
15-9_F1C,434962.553,6478645.598,1192.01,10155.0,2285.0
15-9_F1C,434955.954,6478650.861,1231.51,10155.0,2285.0
15-9_F1C,434949.341,6478656.31,1270.99,10156.0,2286.0
15-9_F1C,434943.159,6478661.482,1310.79,10156.0,2287.0
15-9_F1C,434941.31,6478663.023,1323.76,10156.0,2287.0
15-9_F1C,434933.849,6478667.622,1376.13,10156.0,2287.0
15-9_F1C,434917.195,6478670.681,1453.53,10156.0,2289.0
15-9_F1C,434905.51,6478671.262,1492.93,10156.0,2290.0
15-9_F1C,434894.315,6478670.636,1529.54,10156.0,2291.0
15-9_F1C,434882.249,6478667.485,1569.01,10155.0,2291.0
15-9_F1C,434870.948,6478662.534,1605.37,10155.0,2292.0
15-9_F1C,434858.53,6478654.983,1644.98,10154.0,2293.0
15-9_F1C,434846.855,6478646.288,1682.99,10153.0,2294.0
15-9_F1C,434835.202,6478637.258,1721.46,10152.0,2295.0
15-9_F1C,434824.034,6478628.459,1758.52,10151.0,2295.0
15-9_F1C,434812.336,6478618.678,1798.19,10150.0,2296.0
15-9_F1C,434801.459,6478609.492,1835.25,10149.0,2297.0
15-9_F1C,434790.076,6478600.393,1873.25,10148.0,2297.0
15-9_F1C,434778.953,6478592.177,1909.28,10147.0,2298.0
15-9_F1C,434755.535,6478574.747,1984.19,10146.0,2300.0
15-9_F1C,434743.757,6478565.495,2022.03,10145.0,2300.0
15-9_F1C,434731.847,6478556.145,2060.88,10144.0,2301.0
15-9_F1C,434721.293,6478548.18,2098.42,10143.0,2302.0
15-9_F1C,434711.994,6478541.644,2137.18,10142.0,2302.0
15-9_F1C,434704.38,6478536.869,2175.64,10142.0,2303.0
15-9_F1C,434698.3,6478533.912,2215.56,10141.0,2303.0
15-9_F1C,434693.894,6478532.806,2255.9,10141.0,2303.0
15-9_F1C,434690.993,6478533.523,2295.78,10141.0,2304.0
15-9_F1C,434689.94,6478536.066,2336.68,10141.0,2304.0
15-9_F1C,434690.972,6478540.234,2376.94,10142.0,2304.0
15-9_F1C,434693.749,6478546.296,2416.58,10142.0,2304.0
15-9_F1C,434696.103,6478550.701,2439.34,10143.0,2304.0
15-9_F1C,434702.474,6478561.102,2484.72,10144.0,2303.0
15-9_F1C,434709.894,6478571.887,2523.24,10145.0,2303.0
15-9_F1C,434718.814,6478584.279,2560.53,10146.0,2303.0
15-9_F1C,434728.935,6478598.061,2596.24,10147.0,2302.0
15-9_F1C,434740.976,6478614.223,2632.62,10148.0,2301.0
15-9_F1C,434753.899,6478631.407,2666.81,10150.0,2301.0
15-9_F1C,434768.0,6478649.965,2699.43,10152.0,2300.0
15-9_F1C,434783.48,6478670.189,2730.39,10154.0,2299.0
15-9_F1C,434800.146,6478691.671,2759.57,10156.0,2298.0
15-9_F1C,434818.321,6478714.481,2787.36,10158.0,2297.0
15-9_F1C,434837.697,6478738.238,2813.35,10160.0,2296.0
15-9_F1C,434858.076,6478763.035,2837.86,10162.0,2295.0
15-9_F1C,434879.49,6478788.711,2860.51,10165.0,2294.0
15-9_F1C,434901.309,6478814.388,2880.51,10167.0,2293.0
15-9_F1C,434918.191,6478834.185,2894.4,10169.0,2292.0
15-9_F1C,434941.8,6478861.951,2911.55,10172.0,2291.0
15-9_F1C,434966.372,6478890.822,2926.29,10174.0,2289.0
15-9_F1C,434991.291,6478919.764,2937.76,10177.0,2288.0
15-9_F1C,435016.998,6478949.563,2946.34,10180.0,2286.0
15-9_F1C,435042.75,6478979.742,2952.71,10183.0,2285.0
15-9_F1C,435068.42,6479010.281,2957.53,10186.0,2284.0
15-9_F1C,435094.21,6479041.174,2961.96,10188.0,2282.0
15-9_F1C,435119.841,6479072.074,2967.19,10191.0,2281.0
15-9_F1C,435145.53,6479102.953,2974.22,10194.0,2279.0
15-9_F1C,435170.63,6479132.681,2982.54,10197.0,2278.0
15-9_F1C,435196.15,6479162.699,2991.41,10200.0,2277.0
15-9_F1C,435221.978,6479192.587,3001.55,10203.0,2275.0
15-9_F1C,435247.118,6479221.439,3014.11,10205.0,2274.0
15-9_F1C,435271.835,6479249.598,3029.44,10208.0,2272.0
15-9_F1C,435297.038,6479277.049,3045.51,10211.0,2271.0
15-9_F1C,435322.973,6479302.951,3059.63,10213.0,2270.0
15-9_F1C,435351.088,6479328.999,3072.98,10216.0,2268.0
15-9_F1C,435379.952,6479353.87,3086.06,10218.0,2266.0
15-9_F1C,435409.382,6479377.337,3099.55,10221.0,2264.0
15-9_F1C,435439.601,6479400.317,3113.91,10223.0,2262.0
15-9_F1C,435470.277,6479422.267,3128.33,10225.0,2260.0
15-9_F1C,435501.318,6479443.212,3142.65,10228.0,2258.0
15-9_F1C,435532.612,6479463.788,3156.94,10230.0,2256.0
15-9_F1C,435565.011,6479484.555,3171.62,10232.0,2254.0
15-9_F1C,435572.907,6479489.542,3175.18,10233.0,2254.0
15-9_F1C,435584.585,6479496.933,3180.47,10233.0,2253.0
