block_id,start,end,name,color
chr1-8,0,2300000,p36.33,"rgb(173,6,6)"
chr1-8,2300000,5300000,p36.32,"rgb(153, 204, 255)"
chr1-8,5300000,7100000,p36.31,"rgb(173,6,6)"
chr1-8,7100000,9100000,p36.23,"rgb(153, 204, 255)"
chr1-8,9100000,12500000,p36.22,"rgb(173,6,6)"
chr1-8,12500000,15900000,p36.21,"rgb(255, 0, 255)"
chr1-8,15900000,20100000,p36.13,"rgb(173,6,6)"
chr1-8,20100000,23600000,p36.12,"rgb(153, 204, 255)"
chr1-8,23600000,27600000,p36.11,"rgb(173,6,6)"
chr1-8,27600000,29900000,p35.3,"rgb(153, 204, 255)"
chr1-8,29900000,32300000,p35.2,"rgb(173,6,6)"
chr1-8,32300000,34300000,p35.1,"rgb(153, 204, 255)"
chr1-8,34300000,39600000,p34.3,"rgb(173,6,6)"
chr1-8,39600000,43700000,p34.2,"rgb(153, 204, 255)"
chr1-8,43700000,46300000,p34.1,"rgb(173,6,6)"
chr1-8,46300000,50200000,p33,"rgb(102, 51, 0)"
chr1-8,50200000,55600000,p32.3,"rgb(173,6,6)"
chr1-8,55600000,58500000,p32.2,"rgb(255, 0, 255)"
chr1-8,58500000,60800000,p32.1,"rgb(173,6,6)"
chr1-8,60800000,68500000,p31.3,"rgb(255, 0, 255)"
chr1-8,68500000,69300000,p31.2,"rgb(173,6,6)"
chr1-8,69300000,84400000,p31.1,"rgb(153, 255, 102)"
chr1-8,84400000,87900000,p22.3,"rgb(173,6,6)"
chr1-8,87900000,91500000,p22.2,"rgb(102, 51, 0)"
chr1-8,91500000,94300000,p22.1,"rgb(173,6,6)"
chr1-8,94300000,99300000,p21.3,"rgb(102, 51, 0)"
chr1-8,99300000,101800000,p21.2,"rgb(173,6,6)"
chr1-8,101800000,106700000,p21.1,"rgb(153, 255, 102)"
chr1-8,106700000,111200000,p13.3,"rgb(173,6,6)"
chr1-8,111200000,115500000,p13.2,"rgb(255, 0, 255)"
chr1-8,115500000,117200000,p13.1,"rgb(173,6,6)"
chr1-8,117200000,120400000,p12,"rgb(255, 0, 255)"
chr1-8,120400000,121700000,p11.2,"rgb(173,6,6)"
chr1-8,121700000,123400000,p11.1,"rgb(130,130,130)"
chr1-8,123400000,125100000,q11,"rgb(130,130,130)"
chr1-8,125100000,143200000,q12,"rgb(204, 153, 0)"
chr1-8,143200000,147500000,q21.1,"rgb(173,6,6)"
chr1-8,147500000,150600000,q21.2,"rgb(255, 0, 255)"
chr1-8,150600000,155100000,q21.3,"rgb(173,6,6)"
chr1-8,155100000,156600000,q22,"rgb(255, 0, 255)"
chr1-8,156600000,159100000,q23.1,"rgb(173,6,6)"
chr1-8,159100000,160500000,q23.2,"rgb(255, 0, 255)"
chr1-8,160500000,165500000,q23.3,"rgb(173,6,6)"
chr1-8,165500000,167200000,q24.1,"rgb(255, 0, 255)"
chr1-8,167200000,170900000,q24.2,"rgb(173,6,6)"
chr1-8,170900000,173000000,q24.3,"rgb(102, 51, 0)"
chr1-8,173000000,176100000,q25.1,"rgb(173,6,6)"
chr1-8,176100000,180300000,q25.2,"rgb(255, 0, 255)"
chr1-8,180300000,185800000,q25.3,"rgb(173,6,6)"
chr1-8,185800000,190800000,q31.1,"rgb(153, 255, 102)"
chr1-8,190800000,193800000,q31.2,"rgb(173,6,6)"
chr1-8,193800000,198700000,q31.3,"rgb(153, 255, 102)"
chr1-8,198700000,207100000,q32.1,"rgb(173,6,6)"
chr1-8,207100000,211300000,q32.2,"rgb(153, 204, 255)"
chr1-8,211300000,214400000,q32.3,"rgb(173,6,6)"
chr1-8,214400000,223900000,q41,"rgb(153, 255, 102)"
chr1-8,223900000,224400000,q42.11,"rgb(173,6,6)"
chr1-8,224400000,226800000,q42.12,"rgb(153, 204, 255)"
chr1-8,226800000,230500000,q42.13,"rgb(173,6,6)"
chr1-8,230500000,234600000,q42.2,"rgb(255, 0, 255)"
chr1-8,234600000,236400000,q42.3,"rgb(173,6,6)"
chr1-8,236400000,243500000,q43,"rgb(102, 51, 0)"
chr1-8,243500000,248956422,q44,"rgb(173,6,6)"
chr2-8,0,4400000,p25.3,"rgb(173,6,6)"
