Gene,log2FoldChange,padj,chr,start,end
Abl2,1.02843633739235,0.00720115295094195,chr1,156558787,156649619
Acadl,1.5039760616952,1.29052906403836e-05,chr1,66830853,66863267
Chrnd,1.5039760616952,1.29052906403836e-05,chr1,87190652,87200070
Chrng,1.5039760616952,1.29052906403836e-05,chr1,87205811,87211835
Adora1,1.5039760616952,1.29052906403836e-05,chr1,134199222,134235431
Parp1,1.5039760616952,1.29052906403836e-05,chr1,180568975,180601254
Adss,2.45395953123989,9.95966808640952e-09,chr1,177763178,177796509
Agxt,1.5039760616952,1.29052906403836e-05,chr1,93135276,93145421
Akp3,1.5039760616952,1.29052906403836e-05,chr1,87125008,87127912
Alppl2,1.5039760616952,1.29052906403836e-05,chr1,87086690,87089928
Prdx6,1.5039760616952,1.29052906403836e-05,chr1,161240112,161251166
Aox1,1.5039760616952,1.29052906403836e-05,chr1,58029969,58106410
Speg,1.5039760616952,1.29052906403836e-05,chr1,75375297,75432314
Apoa2,1.5039760616952,1.29052906403836e-05,chr1,171225054,171226379
Astn1,1.5039760616952,1.29052906403836e-05,chr1,158362304,158691786
Serpinc1,1.5039760616952,1.29052906403836e-05,chr1,160978606,161003015
Atf3,1.02843633739235,0.00720115295094195,chr1,191170296,191183333
Atp1b1,1.5039760616952,1.29052906403836e-05,chr1,164437267,164458355
Bard1,1.5039760616952,1.29052906403836e-05,chr1,71027535,71102972
Bcl2,1.5039760616952,1.29052906403836e-05,chr1,106538179,106714290
Bmpr2,1.5039760616952,1.29052906403836e-05,chr1,59764637,59870859
Btg2,-0.449469236109061,0.119767121565055,chr1,134074865,134079155
C4bp,1.5039760616952,1.29052906403836e-05,chr1,130635921,130661618
Cab39,1.5039760616952,1.29052906403836e-05,chr1,85793447,85851577
Cacna1e,1.5039760616952,1.29052906403836e-05,chr1,154392519,154725920
Cacna1s,1.5039760616952,1.29052906403836e-05,chr1,136052901,136119822
Cacybp,1.5039760616952,1.29052906403836e-05,chr1,160202367,160212892
Aspm,1.5039760616952,1.29052906403836e-05,chr1,139454773,139494088
Capn2,0.510574939780981,0.182114228951756,chr1,182467259,182517483
Nr1i3,1.5039760616952,1.29052906403836e-05,chr1,171213970,171218845
Casp8,1.5039760616952,1.29052906403836e-05,chr1,58795374,58847503
Casq1,1.5039760616952,1.29052906403836e-05,chr1,172209894,172219895
Rb1cc1,1.5039760616952,1.29052906403836e-05,chr1,6214662,6276104
Ctla4,1.5039760616952,1.29052906403836e-05,chr1,60909025,60915830
Cd28,1.5039760616952,1.29052906403836e-05,chr1,60746388,60773359
Cd34,1.5039760616952,1.29052906403836e-05,chr1,194938821,194961292
Cd247,1.5039760616952,1.29052906403836e-05,chr1,165788681,165871153
Cd48,1.5039760616952,1.29052906403836e-05,chr1,171682055,171705257
Cd84,1.5039760616952,1.29052906403836e-05,chr1,171839697,171890718
Cdk5r2,1.5039760616952,1.29052906403836e-05,chr1,74855029,74857732
Cfc1,1.5039760616952,1.29052906403836e-05,chr1,34535648,34544311
Cfh,1.5039760616952,1.29052906403836e-05,chr1,140085855,140183411
Cflar,1.47914958456267,0.000157198793705494,chr1,58713286,58758884
Chil1,1.5039760616952,1.29052906403836e-05,chr1,134182404,134190031
Chml,1.5039760616952,1.29052906403836e-05,chr1,175682237,175688353
Clk1,1.5039760616952,1.29052906403836e-05,chr1,58411988,58424088
Cxcr2,1.5039760616952,1.29052906403836e-05,chr1,74153994,74161246
Cxcr4,1.5039760616952,1.29052906403836e-05,chr1,128588199,128592299
Ackr3,1.5039760616952,1.29052906403836e-05,chr1,90204003,90216288
Cnga3,1.5039760616952,1.29052906403836e-05,chr1,37219261,37263384
Col19a1,1.5039760616952,1.29052906403836e-05,chr1,24257683,24587437
Col3a1,1.5039760616952,1.29052906403836e-05,chr1,45311538,45349706
Col4a3,1.5039760616952,1.29052906403836e-05,chr1,82586921,82722059
Col4a4,1.5039760616952,1.29052906403836e-05,chr1,82450723,82586849
Col5a2,1.5039760616952,1.29052906403836e-05,chr1,45374331,45503282
Col6a3,1.5039760616952,1.29052906403836e-05,chr1,90766860,90843971
Col9a1,1.5039760616952,1.29052906403836e-05,chr1,24177610,24252738
Copa,1.5039760616952,1.29052906403836e-05,chr1,172082529,172122332
Cox5b,1.5039760616952,1.29052906403836e-05,chr1,36691487,36693388
Cr2,1.5039760616952,1.29052906403836e-05,chr1,195136811,195176715
Creb1,1.02843633739235,0.00720115295094195,chr1,64532804,64604548
Crp,1.5039760616952,1.29052906403836e-05,chr1,172698056,172699966
Cr1l,1.5039760616952,1.29052906403836e-05,chr1,195103788,195131570
Cryba2,1.5039760616952,1.29052906403836e-05,chr1,74889944,74893135
Cryga,1.5039760616952,1.29052906403836e-05,chr1,65100389,65103363
Crygb,1.5039760616952,1.29052906403836e-05,chr1,65080227,65082267
Crygc,1.5039760616952,1.29052906403836e-05,chr1,65071531,65073521
Crygd,1.5039760616952,1.29052906403836e-05,chr1,65061838,65063440
Cryge,1.5039760616952,1.29052906403836e-05,chr1,65048557,65051163
Crygf,1.5039760616952,1.29052906403836e-05,chr1,65926522,65928304
Csrp1,-0.817952033192166,0.00463208081498786,chr1,135729197,135752229
Ctse,1.5039760616952,1.29052906403836e-05,chr1,131638314,131675507
Cd55,1.5039760616952,1.29052906403836e-05,chr1,130439029,130462740
Cd55b,1.5039760616952,1.29052906403836e-05,chr1,130388528,130422999
Dbi,1.5039760616952,1.29052906403836e-05,chr1,120113280,120121096
Dhx9,1.5039760616952,1.29052906403836e-05,chr1,153455758,153487660
Degs1,1.5039760616952,1.29052906403836e-05,chr1,182275770,182282759
Twist2,1.5039760616952,1.29052906403836e-05,chr1,91801477,91848027
Des,1.5039760616952,1.29052906403836e-05,chr1,75360344,75367716
Ackr1,1.5039760616952,1.29052906403836e-05,chr1,173331886,173333503
Dnpep,1.5039760616952,1.29052906403836e-05,chr1,75308565,75317637
Dst,-1.24195048646964,1.71082027396699e-05,chr1,34011825,34308652
Lefty1,1.5039760616952,1.29052906403836e-05,chr1,180935039,180938401
Ecel1,1.5039760616952,1.29052906403836e-05,chr1,87147655,87155027
Opn3,1.5039760616952,1.29052906403836e-05,chr1,175662427,175692590
Elf3,1.5039760616952,1.29052906403836e-05,chr1,135253574,135258472
Elk4,1.5039760616952,1.29052906403836e-05,chr1,132007605,132025684
En1,1.5039760616952,1.29052906403836e-05,chr1,120602487,120607991
Enah,1.5039760616952,1.29052906403836e-05,chr1,181904445,182019980
Epha4,1.5039760616952,1.29052906403836e-05,chr1,77367185,77515088
Ephx1,1.5039760616952,1.29052906403836e-05,chr1,180989556,181017495
Erbb4,1.5039760616952,1.29052906403836e-05,chr1,68039966,69108059
Ptprv,1.5039760616952,1.29052906403836e-05,chr1,135108498,135132575
Eya1,1.5039760616952,1.29052906403836e-05,chr1,14168958,14310199
F13b,1.5039760616952,1.29052906403836e-05,chr1,139501707,139523756
F5,1.5039760616952,1.29052906403836e-05,chr1,164151859,164220274
Fasl,1.5039760616952,1.29052906403836e-05,chr1,161780691,161788495
Fcer1a,1.5039760616952,1.29052906403836e-05,chr1,173221271,173227229
Fcer1g,1.5039760616952,1.29052906403836e-05,chr1,171229572,171234349
Fcgr2b,1.5039760616952,1.29052906403836e-05,chr1,170960558,170976071
Fcgr3,1.5039760616952,1.29052906403836e-05,chr1,171051169,171059403
Fh1,1.02843633739235,0.00720115295094195,chr1,175601378,175625635
Fhl2,1.5039760616952,1.29052906403836e-05,chr1,43123074,43163961
Fmo1,1.5039760616952,1.29052906403836e-05,chr1,162829561,162866548
Fmo3,1.5039760616952,1.29052906403836e-05,chr1,162953800,162984491
Fmod,1.5039760616952,1.29052906403836e-05,chr1,134037515,134048277
Fn1,1.5039760616952,1.29052906403836e-05,chr1,71585523,71653171
Srgap2,1.5039760616952,1.29052906403836e-05,chr1,131285251,131527361
Fzd5,1.5039760616952,1.29052906403836e-05,chr1,64730558,64737750
Fzd7,1.5039760616952,1.29052906403836e-05,chr1,59482147,59486955
G0s2,1.5039760616952,1.29052906403836e-05,chr1,193272160,193273188
